#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,driver_0019a,driver_0019b,driver_0020a,driver_0020b,Out_0006a,Out_0006b,Out_0010a,Out_0010b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-9.131783e-02,-9.120274e-02,9.311846e-02,9.310977e-02,9.302808e-02,9.307681e-02,-9.112920e-02,-9.107830e-02,9.280727e-02,9.294548e-02,-9.096605e-02,-9.091755e-02,-9.103885e-02,-9.100353e-02,-9.185482e-02,-9.151045e-02,-9.391439e-02,-9.251757e-02,9.308911e-02,9.305024e-02,9.310393e-02,9.311676e-02,9.221991e-02,9.257874e-02,-4.207222e-01,-1.442466e-01,-6.421833e-03,9.350609e-02,9.184316e-02,9.177439e-02,-1.067804e-01,-9.724326e-02,-9.084661e-02,-9.073021e-02,9.298328e-02,9.286525e-02,-9.051880e-02,-9.009365e-02,9.264549e-02,9.220173e-02,-8.913502e-02,-8.667475e-02,9.120560e-02,8.866653e-02,-7.956055e-02,-5.942260e-02,8.135672e-02,6.018891e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-9.095007e-02,-9.091128e-02,9.310934e-02,9.306590e-02
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9.058689e-02,-9.066012e-02,9.387316e-02,9.420864e-02,9.365023e-02,9.360506e-02,-9.068633e-02,-9.067209e-02,9.399001e-02,9.376692e-02,-8.885363e-02,-6.263213e-02,-9.059863e-02,-9.035841e-02,-9.010858e-02,-9.043814e-02,-6.309873e-02,-8.862462e-02,9.421485e-02,7.698363e-02,9.361501e-02,9.369256e-02,7.691031e-02,9.390653e-02,-4.990368e-01,-6.190951e-02,-2.170336e-02,1.585931e-01,1.122645e-01,1.303744e-01,-1.128478e-01,-1.270460e-01,-1.284330e-01,-1.002909e-01,1.298717e-01,1.156766e-01,-1.078385e-01,-1.060843e-01,1.190147e-01,1.186567e-01,-1.059712e-01,-1.058167e-01,1.182216e-01,1.170810e-01,-1.001270e-01,-1.008391e-01,1.120038e-01,1.019880e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.895469e-02,-6.272083e-02,9.413449e-02,7.691642e-02
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.103667e-02,-9.053450e-02,9.595610e-02,9.782932e-02,9.326240e-02,9.374910e-02,-9.004942e-02,-8.933989e-02,9.074625e-02,9.250702e-02,-6.991546e-02,8.754351e-02,-8.796612e-02,-8.446191e-02,-9.376456e-02,-9.185617e-02,-1.388380e-01,-9.999879e-02,1.008472e-01,1.049476e-01,9.422546e-02,9.488023e-02,-3.808104e-02,8.265909e-02,-8.268327e-01,2.744754e-01,-2.441975e-01,7.526527e-01,-3.087777e-01,4.853014e-01,-5.874821e-01,8.123467e-02,-4.125356e-01,2.859641e-01,-6.071212e-03,5.532783e-01,-6.541849e-01,2.841319e-01,-2.680784e-01,7.896480e-01,-6.936787e-01,2.935473e-01,-3.665879e-01,7.931656e-01,-6.060366e-01,1.133323e-01,-3.182496e-01,4.683924e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.997665e-02,8.748013e-02,1.008068e-01,1.049046e-01
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.088559e-02,-9.042489e-02,9.643464e-02,9.939665e-02,9.330359e-02,9.380033e-02,-8.994192e-02,-8.921185e-02,9.070717e-02,9.253725e-02,-7.254037e-02,6.907692e-02,-8.783629e-02,-8.462134e-02,-9.308953e-02,-9.157630e-02,-1.211672e-01,-9.767884e-02,1.077969e-01,1.575550e-01,9.430878e-02,9.506072e-02,-4.494272e-02,8.214804e-02,-8.585609e-01,3.064880e-01,-2.390058e-01,7.595415e-01,-3.037564e-01,4.950870e-01,-6.044578e-01,6.438561e-02,-4.579629e-01,2.949285e-01,-7.422636e-02,6.785300e-01,-7.043299e-01,3.106652e-01,-3.417996e-01,8.121191e-01,-7.259073e-01,3.263903e-01,-3.516027e-01,7.923933e-01,-6.193185e-01,9.381137e-02,-3.035586e-01,4.687533e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.261003e-02,6.900770e-02,1.077505e-01,1.575067e-01
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-9.102981e-02,-9.043621e-02,9.656343e-02,9.957122e-02,9.286428e-02,9.359430e-02,-8.979590e-02,-8.882848e-02,8.842930e-02,9.160173e-02,-6.659331e-02,1.082905e-01,-8.698674e-02,-8.262750e-02,-9.330878e-02,-9.183823e-02,-1.114900e-01,-9.668234e-02,1.078367e-01,1.598929e-01,9.424164e-02,9.509757e-02,-9.765854e-02,7.460512e-02,-8.864468e-01,3.442734e-01,-2.328832e-01,7.875605e-01,-3.599638e-01,5.509250e-01,-6.510417e-01,8.445812e-02,-5.225144e-01,3.614928e-01,-9.454916e-02,7.292124e-01,-7.655147e-01,3.541636e-01,-3.560712e-01,8.327810e-01,-7.652707e-01,3.603178e-01,-3.493289e-01,8.106575e-01,-6.417319e-01,8.666938e-02,-3.072510e-01,4.861634e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662566e-02,1.082501e-01,1.078332e-01,1.598774e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-9.102980e-02,-9.043621e-02,9.656344e-02,9.957122e-02,9.286429e-02,9.359431e-02,-8.979589e-02,-8.882848e-02,8.842935e-02,9.160175e-02,-6.659330e-02,1.082905e-01,-8.698674e-02,-8.262749e-02,-9.330876e-02,-9.183822e-02,-1.114898e-01,-9.668230e-02,1.078367e-01,1.598930e-01,9.424165e-02,9.509758e-02,-9.765751e-02,7.460528e-02,-8.864468e-01,3.442735e-01,-2.328832e-01,7.875599e-01,-3.599624e-01,5.509238e-01,-6.510410e-01,8.445735e-02,-5.225146e-01,3.614929e-01,-9.454922e-02,7.292125e-01,-7.655147e-01,3.541636e-01,-3.560712e-01,8.327810e-01,-7.652707e-01,3.603177e-01,-3.493288e-01,8.106577e-01,-6.417321e-01,8.666964e-02,-3.072514e-01,4.861638e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662565e-02,1.082502e-01,1.078332e-01,1.598774e-01
7,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.211292e-02,-8.747290e-02,9.689477e-02,9.979601e-02,7.713999e-02,9.450981e-02,-8.861083e-02,-8.813992e-02,1.095291e-01,1.309403e-01,-6.640015e-02,1.083607e-01,-8.654907e-02,-8.233664e-02,-1.068197e-01,-1.265315e-01,-2.512915e-01,-7.193011e-02,1.079900e-01,1.599541e-01,9.506824e-02,9.560885e-02,-1.341405e-01,1.812689e-01,-8.869572e-01,3.468723e-01,-2.302809e-01,7.986648e-01,-3.847328e-01,6.606290e-01,-6.978850e-01,1.778913e-01,-5.223618e-01,3.615013e-01,-9.440078e-02,7.291993e-01,-7.654831e-01,3.542195e-01,-3.560193e-01,8.327882e-01,-7.652662e-01,3.603504e-01,-3.492899e-01,8.106643e-01,-6.417305e-01,8.670161e-02,-3.072395e-01,4.861859e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.639979e-02,1.082889e-01,1.079263e-01,1.597633e-01
8,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.385544e-01,-9.938187e-02,9.599550e-02,9.929121e-02,-4.066740e-02,8.246399e-02,-9.274006e-02,-9.002037e-02,-3.019292e-01,4.817326e-01,-6.670603e-02,1.082727e-01,-8.751880e-02,-8.287534e-02,-5.957977e-01,8.245696e-02,-6.906303e-01,3.003344e-01,1.076987e-01,1.598473e-01,9.131993e-02,9.389010e-02,-3.589761e-01,7.841733e-01,-8.871911e-01,3.480450e-01,-2.300047e-01,7.880944e-01,-3.496254e-01,8.526415e-01,-7.431212e-01,3.047864e-01,-5.225811e-01,3.615306e-01,-9.460921e-02,7.292337e-01,-7.655290e-01,3.541723e-01,-3.560648e-01,8.327807e-01,-7.652680e-01,3.603287e-01,-3.493201e-01,8.106615e-01,-6.417312e-01,8.668518e-02,-3.072489e-01,4.861755e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.687131e-02,1.082624e-01,1.074103e-01,1.595081e-01
9,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.208972e-01,-9.699592e-02,9.607352e-02,9.934214e-02,-4.478346e-02,8.249585e-02,-9.200327e-02,-8.970879e-02,-2.965606e-01,4.937621e-01,-6.665775e-02,1.082864e-01,-8.736411e-02,-8.279039e-02,-6.114862e-01,6.496084e-02,-7.249271e-01,3.250771e-01,1.077313e-01,1.598596e-01,9.147559e-02,9.400724e-02,-3.509158e-01,7.941450e-01,-8.869392e-01,3.466895e-01,-2.304458e-01,7.876604e-01,-3.498809e-01,8.395277e-01,-7.524459e-01,3.277215e-01,-5.225462e-01,3.615259e-01,-9.457948e-02,7.292285e-01,-7.655210e-01,3.541808e-01,-3.560578e-01,8.327821e-01,-7.652677e-01,3.603328e-01,-3.493150e-01,8.106619e-01,-6.417305e-01,8.668828e-02,-3.072468e-01,4.861772e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.677232e-02,1.082868e-01,1.074138e-01,1.595329e-01
10,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.111977e-01,-9.598689e-02,9.561812e-02,9.908646e-02,-9.442868e-02,7.541400e-02,-9.221623e-02,-9.000411e-02,-3.515002e-01,5.465659e-01,-6.676209e-02,1.082496e-01,-8.758943e-02,-8.294746e-02,-6.513759e-01,8.394534e-02,-7.633717e-01,3.545818e-01,1.075800e-01,1.597990e-01,8.932343e-02,9.310106e-02,-3.459483e-01,8.280780e-01,-8.866645e-01,3.452850e-01,-2.309253e-01,7.869168e-01,-3.492388e-01,8.305720e-01,-7.624718e-01,3.537537e-01,-5.226343e-01,3.615236e-01,-9.468260e-02,7.292383e-01,-7.655389e-01,3.541525e-01,-3.560911e-01,8.327792e-01,-7.652698e-01,3.603176e-01,-3.493368e-01,8.106600e-01,-6.417333e-01,8.667520e-02,-3.072558e-01,4.861685e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.682974e-02,1.082603e-01,1.072293e-01,1.594743e-01
