#time,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,driver_0013a,driver_0013b,driver_0032a,driver_0032b,Out_0014a,Out_0014b,Out_0009a,Out_0009b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1.196260e-02,-1.066829e-02,9.178597e-02,9.170559e-02,-4.207770e-01,-1.443088e-01,8.795784e-02,8.381188e-02,9.260607e-02,9.242614e-02,2.632703e-02,5.955874e-03,1.288453e-03,8.341954e-05,-9.146450e-02,-9.150180e-02,7.408251e-02,4.983866e-02,-9.803216e-02,-1.008551e-01,5.884878e-03,3.115847e-03,9.215650e-02,9.174427e-02,9.108810e-02,8.998197e-02,-9.382733e-02,-7.068389e-02,-9.200144e-02,-9.168822e-02,-9.260404e-02,-9.324200e-02,9.268375e-02,9.279311e-02,-9.153530e-02,-9.147135e-02,-6.462924e-03,9.345823e-02,-1.843951e-04,-1.967161e-03,-1.029689e-01,-1.019083e-01,9.213681e-02,9.247779e-02,-9.158116e-02,-9.170904e-02,1.086502e-02,-7.993096e-03,-9.401655e-02,-9.263949e-02,-1.068539e-01,-9.732952e-02,9.280050e-02,9.272547e-02,-9.190070e-02,-9.218323e-02,9.283839e-02,9.283820e-02,-9.422899e-02,-9.576224e-02,3.046311e-03,2.636425e-03,1.995086e-03,1.139178e-03,4.658402e-03,4.868407e-03,4.371458e-03,3.245100e-03,1.416113e-02,1.581671e-02,1.476216e-02,1.132769e-02,8.122000e-02,9.740171e-02,9.388356e-02,7.098879e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.920539e-03,3.153143e-03,1.327132e-03,1.232681e-04
2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.089880e-02,-1.852714e-02,1.162555e-01,1.201286e-01,-4.992717e-01,-6.059696e-02,8.598223e-02,8.075651e-02,9.303596e-02,9.256546e-02,-5.548735e-04,-2.645164e-02,-2.159370e-01,-1.740359e-01,-6.264051e-02,-8.881073e-02,6.957366e-02,4.358440e-02,-1.002399e-01,-1.035966e-01,-1.687553e-01,-2.144023e-01,9.204945e-02,9.137137e-02,9.036577e-02,8.875440e-02,-9.722963e-02,-7.381091e-02,-1.063736e-01,-1.079183e-01,-9.308648e-02,-9.404978e-02,1.191350e-01,1.190495e-01,-1.001657e-01,-1.285518e-01,-2.128724e-02,1.587880e-01,-3.240617e-02,-2.832996e-02,-1.061524e-01,-1.053336e-01,1.194691e-01,1.193880e-01,-9.065501e-02,-9.130908e-02,2.882494e-03,-1.698840e-02,-1.073677e-01,-1.066592e-01,-1.193987e-01,-1.050494e-01,7.626287e-02,9.309364e-02,-9.182840e-02,-9.238516e-02,1.153029e-01,1.292740e-01,-9.543171e-02,-9.743750e-02,-9.452538e-02,-9.170634e-02,-9.161845e-02,-9.648285e-02,-1.784967e-02,-1.602905e-02,-1.530183e-02,-2.133085e-02,4.169306e-02,4.228141e-02,4.128294e-02,3.547960e-02,1.757223e-01,1.857098e-01,1.826664e-01,1.640478e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-1.687486e-01,-2.143898e-01,-2.159196e-01,-1.740147e-01
3,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.354259e-02,-3.058106e-02,-3.558876e-01,8.061567e-01,-8.147600e-01,2.475591e-01,8.432259e-02,7.801477e-02,8.939777e-02,9.090316e-02,-3.102220e-02,-6.883936e-02,-4.300387e-01,-4.716675e-01,-1.390985e-01,-1.006435e-01,6.514366e-02,3.679935e-02,-1.027219e-01,-1.068673e-01,-3.182484e-01,-5.454267e-01,9.111488e-02,9.068026e-02,8.963274e-02,8.772060e-02,-1.021701e-01,-7.866093e-02,-6.877977e-01,3.020798e-01,-9.386690e-02,-9.499924e-02,-3.579712e-01,7.827635e-01,-5.964092e-01,8.205814e-02,-2.360390e-01,7.871141e-01,-7.723694e-02,-6.927311e-02,-1.102042e-01,-1.099909e-01,-3.418453e-01,8.044084e-01,-9.474791e-02,-9.321625e-02,-6.650774e-03,-2.872341e-02,-6.657978e-01,2.733873e-01,-6.657319e-01,2.802246e-01,-4.184892e-02,8.115901e-02,-9.291914e-02,-9.318539e-02,-3.026480e-01,4.811679e-01,-9.672150e-02,-9.924156e-02,9.454293e-02,-6.433677e-01,2.614678e-01,-5.051611e-01,3.313566e-01,-6.579372e-01,5.371004e-01,-4.706663e-01,5.001392e-01,-5.796706e-01,7.827877e-01,-3.772202e-01,5.823513e-01,-1.912119e-01,7.898333e-01,-6.833039e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-3.182782e-01,-5.454427e-01,-4.300440e-01,-4.716613e-01
4,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,1,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.577972e-02,-3.268938e-02,-3.503075e-01,8.136665e-01,-8.507638e-01,2.918474e-01,8.414677e-02,7.759451e-02,8.955463e-02,9.103525e-02,-3.789282e-02,-7.704647e-02,-4.784335e-01,-5.391335e-01,-1.214355e-01,-9.829741e-02,6.435601e-02,3.554085e-02,-1.030591e-01,-1.073479e-01,-3.779867e-01,-5.981988e-01,9.122057e-02,9.076071e-02,8.967438e-02,8.768714e-02,-1.029210e-01,-7.938693e-02,-7.245051e-01,3.254807e-01,-9.383548e-02,-9.502578e-02,-3.493078e-01,7.927109e-01,-6.117200e-01,6.421137e-02,-2.338876e-01,7.856791e-01,-8.636813e-02,-7.819940e-02,-1.108187e-01,-1.107028e-01,-3.394291e-01,8.116911e-01,-9.403100e-02,-9.290994e-02,-8.401832e-03,-3.082671e-02,-7.133048e-01,3.093449e-01,-7.111672e-01,3.110362e-01,-4.565309e-02,8.120306e-02,-9.276242e-02,-9.310122e-02,-2.975478e-01,4.930884e-01,-9.682525e-02,-9.944925e-02,7.490424e-02,-6.731813e-01,3.248771e-01,-6.147130e-01,3.600720e-01,-7.538670e-01,6.809507e-01,-5.690177e-01,5.558396e-01,-6.195229e-01,8.313061e-01,-3.652638e-01,6.550676e-01,-2.506124e-01,7.889628e-01,-3.322696e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-3.780116e-01,-5.982100e-01,-4.784352e-01,-5.391277e-01
5,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.806380e-02,-3.465668e-02,-3.490205e-01,8.303371e-01,-8.866626e-01,3.453044e-01,8.381487e-02,7.701361e-02,8.746519e-02,9.016985e-02,-4.517819e-02,-8.615851e-02,-5.362544e-01,-5.820187e-01,-1.115966e-01,-9.727528e-02,6.338363e-02,3.405893e-02,-1.035382e-01,-1.079719e-01,-4.350955e-01,-6.620989e-01,9.079658e-02,9.051955e-02,8.949479e-02,8.748023e-02,-1.037416e-01,-8.013684e-02,-7.637018e-01,3.542511e-01,-9.399879e-02,-9.521140e-02,-3.465675e-01,8.275827e-01,-6.508775e-01,8.236211e-02,-2.308597e-01,7.869047e-01,-9.549104e-02,-8.519910e-02,-1.115688e-01,-1.115253e-01,-3.445670e-01,8.289534e-01,-9.423053e-02,-9.319667e-02,-1.040287e-02,-3.313319e-02,-7.636183e-01,3.544569e-01,-7.624285e-01,3.537175e-01,-9.417000e-02,7.429126e-02,-9.298933e-02,-9.327937e-02,-3.507336e-01,5.448717e-01,-9.707213e-02,-9.979637e-02,7.184596e-02,-7.077271e-01,3.574740e-01,-6.431980e-01,4.194523e-01,-8.123910e-01,7.442194e-01,-6.090804e-01,6.287447e-01,-7.184453e-01,8.722352e-01,-3.936110e-01,7.168772e-01,-2.634862e-01,7.957057e-01,-8.644731e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.351084e-01,-6.620984e-01,-5.362448e-01,-5.820029e-01
6,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.806380e-02,-3.465668e-02,-3.490205e-01,8.303371e-01,-8.866626e-01,3.453044e-01,8.381487e-02,7.701361e-02,8.746519e-02,9.016985e-02,-4.517819e-02,-8.615851e-02,-5.362544e-01,-5.820187e-01,-1.115966e-01,-9.727528e-02,6.338363e-02,3.405893e-02,-1.035382e-01,-1.079719e-01,-4.350955e-01,-6.620989e-01,9.079658e-02,9.051955e-02,8.949479e-02,8.748023e-02,-1.037416e-01,-8.013684e-02,-7.637018e-01,3.542511e-01,-9.399879e-02,-9.521140e-02,-3.465675e-01,8.275827e-01,-6.508775e-01,8.236213e-02,-2.308597e-01,7.869047e-01,-9.549104e-02,-8.519910e-02,-1.115688e-01,-1.115253e-01,-3.445670e-01,8.289534e-01,-9.423053e-02,-9.319668e-02,-1.040287e-02,-3.313319e-02,-7.636183e-01,3.544569e-01,-7.624285e-01,3.537175e-01,-9.417003e-02,7.429126e-02,-9.298934e-02,-9.327937e-02,-3.507336e-01,5.448718e-01,-9.707213e-02,-9.979637e-02,7.184596e-02,-7.077271e-01,3.574740e-01,-6.431980e-01,4.194523e-01,-8.123910e-01,7.442194e-01,-6.090804e-01,6.287447e-01,-7.184453e-01,8.722352e-01,-3.936110e-01,7.168772e-01,-2.634862e-01,7.957057e-01,-8.644731e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.351084e-01,-6.620984e-01,-5.362448e-01,-5.820029e-01
7,-2,-2,2,2,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,2,2,-1,-1,2,2,2,2,2,2,-2,-2,-2,-2,2,2,-1,-1,-2,-2,2,2,2,2,-1,-1,-1,-1,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.790130e-02,-3.453264e-02,-3.488260e-01,8.303480e-01,-8.866186e-01,3.454116e-01,6.840377e-02,7.770438e-02,1.126329e-01,1.194768e-01,-4.454973e-02,-8.583802e-02,-5.359048e-01,-5.818371e-01,-2.520504e-01,-7.129664e-02,6.407039e-02,3.449710e-02,-1.023671e-01,-1.072913e-01,-4.337567e-01,-6.614588e-01,1.180429e-01,1.175205e-01,1.130113e-01,1.236378e-01,-1.035262e-01,-7.997632e-02,-7.642397e-01,3.565526e-01,-1.017103e-01,-1.328139e-01,-3.437283e-01,8.404743e-01,-6.997309e-01,1.787377e-01,-2.307506e-01,7.869099e-01,-9.530106e-02,-8.507858e-02,-1.111297e-01,-1.112245e-01,-3.442108e-01,8.283246e-01,-1.138932e-01,-1.058020e-01,-1.010156e-02,-3.291503e-02,-7.636121e-01,3.548026e-01,-7.624083e-01,3.538732e-01,-1.344412e-01,1.809001e-01,-1.073833e-01,-1.090776e-01,-3.804977e-01,6.587812e-01,-6.710992e-02,-9.679770e-02,7.302879e-02,-7.078939e-01,3.576881e-01,-6.431356e-01,4.204934e-01,-8.123928e-01,7.444718e-01,-6.088128e-01,6.295565e-01,-7.179711e-01,8.723777e-01,-3.933380e-01,7.170864e-01,-2.632334e-01,7.956733e-01,-8.421344e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.338637e-01,-6.615525e-01,-5.359887e-01,-5.819136e-01
8,-2,-2,2,2,2,2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,2,2,0,0,2,2,2,2,2,2,-2,-2,-2,-2,2,2,0,0,-2,-2,2,2,2,2,0,0,0,0,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.812976e-02,-3.466410e-02,-3.485517e-01,8.303487e-01,-8.865492e-01,3.455981e-01,-5.159407e-02,6.554449e-02,-3.456771e-01,8.057560e-01,-4.370595e-02,-8.547974e-02,-5.352278e-01,-5.814880e-01,-6.742263e-01,2.787022e-01,6.040110e-02,3.288258e-02,-1.063593e-01,-1.090814e-01,-4.313015e-01,-6.602559e-01,-3.585665e-01,7.842627e-01,-3.078284e-01,4.792383e-01,-1.037983e-01,-8.013626e-02,-7.643449e-01,3.575665e-01,-5.979288e-01,7.759085e-02,-3.432124e-01,8.298408e-01,-7.472817e-01,3.138862e-01,-2.306014e-01,7.869220e-01,-9.512984e-02,-8.499761e-02,-1.120282e-01,-1.117072e-01,-3.436365e-01,8.285846e-01,-6.669731e-01,2.713733e-01,-1.089683e-02,-3.333134e-02,-7.635162e-01,3.552259e-01,-7.623888e-01,3.541881e-01,-3.467389e-01,8.024816e-01,-6.864978e-01,2.993066e-01,-3.445591e-01,8.449572e-01,-1.420801e-01,-1.083776e-01,7.513241e-02,-7.081744e-01,3.581324e-01,-6.429908e-01,4.223031e-01,-8.123602e-01,7.449747e-01,-6.082516e-01,6.309283e-01,-7.171514e-01,8.726083e-01,-3.927902e-01,7.174157e-01,-2.628069e-01,7.956065e-01,-7.977971e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.316964e-01,-6.604111e-01,-5.356345e-01,-5.816487e-01
9,-2,-2,2,2,2,2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,2,2,1,1,2,2,2,2,2,2,-2,-2,-2,-2,2,2,1,1,-2,-2,2,2,2,2,1,1,1,1,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.811256e-02,-3.465494e-02,-3.486191e-01,8.303464e-01,-8.865650e-01,3.455553e-01,-5.409459e-02,6.568417e-02,-3.415154e-01,8.124254e-01,-4.359574e-02,-8.543147e-02,-5.351558e-01,-5.814563e-01,-7.163966e-01,3.110614e-01,6.053786e-02,3.296890e-02,-1.056813e-01,-1.088106e-01,-4.309800e-01,-6.601108e-01,-3.510185e-01,7.921237e-01,-3.007172e-01,4.873597e-01,-1.037659e-01,-8.011887e-02,-7.640898e-01,3.561746e-01,-6.111843e-01,5.982846e-02,-3.437336e-01,8.294536e-01,-7.547433e-01,3.314702e-01,-2.306386e-01,7.869196e-01,-9.510686e-02,-8.498770e-02,-1.119040e-01,-1.116453e-01,-3.437699e-01,8.286464e-01,-7.139061e-01,3.078448e-01,-1.084501e-02,-3.330099e-02,-7.635249e-01,3.550617e-01,-7.623936e-01,3.541128e-01,-3.436014e-01,8.110849e-01,-7.244818e-01,3.236948e-01,-3.450380e-01,8.350344e-01,-1.246993e-01,-1.061050e-01,7.544077e-02,-7.082197e-01,3.581828e-01,-6.429778e-01,4.225838e-01,-8.123621e-01,7.450398e-01,-6.081805e-01,6.311559e-01,-7.170174e-01,8.726473e-01,-3.927130e-01,7.174779e-01,-2.627324e-01,7.955960e-01,-7.912848e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.313860e-01,-6.602686e-01,-5.355660e-01,-5.816141e-01
10,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.822459e-02,-3.472914e-02,-3.486728e-01,8.303453e-01,-8.865763e-01,3.455270e-01,-9.310850e-02,6.026147e-02,-3.455292e-01,8.290975e-01,-4.358470e-02,-8.546262e-02,-5.350569e-01,-5.814193e-01,-7.638658e-01,3.542558e-01,5.892565e-02,3.230391e-02,-1.056865e-01,-1.089708e-01,-4.304881e-01,-6.598983e-01,-3.483325e-01,8.234403e-01,-3.425180e-01,5.311510e-01,-1.038421e-01,-8.017504e-02,-7.638104e-01,3.548255e-01,-6.464779e-01,7.147285e-02,-3.442463e-01,8.287486e-01,-7.638335e-01,3.546165e-01,-2.306683e-01,7.869185e-01,-9.514357e-02,-8.502284e-02,-1.120453e-01,-1.117505e-01,-3.438767e-01,8.287260e-01,-7.639141e-01,3.535756e-01,-1.117344e-02,-3.348418e-02,-7.635319e-01,3.549512e-01,-7.623979e-01,3.540639e-01,-3.448545e-01,8.287365e-01,-7.640377e-01,3.531484e-01,-3.445053e-01,8.287429e-01,-1.135986e-01,-1.048298e-01,7.591924e-02,-7.082915e-01,3.582650e-01,-6.429545e-01,4.230095e-01,-8.123643e-01,7.451434e-01,-6.080588e-01,6.314899e-01,-7.168206e-01,8.726971e-01,-3.925846e-01,7.175630e-01,-2.626263e-01,7.955754e-01,-7.805307e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.309156e-01,-6.600667e-01,-5.354822e-01,-5.815842e-01
