#time,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,driver_0003a,driver_0003b,driver_0004a,driver_0004b,Out_0012a,Out_0012b,Out_0021a,Out_0021b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1.069771e-02,-8.152245e-03,-9.171954e-02,-9.182996e-02,-4.451552e-04,-2.197075e-03,9.094574e-02,8.983080e-02,-9.271258e-02,-9.335133e-02,2.602909e-02,5.671968e-03,-9.201310e-02,-9.229228e-02,1.073625e-03,5.220200e-04,8.779861e-02,8.364635e-02,-1.210871e-02,-1.079812e-02,-1.030722e-01,-1.020053e-01,8.172297e-04,1.329866e-04,1.760912e-03,1.360154e-03,9.264388e-02,9.259133e-02,-1.069087e-01,-9.739388e-02,5.305909e-03,2.554539e-03,1.222776e-03,1.311491e-03,9.172626e-02,9.163437e-02,7.391334e-02,4.966884e-02,9.205138e-02,9.237447e-02,7.717079e-04,-3.666791e-04,-9.433933e-02,-9.587300e-02,9.202932e-02,9.161031e-02,9.255764e-02,9.263750e-02,-9.211058e-02,-9.182068e-02,-9.409270e-02,-9.273028e-02,-9.814216e-02,-1.009628e-01,-9.169784e-02,-9.167340e-02,9.248129e-02,9.230269e-02,-6.506574e-03,9.340776e-02,-4.208178e-01,-1.443552e-01,-9.391603e-02,-7.076306e-02,1.873898e-03,1.264320e-03,1.833750e-03,2.071996e-03,4.339713e-03,3.308532e-03,4.272458e-03,4.686784e-03,1.476805e-02,1.137382e-02,1.402856e-02,1.576310e-02,9.390163e-02,7.102557e-02,8.117637e-02,9.739305e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.677192e-04,3.193691e-04,8.246766e-04,1.007285e-03
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.187564e-03,-9.747466e-03,-9.069584e-02,-9.132158e-02,-3.885759e-03,-5.354579e-03,9.059901e-02,8.930362e-02,-9.284855e-02,-9.362406e-02,2.278444e-02,2.201463e-03,-9.179328e-02,-9.227158e-02,-2.161894e-01,-1.735689e-01,8.707522e-02,8.271396e-02,-1.369576e-02,-1.229399e-02,-1.038559e-01,-1.028235e-01,-3.143842e-02,-2.624869e-02,-2.516009e-02,-3.109609e-02,7.622503e-02,9.303718e-02,-1.194513e-01,-1.051878e-01,-2.784164e-03,-6.489818e-03,-1.736713e-01,-2.163591e-01,1.161201e-01,1.199409e-01,7.276925e-02,4.832574e-02,1.191209e-01,1.190636e-01,-8.197993e-03,-8.249418e-03,-9.473851e-02,-9.639045e-02,9.202719e-02,9.143364e-02,1.152945e-01,1.292383e-01,-1.002770e-01,-1.286338e-01,-1.071705e-01,-1.079761e-01,-9.876779e-02,-1.016795e-01,-6.269367e-02,-8.886814e-02,9.297133e-02,9.250815e-02,-2.137871e-02,1.587219e-01,-4.993391e-01,-6.063494e-02,-9.473366e-02,-7.154870e-02,-9.168739e-02,-9.625863e-02,-9.581221e-02,-9.188971e-02,-1.547397e-02,-2.109938e-02,-1.863452e-02,-1.588643e-02,4.123600e-02,3.561854e-02,4.123835e-02,4.226529e-02,1.826694e-01,1.641023e-01,1.755795e-01,1.856716e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-2.164155e-01,-1.737884e-01,-1.741027e-01,-2.166892e-01
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.149152e-03,-1.201028e-02,-9.482932e-02,-9.326113e-02,-8.844024e-03,-1.021795e-02,8.991043e-02,8.854716e-02,-9.347300e-02,-9.424001e-02,1.870561e-02,-2.473474e-03,-9.288936e-02,-9.302038e-02,-4.302163e-01,-4.705042e-01,8.615905e-02,8.156779e-02,-1.606806e-02,-1.465360e-02,-1.050044e-01,-1.040610e-01,-7.620808e-02,-6.710750e-02,-5.559640e-02,-7.345399e-02,-4.208984e-02,8.099461e-02,-6.616683e-01,2.714241e-01,-1.236171e-02,-1.821940e-02,-3.234703e-01,-5.475440e-01,-3.552531e-01,8.097806e-01,7.134276e-02,4.659126e-02,-3.539328e-01,7.805308e-01,-2.082830e-02,-2.028661e-02,-9.541353e-02,-9.716613e-02,9.099455e-02,9.068276e-02,-3.030457e-01,4.810109e-01,-5.971452e-01,8.180152e-02,-6.852499e-01,3.036295e-01,-9.966758e-02,-1.027093e-01,-1.390838e-01,-1.007310e-01,8.923042e-02,9.074020e-02,-2.363640e-01,7.864650e-01,-8.151903e-01,2.484507e-01,-9.601780e-02,-7.283530e-02,2.607461e-01,-5.043344e-01,9.320185e-02,-6.430388e-01,5.367561e-01,-4.703395e-01,3.308096e-01,-6.577808e-01,7.826200e-01,-3.771171e-01,4.996928e-01,-5.801703e-01,7.898435e-01,-6.825737e-02,5.824390e-01,-1.912377e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.304832e-01,-4.707516e-01,-3.239720e-01,-5.479274e-01
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.896509e-03,-1.229923e-02,-9.411169e-02,-9.296135e-02,-9.605423e-03,-1.095370e-02,8.992700e-02,8.853189e-02,-9.343701e-02,-9.423264e-02,1.808030e-02,-3.195336e-03,-9.274325e-02,-9.294453e-02,-4.786752e-01,-5.386880e-01,8.610592e-02,8.146971e-02,-1.637378e-02,-1.495593e-02,-1.051153e-01,-1.041871e-01,-8.538917e-02,-7.610633e-02,-6.247405e-02,-8.168264e-02,-4.574180e-02,8.107337e-02,-7.098199e-01,3.076141e-01,-1.413567e-02,-2.033821e-02,-3.832378e-01,-6.002616e-01,-3.503130e-01,8.160640e-01,7.119398e-02,4.638925e-02,-3.474913e-01,7.920647e-01,-2.308260e-02,-2.241289e-02,-9.543130e-02,-9.720848e-02,9.107203e-02,9.072848e-02,-2.977141e-01,4.930444e-01,-6.119707e-01,6.410291e-02,-7.232258e-01,3.259816e-01,-9.973448e-02,-1.027997e-01,-1.214688e-01,-9.838019e-02,8.939125e-02,9.085779e-02,-2.341250e-01,7.854601e-01,-8.509130e-01,2.918457e-01,-9.615223e-02,-7.297091e-02,3.248889e-01,-6.145281e-01,7.333228e-02,-6.730005e-01,6.810654e-01,-5.688540e-01,3.588866e-01,-7.535588e-01,8.313051e-01,-3.651420e-01,5.550126e-01,-6.193121e-01,7.889344e-01,-3.316555e-02,6.546572e-01,-2.506390e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.789435e-01,-5.389397e-01,-3.837428e-01,-6.006466e-01
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.553408e-03,-1.266510e-02,-9.432437e-02,-9.326382e-02,-1.043031e-02,-1.170670e-02,8.972113e-02,8.835035e-02,-9.358710e-02,-9.436699e-02,1.732400e-02,-4.022284e-03,-9.298481e-02,-9.312929e-02,-5.364445e-01,-5.815230e-01,8.591704e-02,8.125286e-02,-1.673938e-02,-1.530004e-02,-1.052941e-01,-1.043723e-01,-9.449777e-02,-8.310080e-02,-6.970515e-02,-9.076102e-02,-9.412260e-02,7.416707e-02,-7.624887e-01,3.534489e-01,-1.614126e-02,-2.264132e-02,-4.402387e-01,-6.640092e-01,-3.494657e-01,8.305670e-01,7.093685e-02,4.608727e-02,-3.463573e-01,8.274844e-01,-2.536374e-02,-2.437726e-02,-9.556372e-02,-9.734832e-02,9.060810e-02,9.044556e-02,-3.505564e-01,5.446634e-01,-6.508097e-01,8.217122e-02,-7.634427e-01,3.542026e-01,-9.988711e-02,-1.029665e-01,-1.116252e-01,-9.736762e-02,8.728396e-02,8.996159e-02,-2.310732e-01,7.868954e-01,-8.867502e-01,3.450763e-01,-9.633648e-02,-7.314712e-02,3.574760e-01,-6.429695e-01,7.028183e-02,-7.075114e-01,7.442563e-01,-6.089033e-01,4.185334e-01,-8.122463e-01,8.721675e-01,-3.935166e-01,6.282430e-01,-7.186504e-01,7.957089e-01,-8.578898e-03,7.167812e-01,-2.635572e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.367146e-01,-5.817749e-01,-4.407535e-01,-6.643991e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.553408e-03,-1.266510e-02,-9.432437e-02,-9.326382e-02,-1.043031e-02,-1.170670e-02,8.972113e-02,8.835035e-02,-9.358710e-02,-9.436699e-02,1.732400e-02,-4.022284e-03,-9.298481e-02,-9.312929e-02,-5.364445e-01,-5.815230e-01,8.591704e-02,8.125286e-02,-1.673938e-02,-1.530004e-02,-1.052941e-01,-1.043723e-01,-9.449777e-02,-8.310080e-02,-6.970515e-02,-9.076102e-02,-9.412260e-02,7.416707e-02,-7.624887e-01,3.534489e-01,-1.614126e-02,-2.264132e-02,-4.402387e-01,-6.640092e-01,-3.494657e-01,8.305670e-01,7.093685e-02,4.608727e-02,-3.463573e-01,8.274844e-01,-2.536374e-02,-2.437726e-02,-9.556372e-02,-9.734832e-02,9.060810e-02,9.044556e-02,-3.505564e-01,5.446634e-01,-6.508097e-01,8.217122e-02,-7.634427e-01,3.542026e-01,-9.988711e-02,-1.029665e-01,-1.116252e-01,-9.736762e-02,8.728396e-02,8.996159e-02,-2.310732e-01,7.868954e-01,-8.867502e-01,3.450763e-01,-9.633648e-02,-7.314712e-02,3.574760e-01,-6.429695e-01,7.028183e-02,-7.075114e-01,7.442563e-01,-6.089033e-01,4.185334e-01,-8.122463e-01,8.721675e-01,-3.935166e-01,6.282430e-01,-7.186504e-01,7.957089e-01,-8.578898e-03,7.167812e-01,-2.635572e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.367146e-01,-5.817749e-01,-4.407535e-01,-6.643991e-01
7,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-1,-1,2,2,2,2,2,2,-2,-2,-1,-1,-1,-1,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.832197e-03,-1.246737e-02,-1.139828e-01,-1.058829e-01,-1.027909e-02,-1.160903e-02,1.131290e-01,1.246788e-01,-1.015486e-01,-1.318466e-01,1.789653e-02,-3.753019e-03,-1.074351e-01,-1.090141e-01,-5.360934e-01,-5.813067e-01,7.033542e-02,8.190421e-02,-1.659346e-02,-1.518835e-02,-1.048684e-01,-1.040828e-01,-9.418456e-02,-8.290914e-02,-6.885490e-02,-9.024920e-02,-1.345264e-01,1.807929e-01,-7.624848e-01,3.537965e-01,-1.523411e-02,-2.218313e-02,-4.394078e-01,-6.634992e-01,-3.491067e-01,8.299358e-01,7.159791e-02,4.650220e-02,-3.435109e-01,8.404404e-01,-2.511561e-02,-2.423322e-02,-6.585837e-02,-9.440125e-02,1.178832e-01,1.174513e-01,-3.804967e-01,6.587378e-01,-6.997323e-01,1.786476e-01,-7.639767e-01,3.564942e-01,-9.874091e-02,-1.023032e-01,-2.520855e-01,-7.139553e-02,1.124799e-01,1.193073e-01,-2.308792e-01,7.869089e-01,-8.866774e-01,3.452421e-01,-9.613035e-02,-7.299418e-02,3.576591e-01,-6.428993e-01,7.087621e-02,-7.075694e-01,7.444414e-01,-6.086998e-01,4.190391e-01,-8.122090e-01,8.722418e-01,-3.933336e-01,6.286312e-01,-7.184055e-01,7.956924e-01,-8.433945e-03,7.168771e-01,-2.634265e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.366314e-01,-5.817360e-01,-4.401560e-01,-6.641419e-01
8,-2,-2,0,0,-2,-2,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,0,0,2,2,2,2,2,2,-2,-2,0,0,0,0,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.005332e-03,-1.291545e-02,-6.669560e-01,2.711369e-01,-1.017937e-02,-1.157085e-02,-3.071868e-01,4.797114e-01,-5.977267e-01,7.847529e-02,1.864113e-02,-3.487029e-03,-6.866696e-01,2.995001e-01,-5.354275e-01,-5.808723e-01,-4.924843e-02,6.977936e-02,-1.684928e-02,-1.534050e-02,-1.057820e-01,-1.045799e-01,-9.356530e-02,-8.251453e-02,-6.733205e-02,-8.928300e-02,-3.468275e-01,8.025132e-01,-7.623923e-01,3.542232e-01,-1.355302e-02,-2.131393e-02,-4.379969e-01,-6.625865e-01,-3.485261e-01,8.301953e-01,6.791686e-02,4.486227e-02,-3.429914e-01,8.298057e-01,-2.464371e-02,-2.396546e-02,-1.411138e-01,-1.060323e-01,-3.588243e-01,7.839710e-01,-3.445458e-01,8.449693e-01,-7.472778e-01,3.137966e-01,-7.640818e-01,3.575136e-01,-1.027534e-01,-1.041084e-01,-6.742325e-01,2.785513e-01,-3.458442e-01,8.058166e-01,-2.306092e-01,7.869156e-01,-8.865660e-01,3.455755e-01,-9.641563e-02,-7.316511e-02,3.579991e-01,-6.427485e-01,7.185246e-02,-7.076652e-01,7.447746e-01,-6.083075e-01,4.198605e-01,-8.121388e-01,8.723484e-01,-3.929907e-01,6.292521e-01,-7.180081e-01,7.956556e-01,-8.163440e-03,7.170218e-01,-2.632178e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.364818e-01,-5.816621e-01,-4.394100e-01,-6.635118e-01
9,-2,-2,1,1,-2,-2,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,-2,-2,1,1,1,1,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.050618e-03,-1.289061e-02,-7.139236e-01,3.076853e-01,-1.016593e-02,-1.156651e-02,-3.005184e-01,4.884668e-01,-6.113194e-01,6.079460e-02,1.873722e-02,-3.451653e-03,-7.245434e-01,3.237363e-01,-5.353321e-01,-5.808152e-01,-5.207127e-02,6.987835e-02,-1.683643e-02,-1.533451e-02,-1.056615e-01,-1.045211e-01,-9.348917e-02,-8.247077e-02,-6.711244e-02,-8.915391e-02,-3.437005e-01,8.111043e-01,-7.624002e-01,3.540583e-01,-1.334335e-02,-2.121550e-02,-4.377636e-01,-6.624455e-01,-3.486607e-01,8.302572e-01,6.804017e-02,4.494051e-02,-3.435132e-01,8.294187e-01,-2.459608e-02,-2.394242e-02,-1.237328e-01,-1.037645e-01,-3.512179e-01,7.921417e-01,-3.450272e-01,8.350382e-01,-7.547414e-01,3.313827e-01,-7.638266e-01,3.561204e-01,-1.020807e-01,-1.038420e-01,-7.164014e-01,3.109156e-01,-3.417115e-01,8.124416e-01,-2.306758e-01,7.869119e-01,-8.865919e-01,3.454960e-01,-9.638568e-02,-7.314965e-02,3.580514e-01,-6.427283e-01,7.202744e-02,-7.076837e-01,7.448293e-01,-6.082451e-01,4.200130e-01,-8.121288e-01,8.723700e-01,-3.929326e-01,6.293724e-01,-7.179321e-01,7.956492e-01,-8.116484e-03,7.170525e-01,-2.631761e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.364577e-01,-5.816509e-01,-4.392395e-01,-6.634404e-01
10,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.689051e-03,-1.309622e-02,-7.639518e-01,3.534467e-01,-1.022315e-02,-1.161472e-02,-3.448427e-01,5.341433e-01,-6.476119e-01,7.385487e-02,1.871657e-02,-3.510352e-03,-7.640522e-01,3.530764e-01,-5.351798e-01,-5.807211e-01,-9.316982e-02,6.412623e-02,-1.696425e-02,-1.541981e-02,-1.058245e-01,-1.046415e-01,-9.336621e-02,-8.240022e-02,-6.676582e-02,-8.894682e-02,-3.449615e-01,8.287215e-01,-7.624068e-01,3.539459e-01,-1.302467e-02,-2.107676e-02,-4.374117e-01,-6.622270e-01,-3.487696e-01,8.303367e-01,6.631588e-02,4.422076e-02,-3.440282e-01,8.287138e-01,-2.453796e-02,-2.392163e-02,-1.128931e-01,-1.025450e-01,-3.484666e-01,8.242917e-01,-3.445002e-01,8.287325e-01,-7.638353e-01,3.545267e-01,-7.635473e-01,3.547672e-01,-1.021317e-01,-1.040340e-01,-7.638788e-01,3.541214e-01,-3.457353e-01,8.290391e-01,-2.307302e-01,7.869102e-01,-8.866104e-01,3.454434e-01,-9.647304e-02,-7.321400e-02,3.581328e-01,-6.426933e-01,7.228240e-02,-7.077141e-01,7.449110e-01,-6.081444e-01,4.202319e-01,-8.121169e-01,8.723944e-01,-3.928407e-01,6.295421e-01,-7.178256e-01,7.956360e-01,-8.042220e-03,7.170936e-01,-2.631188e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.364218e-01,-5.816334e-01,-4.389666e-01,-6.632783e-01
