#time,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,driver_0003a,driver_0003b,driver_0004a,driver_0004b,Out_0014a,Out_0014b,Out_0019a,Out_0019b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-9.834429e-02,-1.010580e-01,-4.212307e-01,-1.448916e-01,-6.990474e-03,9.275776e-02,-1.607202e-04,-1.948923e-03,8.757796e-02,8.357219e-02,9.081925e-02,9.033339e-02,-1.076377e-01,-9.839132e-02,-9.506774e-02,-9.626175e-02,-1.031051e-01,-1.020023e-01,6.040450e-03,3.222908e-03,-9.389381e-02,-7.073216e-02,2.637535e-02,5.988502e-03,-1.199266e-02,-1.068895e-02,7.392868e-02,4.973837e-02,1.365387e-03,1.407851e-04,9.012052e-02,8.937273e-02,1.079887e-02,-8.037384e-03,-9.549061e-02,-9.473802e-02,3.258360e-03,2.788801e-03,2.107874e-03,1.224888e-03,4.874645e-03,5.031762e-03,4.497234e-03,3.343682e-03,1.435059e-02,1.596705e-02,1.488280e-02,1.142559e-02,8.137170e-02,9.752738e-02,9.398843e-02,7.107701e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.921172e-03,3.152800e-03,1.326907e-03,1.233508e-04
2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9.994689e-02,-1.033933e-01,-4.997272e-01,-6.236233e-02,-2.238715e-02,1.580456e-01,-3.226385e-02,-2.822103e-02,8.666614e-02,8.119735e-02,1.111772e-01,1.282143e-01,-1.136578e-01,-1.288328e-01,-9.464138e-02,-9.698615e-02,-1.060042e-01,-1.052218e-01,-1.682440e-01,-2.140601e-01,-9.714290e-02,-7.374210e-02,-2.842350e-04,-2.626089e-02,-2.079323e-02,-1.844210e-02,6.987476e-02,4.380397e-02,-2.156991e-01,-1.738676e-01,7.430309e-02,8.939258e-02,3.051155e-03,-1.685581e-02,-6.490681e-02,-9.174195e-02,-9.399970e-02,-9.154438e-02,-9.145790e-02,-9.635590e-02,-1.726391e-02,-1.599849e-02,-1.509381e-02,-2.122120e-02,4.221108e-02,4.246131e-02,4.147765e-02,3.563658e-02,1.760015e-01,1.858771e-01,1.828006e-01,1.641672e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-1.684816e-01,-2.142465e-01,-2.158565e-01,-1.739653e-01
3,-2,-2,0,0,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.032262e-01,-1.070874e-01,-8.264472e-01,2.728795e-01,-2.448385e-01,7.530899e-01,-7.697579e-02,-6.900301e-02,8.164285e-02,7.696984e-02,-3.112681e-01,4.846292e-01,-5.882517e-01,7.872155e-02,-9.964687e-02,-1.004091e-01,-1.102922e-01,-1.100145e-01,-3.170407e-01,-5.448921e-01,-1.021620e-01,-7.863782e-02,-3.063272e-02,-6.856179e-02,-3.349275e-02,-3.051685e-02,6.469915e-02,3.662130e-02,-4.294687e-01,-4.697819e-01,-4.191830e-02,7.705549e-02,-6.699148e-03,-2.870684e-02,-1.403247e-01,-1.038927e-01,9.567831e-02,-6.430379e-01,2.601139e-01,-5.032465e-01,3.319494e-01,-6.581289e-01,5.361909e-01,-4.695282e-01,5.009511e-01,-5.785952e-01,7.828562e-01,-3.765536e-01,5.821466e-01,-1.909828e-01,7.897266e-01,-6.798889e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-3.175208e-01,-5.451125e-01,-4.299062e-01,-4.699428e-01
4,-2,-2,1,1,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.034341e-01,-1.074961e-01,-8.585626e-01,3.052929e-01,-2.396995e-01,7.595232e-01,-8.616443e-02,-7.805827e-02,8.144656e-02,7.659253e-02,-3.054931e-01,4.933534e-01,-6.047272e-01,6.192871e-02,-9.909023e-02,-1.003513e-01,-1.108636e-01,-1.107002e-01,-3.764771e-01,-5.973640e-01,-1.028978e-01,-7.935617e-02,-3.744868e-02,-7.675488e-02,-3.573049e-02,-3.263760e-02,6.395826e-02,3.540211e-02,-4.779187e-01,-5.388632e-01,-4.829088e-02,7.656289e-02,-8.421643e-03,-3.079547e-02,-1.227572e-01,-1.016348e-01,7.648840e-02,-6.734178e-01,3.252300e-01,-6.146977e-01,3.619847e-01,-7.543007e-01,6.813326e-01,-5.686863e-01,5.574796e-01,-6.197104e-01,8.314051e-01,-3.648502e-01,6.560285e-01,-2.504443e-01,7.889540e-01,-3.291442e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-3.769740e-01,-5.975951e-01,-4.783763e-01,-5.390392e-01
5,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.040957e-01,-1.082468e-01,-8.868584e-01,3.434759e-01,-2.336803e-01,7.857094e-01,-9.533517e-02,-8.509381e-02,7.908340e-02,7.518087e-02,-3.566195e-01,5.450215e-01,-6.491565e-01,7.936566e-02,-9.946629e-02,-1.009342e-01,-1.117006e-01,-1.115832e-01,-4.336304e-01,-6.613373e-01,-1.037611e-01,-8.013689e-02,-4.480843e-02,-8.592808e-02,-3.807117e-02,-3.464388e-02,6.258074e-02,3.369794e-02,-5.357874e-01,-5.817532e-01,-9.701728e-02,6.951612e-02,-1.055575e-02,-3.318680e-02,-1.126750e-01,-1.006816e-01,7.339472e-02,-7.079398e-01,3.578068e-01,-6.430694e-01,4.209149e-01,-8.123634e-01,7.446300e-01,-6.086009e-01,6.299326e-01,-7.177322e-01,8.724363e-01,-3.931300e-01,7.171780e-01,-2.631045e-01,7.956462e-01,-8.252038e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.341483e-01,-6.615826e-01,-5.362954e-01,-5.819240e-01
6,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.040957e-01,-1.082468e-01,-8.868584e-01,3.434759e-01,-2.336803e-01,7.857094e-01,-9.533517e-02,-8.509381e-02,7.908340e-02,7.518087e-02,-3.566195e-01,5.450215e-01,-6.491565e-01,7.936566e-02,-9.946629e-02,-1.009342e-01,-1.117006e-01,-1.115832e-01,-4.336304e-01,-6.613373e-01,-1.037611e-01,-8.013689e-02,-4.480843e-02,-8.592808e-02,-3.807117e-02,-3.464388e-02,6.258074e-02,3.369794e-02,-5.357874e-01,-5.817532e-01,-9.701729e-02,6.951612e-02,-1.055575e-02,-3.318680e-02,-1.126750e-01,-1.006816e-01,7.339472e-02,-7.079398e-01,3.578068e-01,-6.430694e-01,4.209149e-01,-8.123634e-01,7.446300e-01,-6.086009e-01,6.299326e-01,-7.177322e-01,8.724363e-01,-3.931300e-01,7.171780e-01,-2.631045e-01,7.956462e-01,-8.252038e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.341483e-01,-6.615826e-01,-5.362954e-01,-5.819240e-01
7,-2,-2,2,2,2,2,-2,-2,-1,-1,2,2,2,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-7.253329e-02,-1.047196e-01,-8.872360e-01,3.458718e-01,-2.308768e-01,7.987588e-01,-9.462070e-02,-8.472069e-02,1.029959e-01,1.137034e-01,-3.862627e-01,6.597388e-01,-6.980057e-01,1.758162e-01,-1.108465e-01,-1.373860e-01,-1.102360e-01,-1.107262e-01,-4.291078e-01,-6.592547e-01,-1.032118e-01,-7.976390e-02,-4.033654e-02,-8.433667e-02,-3.760047e-02,-3.432242e-02,5.019207e-02,3.531688e-02,-5.347240e-01,-5.812352e-01,-1.368232e-01,1.774398e-01,-9.374539e-03,-3.245954e-02,-2.523418e-01,-7.546076e-02,7.594540e-02,-7.082647e-01,3.583123e-01,-6.429555e-01,4.227690e-01,-8.123634e-01,7.450939e-01,-6.081553e-01,6.311262e-01,-7.170588e-01,8.726309e-01,-3.927370e-01,7.174025e-01,-2.628085e-01,7.956022e-01,-7.954940e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.296230e-01,-6.594990e-01,-5.352397e-01,-5.814110e-01
8,-2,-2,2,2,2,2,-2,-2,0,0,2,2,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.451493e-01,-1.159060e-01,-8.874566e-01,3.472123e-01,-2.305441e-01,7.880192e-01,-9.382153e-02,-8.442546e-02,-3.163450e-01,4.754837e-01,-3.506837e-01,8.530812e-01,-7.432401e-01,3.034466e-01,-5.999617e-01,7.193064e-02,-1.141312e-01,-1.124886e-01,-4.212224e-01,-6.554973e-01,-1.041069e-01,-8.025661e-02,-3.329949e-02,-8.213087e-02,-3.840238e-02,-3.476191e-02,-7.331004e-02,2.277693e-02,-5.327736e-01,-5.803024e-01,-3.610840e-01,7.888908e-01,-1.306627e-02,-3.406054e-02,-6.890194e-01,2.925341e-01,8.048528e-02,-7.088099e-01,3.592798e-01,-6.427124e-01,4.259767e-01,-8.127093e-01,7.459182e-01,-6.072749e-01,6.334089e-01,-7.157928e-01,8.729723e-01,-3.919574e-01,7.177959e-01,-2.622613e-01,7.955133e-01,-7.357045e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.217362e-01,-6.557414e-01,-5.332692e-01,-5.805123e-01
9,-2,-2,2,2,2,2,-2,-2,1,1,2,2,2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.279277e-01,-1.135922e-01,-8.872204e-01,3.458135e-01,-2.310133e-01,7.876023e-01,-9.368698e-02,-8.436008e-02,-3.052940e-01,4.776713e-01,-3.510820e-01,8.402980e-01,-7.523355e-01,3.255385e-01,-6.107376e-01,5.398439e-02,-1.133900e-01,-1.121657e-01,-4.200328e-01,-6.549664e-01,-1.039434e-01,-8.016480e-02,-3.234751e-02,-8.181345e-02,-3.830314e-02,-3.469914e-02,-7.313585e-02,2.328572e-02,-5.325190e-01,-5.801866e-01,-3.547833e-01,7.934183e-01,-1.279370e-02,-3.389894e-02,-7.253163e-01,3.204649e-01,8.127406e-02,-7.089186e-01,3.594052e-01,-6.426860e-01,4.265395e-01,-8.128465e-01,7.460225e-01,-6.071565e-01,6.338529e-01,-7.155598e-01,8.730344e-01,-3.918415e-01,7.178738e-01,-2.621604e-01,7.954981e-01,-7.265266e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.205469e-01,-6.552109e-01,-5.330137e-01,-5.804031e-01
10,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.147865e-01,-1.118666e-01,-8.869207e-01,3.444256e-01,-2.314609e-01,7.868732e-01,-9.358618e-02,-8.432649e-02,-3.263483e-01,5.058045e-01,-3.504374e-01,8.309470e-01,-7.624598e-01,3.517773e-01,-6.385169e-01,5.400594e-02,-1.130181e-01,-1.120693e-01,-4.184548e-01,-6.542553e-01,-1.039166e-01,-8.015793e-02,-3.123491e-02,-8.150624e-02,-3.839600e-02,-3.474224e-02,-9.451226e-02,2.065567e-02,-5.321759e-01,-5.800334e-01,-3.501593e-01,8.159234e-01,-1.346524e-02,-3.412830e-02,-7.642821e-01,3.523448e-01,8.228191e-02,-7.090532e-01,3.595811e-01,-6.426460e-01,4.272495e-01,-8.130142e-01,7.461669e-01,-6.069889e-01,6.344080e-01,-7.152662e-01,8.731092e-01,-3.916820e-01,7.179682e-01,-2.620342e-01,7.954764e-01,-7.139562e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.189706e-01,-6.545007e-01,-5.326686e-01,-5.802572e-01
