#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,driver_0004a,driver_0004b,driver_0021a,driver_0021b,Out_0018a,Out_0018b,Out_0006a,Out_0006b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,9.270866e-02,9.293792e-02,-8.656219e-02,-8.205543e-02,-4.201386e-01,-1.434834e-01,9.605030e-02,9.772801e-02,-6.195473e-03,-2.627998e-03,-2.679150e-02,-5.418932e-03,7.654280e-04,1.868244e-03,-5.905234e-03,9.416269e-02,1.264397e-02,1.060524e-02,9.381692e-02,9.482493e-02,9.563734e-02,7.149137e-02,-9.795719e-03,8.817165e-03,1.000767e-01,1.029243e-01,-1.057301e-01,-9.577388e-02,1.050181e-01,1.038931e-01,-7.435492e-04,-1.973800e-04,-7.214978e-02,-4.806193e-02,-9.177950e-02,-8.926456e-02,-1.470421e-03,-1.268857e-03,-3.367015e-03,-2.169423e-03,-3.869409e-03,-3.397203e-03,-4.999463e-03,-4.423526e-03,-1.425103e-02,-1.148741e-02,-1.449504e-02,-1.535730e-02,-9.227896e-02,-7.030601e-02,-8.063742e-02,-9.582792e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.155790e-04,-1.887712e-04,-6.105830e-03,-2.573971e-03
2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.132017e-01,1.321285e-01,-8.303731e-02,-7.821855e-02,-4.983443e-01,-6.142854e-02,9.829061e-02,1.000006e-01,1.637503e-01,2.109646e-01,-1.131593e-03,2.550184e-02,3.151440e-02,2.704471e-02,-2.109116e-02,1.590609e-01,2.111559e-02,1.802956e-02,7.877442e-02,9.687293e-02,9.887583e-02,7.444335e-02,-2.075978e-03,1.740064e-02,1.025901e-01,1.057730e-01,-1.120197e-01,-1.250379e-01,1.081714e-01,1.072010e-01,2.125647e-01,1.701087e-01,-6.732727e-02,-4.182687e-02,-6.079035e-02,-8.431105e-02,1.037163e-01,1.007981e-01,9.408088e-02,1.082112e-01,-2.058473e-05,1.011007e-02,-6.434637e-03,1.900769e-02,-5.321939e-02,-4.123419e-02,-6.356982e-02,-3.085085e-02,-1.652183e-01,-1.434629e-01,-1.721841e-01,-1.378712e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,2.125633e-01,1.700546e-01,1.637854e-01,2.109858e-01
3,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.070165e-01,4.857498e-01,-8.611815e-02,-7.832753e-02,-8.270925e-01,2.757071e-01,9.546457e-02,9.947774e-02,2.837410e-01,5.479831e-01,2.322449e-02,6.119476e-02,6.919598e-02,6.126693e-02,-2.437025e-01,7.523888e-01,3.113425e-02,2.765881e-02,-3.567954e-02,8.586273e-02,1.024937e-01,7.806922e-02,4.922898e-03,2.649055e-02,1.033656e-01,1.075563e-01,-5.870076e-01,8.346179e-02,1.108064e-01,1.104785e-01,3.880484e-01,4.172350e-01,-6.525857e-02,-3.741066e-02,-1.371766e-01,-9.557510e-02,-2.674877e-01,5.555351e-01,-1.513231e-01,7.731239e-01,-6.434041e-01,4.462323e-01,-4.220660e-01,7.218355e-01,-6.574311e-01,3.021608e-01,-4.970554e-01,5.247597e-01,-6.545001e-01,1.077271e-02,-5.770654e-01,2.014238e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.879698e-01,4.172114e-01,2.837209e-01,5.481342e-01
4,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.024766e-01,4.966545e-01,-8.496721e-02,-7.723989e-02,-8.585049e-01,3.074109e-01,9.575836e-02,9.998955e-02,3.444251e-01,5.955102e-01,3.174806e-02,7.170958e-02,7.997526e-02,7.050498e-02,-2.383920e-01,7.598239e-01,3.410278e-02,3.035473e-02,-4.270326e-02,8.554964e-02,1.036361e-01,7.914304e-02,7.453615e-03,2.939936e-02,1.040577e-01,1.084271e-01,-6.045025e-01,6.661577e-02,1.118333e-01,1.116045e-01,4.516754e-01,4.948417e-01,-6.383221e-02,-3.545281e-02,-1.193279e-01,-9.298547e-02,-3.176424e-01,5.885465e-01,-1.207843e-01,7.783450e-01,-6.549836e-01,4.876292e-01,-4.288840e-01,8.017254e-01,-7.382992e-01,2.807545e-01,-5.914868e-01,6.299463e-01,-6.570004e-01,-2.772879e-02,-6.341889e-01,2.305224e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,4.516197e-01,4.948223e-01,3.443996e-01,5.956864e-01
5,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.625610e-01,5.555966e-01,-8.482678e-02,-7.681334e-02,-8.861092e-01,3.449621e-01,9.364638e-02,9.945540e-02,3.977664e-01,6.404878e-01,3.977717e-02,8.142366e-02,9.106929e-02,8.214393e-02,-2.321913e-01,7.890133e-01,3.731841e-02,3.351195e-02,-9.847598e-02,7.772699e-02,1.048825e-01,8.039535e-02,9.845913e-03,3.233341e-02,1.042297e-01,1.090355e-01,-6.526151e-01,8.889422e-02,1.127542e-01,1.127401e-01,5.135118e-01,5.789443e-01,-6.283474e-02,-3.376726e-02,-1.099744e-01,-9.184542e-02,-3.563560e-01,6.848598e-01,-1.017194e-01,7.965374e-01,-7.572314e-01,5.785555e-01,-4.509724e-01,8.631949e-01,-8.239483e-01,3.589625e-01,-6.620923e-01,6.963857e-01,-7.088543e-01,-1.925735e-02,-6.753258e-01,2.683621e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.134731e-01,5.789461e-01,3.977361e-01,6.406894e-01
6,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.625615e-01,5.555971e-01,-8.482679e-02,-7.681335e-02,-8.861092e-01,3.449621e-01,9.364635e-02,9.945539e-02,3.977664e-01,6.404878e-01,3.977717e-02,8.142366e-02,9.106929e-02,8.214393e-02,-2.321913e-01,7.890135e-01,3.731841e-02,3.351195e-02,-9.847641e-02,7.772693e-02,1.048825e-01,8.039535e-02,9.845911e-03,3.233341e-02,1.042297e-01,1.090355e-01,-6.526154e-01,8.889454e-02,1.127542e-01,1.127401e-01,5.135118e-01,5.789443e-01,-6.283474e-02,-3.376726e-02,-1.099745e-01,-9.184544e-02,-3.563560e-01,6.848598e-01,-1.017194e-01,7.965374e-01,-7.572314e-01,5.785555e-01,-4.509724e-01,8.631949e-01,-8.239483e-01,3.589625e-01,-6.620923e-01,6.963857e-01,-7.088543e-01,-1.925735e-02,-6.753258e-01,2.683621e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.134731e-01,5.789461e-01,3.977361e-01,6.406894e-01
7,2,2,-1,-1,2,2,-1,-1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.835005e-01,6.614026e-01,-1.028490e-01,-1.109846e-01,-8.867330e-01,3.477166e-01,1.140026e-01,1.408877e-01,3.927643e-01,6.382622e-01,3.569995e-02,8.023175e-02,9.070111e-02,8.204977e-02,-2.297687e-01,7.986186e-01,3.760155e-02,3.370609e-02,-1.322144e-01,1.840164e-01,1.051129e-01,8.055275e-02,1.060806e-02,3.277446e-02,8.717421e-02,1.096002e-01,-6.978530e-01,1.798063e-01,1.133589e-01,1.131029e-01,5.124152e-01,5.784721e-01,-3.852008e-02,-3.172398e-02,-2.503111e-01,-6.821237e-02,-3.570015e-01,6.845444e-01,-1.049311e-01,7.969678e-01,-7.573542e-01,5.778816e-01,-4.534971e-01,8.634867e-01,-8.241388e-01,3.581318e-01,-6.639159e-01,6.956582e-01,-7.087867e-01,-1.978239e-02,-6.758471e-01,2.679156e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.123721e-01,5.785394e-01,3.927344e-01,6.384656e-01
8,2,2,0,0,2,2,0,0,-2,-2,-2,-2,-2,-2,2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.486532e-01,8.511343e-01,-5.985728e-01,9.289117e-02,-8.869428e-01,3.487714e-01,-2.892088e-01,4.918263e-01,3.887695e-01,6.364551e-01,3.195751e-02,7.868335e-02,8.992255e-02,8.160848e-02,-2.295029e-01,7.881522e-01,3.660522e-02,3.314184e-02,-3.549423e-01,7.870361e-01,1.042755e-01,8.006869e-02,6.375478e-03,3.085358e-02,-2.240076e-02,9.888100e-02,-7.434992e-01,3.074628e-01,1.100051e-01,1.115345e-01,5.114676e-01,5.780003e-01,-1.179165e-01,-4.411211e-02,-6.895217e-01,3.046526e-01,-3.575188e-01,6.842731e-01,-1.076723e-01,7.973581e-01,-7.574451e-01,5.773283e-01,-4.556851e-01,8.637624e-01,-8.242989e-01,3.574438e-01,-6.655079e-01,6.950357e-01,-7.087271e-01,-2.021900e-02,-6.763074e-01,2.675329e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.114256e-01,5.781494e-01,3.887398e-01,6.366586e-01
9,2,2,1,1,2,2,1,1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.489162e-01,8.388742e-01,-6.140079e-01,8.100322e-02,-8.867112e-01,3.474180e-01,-2.907727e-01,5.043716e-01,3.873273e-01,6.358112e-01,3.083013e-02,7.835864e-02,8.980571e-02,8.155833e-02,-2.299664e-01,7.877113e-01,3.664881e-02,3.315298e-02,-3.477744e-01,7.952507e-01,1.042201e-01,8.003709e-02,6.860559e-03,3.099629e-02,-3.377840e-02,9.760512e-02,-7.525638e-01,3.296746e-01,1.096794e-01,1.114159e-01,5.111431e-01,5.778517e-01,-1.016965e-01,-4.207800e-02,-7.246648e-01,3.294832e-01,-3.576996e-01,6.841872e-01,-1.085210e-01,7.974688e-01,-7.574776e-01,5.771539e-01,-4.563206e-01,8.638340e-01,-8.243397e-01,3.572379e-01,-6.659436e-01,6.948658e-01,-7.087097e-01,-2.034372e-02,-6.764220e-01,2.674346e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.111004e-01,5.780220e-01,3.872976e-01,6.360140e-01
10,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3.482718e-01,8.303527e-01,-6.618352e-01,1.129690e-01,-8.864559e-01,3.460080e-01,-3.675292e-01,5.732617e-01,3.866356e-01,6.355528e-01,3.040149e-02,7.821109e-02,8.969541e-02,8.146061e-02,-2.304688e-01,7.869581e-01,3.624423e-02,3.287464e-02,-3.428860e-01,8.361483e-01,1.035257e-01,7.963403e-02,6.229070e-03,3.042471e-02,-1.015036e-01,8.767896e-02,-7.624833e-01,3.554753e-01,1.065732e-01,1.100704e-01,5.110326e-01,5.777978e-01,-9.482925e-02,-4.163401e-02,-7.629661e-01,3.579010e-01,-3.577517e-01,6.841666e-01,-1.089600e-01,7.975365e-01,-7.574871e-01,5.771056e-01,-4.566484e-01,8.638882e-01,-8.243566e-01,3.571772e-01,-6.661635e-01,6.947911e-01,-7.087015e-01,-2.038041e-02,-6.764791e-01,2.673942e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.109898e-01,5.779904e-01,3.866058e-01,6.357551e-01
