#time,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,CK_0047a,CK_0047b,CK_0048a,CK_0048b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,Vout_0047a,Vout_0047b,Vout_0048a,Vout_0048b,driver_0005a,driver_0005b,driver_0008a,driver_0008b,driver_0012a,driver_0012b,driver_0022a,driver_0022b,driver_0034a,driver_0034b,driver_0039a,driver_0039b,Out_0038a,Out_0038b,Out_0011a,Out_0011b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,9.336563e-02,9.330255e-02,-4.701514e-01,-3.478637e-01,7.471071e-02,5.192180e-02,-9.084436e-02,-9.090332e-02,9.355951e-02,9.345103e-02,9.318903e-02,9.315837e-02,-9.091772e-02,-9.088112e-02,-4.205121e-01,-1.418481e-01,-9.093381e-02,-9.094680e-02,-9.054119e-02,-9.073637e-02,1.434980e-01,4.383314e-01,9.325598e-02,9.321992e-02,9.196169e-02,9.342151e-02,-6.123906e-02,-7.960007e-02,2.505301e-02,9.686172e-04,9.371339e-02,9.367307e-02,3.106530e-01,4.461710e-01,-2.633320e-02,-7.625111e-03,-4.789153e-01,-1.807167e-01,-2.486802e-02,1.452298e-02,-1.421499e-02,2.045613e-02,-9.705299e-02,-6.603277e-02,6.749901e-02,8.644310e-02,-1.049693e-02,8.546825e-02,-8.582991e-02,-8.832824e-02,-9.094770e-02,-9.093835e-02,6.365484e-03,2.922180e-02,-8.954309e-02,-9.018817e-02,-7.386490e-03,-2.589170e-02,1.597626e-02,1.681887e-03,9.312255e-02,9.307397e-02,-1.325822e-02,-3.425959e-02,9.300032e-02,9.287769e-02,-9.081846e-02,-9.070789e-02,9.265474e-02,9.220876e-02,-9.050071e-02,-9.007866e-02,9.121106e-02,8.867087e-02,-8.912238e-02,-8.666390e-02,8.136027e-02,6.019186e-02,-7.955108e-02,-5.941415e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.310852e-02,9.306538e-02,-9.095154e-02,-9.091233e-02
2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.385691e-02,9.374702e-02,-3.593321e-01,2.726567e-02,1.089906e-01,4.425215e-02,-9.084209e-02,-9.084404e-02,9.434665e-02,9.405083e-02,9.391613e-02,9.423755e-02,-8.889334e-02,-6.265701e-02,-5.013146e-01,-6.097283e-02,-9.082130e-02,-9.077143e-02,-9.070498e-02,-9.080548e-02,-9.765709e-02,3.357405e-01,9.371151e-02,9.375710e-02,9.322624e-02,9.528029e-02,-9.987807e-03,-6.953145e-02,1.244746e-01,1.282327e-01,9.519617e-02,9.475170e-02,4.554574e-03,3.375036e-01,9.835641e-02,1.696643e-01,-3.960225e-01,6.587853e-02,-1.914419e-01,-2.318292e-02,-2.329580e-02,1.678592e-01,-1.217962e-01,-7.576785e-02,2.510505e-02,8.107470e-02,-2.341835e-02,1.538869e-01,-8.436931e-02,-8.850583e-02,-9.067284e-02,-9.041377e-02,-2.042523e-01,-1.141890e-01,-8.991367e-02,-9.046887e-02,1.793455e-01,1.246750e-01,-1.306848e-01,-1.952906e-01,9.423321e-02,7.699352e-02,-9.787180e-02,-9.112425e-02,1.298774e-01,1.156778e-01,-1.284509e-01,-1.003000e-01,1.190167e-01,1.186584e-01,-1.078448e-01,-1.060886e-01,1.182233e-01,1.170828e-01,-1.059741e-01,-1.058180e-01,1.120054e-01,1.019908e-01,-1.001281e-01,-1.008384e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.413274e-02,7.691305e-02,-8.895150e-02,-6.271317e-02
3,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.440204e-02,9.442142e-02,-5.279432e-01,5.651072e-01,-8.169088e-02,1.492392e-01,-9.039435e-02,-9.021989e-02,9.494067e-02,9.456561e-02,9.613581e-02,9.795229e-02,-6.988905e-02,8.757616e-02,-7.615343e-01,2.131455e-01,-8.988581e-02,-8.925031e-02,-9.038655e-02,-9.045496e-02,-5.176935e-01,8.039939e-01,9.464217e-02,9.514916e-02,9.726669e-02,9.770719e-02,7.875842e-02,-4.922508e-02,-2.680567e-01,5.049097e-01,9.657758e-02,9.559199e-02,-5.911927e-01,5.763082e-01,1.058193e-01,4.307102e-01,-7.000131e-01,3.737282e-01,-6.435145e-01,1.659196e-01,-3.088400e-01,8.072922e-01,-4.636387e-01,1.256087e-02,1.541260e-02,8.546213e-02,-1.373533e-01,5.165817e-01,-7.916244e-02,-8.685968e-02,-8.791294e-02,-8.442773e-02,-4.534051e-01,-2.083352e-01,-8.924607e-02,-9.008783e-02,2.998461e-01,3.309814e-01,-3.761372e-01,-3.325816e-01,1.009274e-01,1.049529e-01,-4.082010e-01,2.856905e-01,-6.009472e-03,5.532664e-01,-4.125101e-01,2.859884e-01,-2.680456e-01,7.896547e-01,-6.541985e-01,2.841451e-01,-3.665616e-01,7.931573e-01,-6.936723e-01,2.935733e-01,-3.182320e-01,4.683943e-01,-6.060332e-01,1.133475e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.007897e-01,1.048388e-01,-6.997805e-02,8.749145e-02
4,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,1,1,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.438512e-02,9.441281e-02,-5.692331e-01,6.708459e-01,-2.345918e-01,2.713741e-01,-9.051224e-02,-9.029005e-02,9.498087e-02,9.456258e-02,9.657342e-02,9.948580e-02,-7.256178e-02,6.906309e-02,-8.589547e-01,3.038739e-01,-8.990671e-02,-8.921846e-02,-9.061908e-02,-9.062519e-02,-5.774940e-01,8.145379e-01,9.467125e-02,9.528179e-02,9.803208e-02,9.829018e-02,1.019023e-01,-4.531858e-02,-3.078803e-01,5.631239e-01,9.688395e-02,9.572438e-02,-6.818351e-01,5.913227e-01,1.237548e-01,4.640588e-01,-7.747905e-01,4.146669e-01,-6.604314e-01,1.485633e-01,-3.299704e-01,8.189176e-01,-6.132125e-01,6.895302e-02,7.262440e-04,8.456908e-02,-2.400180e-01,7.433746e-01,-7.891881e-02,-8.720981e-02,-8.785727e-02,-8.464602e-02,-5.009761e-01,-2.577897e-01,-8.962280e-02,-9.039434e-02,3.557106e-01,3.990581e-01,-4.261858e-01,-3.766409e-01,1.078529e-01,1.575763e-01,-4.038547e-01,3.044991e-01,-7.419434e-02,6.785170e-01,-4.579649e-01,2.949244e-01,-3.417828e-01,8.121144e-01,-7.043266e-01,3.106658e-01,-3.515960e-01,7.923923e-01,-7.259081e-01,3.263924e-01,-3.035511e-01,4.687563e-01,-6.193175e-01,9.381522e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.077414e-01,1.574860e-01,-7.260991e-02,6.901237e-02
5,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.445043e-02,9.448186e-02,-5.501058e-01,7.488538e-01,-1.848956e-01,2.249621e-01,-9.050799e-02,-9.020534e-02,9.512108e-02,9.464750e-02,9.676337e-02,9.969974e-02,-6.660619e-02,1.082796e-01,-8.919281e-01,3.507770e-01,-8.970125e-02,-8.879743e-02,-9.073945e-02,-9.068548e-02,-6.345482e-01,8.236783e-01,9.476318e-02,9.541568e-02,9.932510e-02,9.915506e-02,1.312111e-01,-3.982551e-02,-3.797108e-01,6.563924e-01,9.736516e-02,9.598146e-02,-8.023403e-01,6.227646e-01,1.691837e-01,4.979672e-01,-8.121220e-01,4.746111e-01,-6.821990e-01,1.532623e-01,-3.619815e-01,8.627955e-01,-6.107592e-01,3.770674e-02,-1.081215e-02,8.483823e-02,-2.386843e-01,7.150651e-01,-7.813176e-02,-8.729235e-02,-8.698446e-02,-8.263707e-02,-5.534353e-01,-3.026459e-01,-8.982871e-02,-9.057135e-02,4.009117e-01,4.757424e-01,-4.216273e-01,-4.260391e-01,1.079190e-01,1.599288e-01,-3.902234e-01,3.004971e-01,-9.450734e-02,7.292080e-01,-5.225093e-01,3.614875e-01,-3.560539e-01,8.327803e-01,-7.655121e-01,3.541628e-01,-3.493180e-01,8.106572e-01,-7.652693e-01,3.603184e-01,-3.072444e-01,4.861677e-01,-6.417298e-01,8.667263e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.078211e-01,1.598512e-01,-6.662614e-02,1.082522e-01
6,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.445043e-02,9.448186e-02,-5.501059e-01,7.488539e-01,-1.848956e-01,2.249620e-01,-9.050799e-02,-9.020534e-02,9.512107e-02,9.464750e-02,9.676337e-02,9.969974e-02,-6.660619e-02,1.082796e-01,-8.919281e-01,3.507770e-01,-8.970125e-02,-8.879743e-02,-9.073945e-02,-9.068548e-02,-6.345482e-01,8.236783e-01,9.476318e-02,9.541568e-02,9.932510e-02,9.915506e-02,1.312111e-01,-3.982550e-02,-3.797108e-01,6.563924e-01,9.736516e-02,9.598146e-02,-8.023403e-01,6.227646e-01,1.691837e-01,4.979672e-01,-8.121220e-01,4.746112e-01,-6.821992e-01,1.532624e-01,-3.619815e-01,8.627955e-01,-6.107592e-01,3.770670e-02,-1.081213e-02,8.483824e-02,-2.386843e-01,7.150651e-01,-7.813176e-02,-8.729235e-02,-8.698446e-02,-8.263707e-02,-5.534352e-01,-3.026458e-01,-8.982871e-02,-9.057135e-02,4.009117e-01,4.757425e-01,-4.216273e-01,-4.260390e-01,1.079190e-01,1.599288e-01,-3.902236e-01,3.004974e-01,-9.450734e-02,7.292080e-01,-5.225093e-01,3.614875e-01,-3.560539e-01,8.327802e-01,-7.655121e-01,3.541628e-01,-3.493177e-01,8.106598e-01,-7.652692e-01,3.603182e-01,-3.072501e-01,4.861728e-01,-6.417330e-01,8.667588e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.078211e-01,1.598512e-01,-6.662614e-02,1.082522e-01
7,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-1,-1,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.426122e-02,9.433584e-02,-5.018055e-01,7.677838e-01,-4.097126e-01,5.948035e-01,-9.055490e-02,-9.024553e-02,9.481254e-02,9.440290e-02,9.669335e-02,9.964443e-02,-6.662386e-02,1.082755e-01,-8.863454e-01,3.422039e-01,-8.973617e-02,-8.882777e-02,-9.082167e-02,-9.074328e-02,-7.104903e-01,7.804601e-01,9.464983e-02,9.532693e-02,1.029047e-01,9.953539e-02,-7.838747e-03,-6.173995e-02,-5.220397e-01,6.654594e-01,9.708911e-02,9.562586e-02,-8.625018e-01,5.925787e-01,-2.493184e-01,3.766566e-01,-8.322972e-01,5.419457e-01,-7.139578e-01,3.142446e-01,-5.176133e-01,9.137493e-01,-7.042622e-01,1.662251e-01,7.371381e-02,1.035620e-01,-2.310399e-01,8.043253e-01,-8.291724e-02,-8.854320e-02,-8.701062e-02,-8.265924e-02,-3.893178e-01,6.279181e-02,-9.021674e-02,-9.072419e-02,-8.763651e-02,3.494775e-01,-5.285666e-01,6.500713e-02,1.078766e-01,1.599104e-01,-3.194204e-01,3.989088e-01,-9.454799e-02,7.292115e-01,-5.225370e-01,3.614862e-01,-3.560731e-01,8.327787e-01,-7.655197e-01,3.541500e-01,-3.493331e-01,8.106552e-01,-7.652711e-01,3.603099e-01,-3.072500e-01,4.861588e-01,-6.417306e-01,8.666250e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.078261e-01,1.598717e-01,-6.662308e-02,1.082664e-01
8,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,0,0,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,0,0,-2,-2,0,0,0,0,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.329766e-02,9.361255e-02,-4.519853e-01,8.632018e-01,-4.007641e-01,7.440392e-01,-9.112708e-02,-9.070619e-02,9.296585e-02,9.308730e-02,9.635121e-02,9.937292e-02,-6.678363e-02,1.082272e-01,-8.860758e-01,3.384262e-01,-9.011031e-02,-8.913382e-02,-9.173131e-02,-9.146083e-02,-7.617723e-01,7.380343e-01,9.409524e-02,9.489413e-02,9.397376e-02,9.351319e-02,-1.142201e-01,-7.543364e-02,-8.021945e-01,5.796834e-01,9.311413e-02,9.295520e-02,-8.897658e-01,5.523295e-01,-7.230202e-01,7.658862e-01,-7.775237e-01,6.931934e-01,-8.463227e-01,5.829889e-01,-7.452424e-01,8.408209e-01,-7.511677e-01,2.870048e-01,-1.092864e-02,9.085535e-02,-2.339342e-01,7.992547e-01,-8.711523e-02,-9.078975e-02,-8.726192e-02,-8.286442e-02,-7.220001e-01,4.979324e-01,-9.176915e-02,-9.189458e-02,-6.575286e-01,5.539595e-01,-7.425841e-01,7.342607e-01,1.076675e-01,1.598238e-01,-3.450074e-01,7.490157e-01,-9.477663e-02,7.292328e-01,-5.227330e-01,3.614731e-01,-3.561753e-01,8.327671e-01,-7.655706e-01,3.540565e-01,-3.494198e-01,8.106243e-01,-7.652819e-01,3.602483e-01,-3.072420e-01,4.860711e-01,-6.417132e-01,8.657001e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.078524e-01,1.599803e-01,-6.659875e-02,1.083751e-01
9,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,1,1,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,1,1,-2,-2,1,1,1,1,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.306928e-02,9.344288e-02,-4.477304e-01,8.656069e-01,-3.940287e-01,7.776273e-01,-9.135514e-02,-9.087544e-02,9.251422e-02,9.277145e-02,9.627260e-02,9.931084e-02,-6.683115e-02,1.082057e-01,-8.862026e-01,3.385894e-01,-9.023895e-02,-8.923349e-02,-9.218523e-02,-9.177692e-02,-7.656399e-01,7.341845e-01,9.396620e-02,9.479411e-02,9.096836e-02,9.179982e-02,-1.694406e-01,-8.493516e-02,-8.313961e-01,5.862827e-01,9.206964e-02,9.228393e-02,-8.931640e-01,5.558590e-01,-7.780013e-01,7.793677e-01,-7.692275e-01,7.099892e-01,-8.304854e-01,6.584561e-01,-7.843850e-01,8.118163e-01,-7.556692e-01,3.019394e-01,-5.439126e-02,8.441534e-02,-2.340138e-01,7.968652e-01,-9.074626e-02,-9.264673e-02,-8.734024e-02,-8.292624e-02,-7.750082e-01,6.057542e-01,-9.284996e-02,-9.257540e-02,-7.517388e-01,5.938418e-01,-7.474071e-01,7.991560e-01,1.076198e-01,1.598028e-01,-3.382976e-01,7.627825e-01,-9.482660e-02,7.292336e-01,-5.227753e-01,3.614615e-01,-3.561995e-01,8.327647e-01,-7.655790e-01,3.540336e-01,-3.494389e-01,8.106201e-01,-7.652845e-01,3.602330e-01,-3.072468e-01,4.860573e-01,-6.417131e-01,8.655227e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.078582e-01,1.600040e-01,-6.659276e-02,1.083996e-01
10,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.297717e-02,9.337906e-02,-4.432545e-01,8.671646e-01,-3.853859e-01,8.129828e-01,-9.144275e-02,-9.093593e-02,9.230261e-02,9.263417e-02,9.624819e-02,9.929268e-02,-6.684317e-02,1.082073e-01,-8.862455e-01,3.391461e-01,-9.028204e-02,-8.926496e-02,-9.239359e-02,-9.190896e-02,-7.699342e-01,7.298912e-01,9.392080e-02,9.476110e-02,8.922596e-02,9.082235e-02,-2.220107e-01,-9.403111e-02,-8.608556e-01,5.711989e-01,9.150447e-02,9.194489e-02,-8.911894e-01,5.459456e-01,-8.364262e-01,8.052803e-01,-7.641533e-01,7.181573e-01,-8.056517e-01,7.234482e-01,-8.276709e-01,7.784933e-01,-7.615392e-01,3.220561e-01,-8.253482e-02,8.080851e-02,-2.339292e-01,7.938780e-01,-9.366184e-02,-9.389999e-02,-8.736362e-02,-8.294365e-02,-8.150427e-01,7.029318e-01,-9.347851e-02,-9.292410e-02,-8.513879e-01,6.153840e-01,-7.497249e-01,8.725582e-01,1.076067e-01,1.597990e-01,-3.304125e-01,7.784507e-01,-9.484412e-02,7.292391e-01,-5.227961e-01,3.614684e-01,-3.562037e-01,8.327635e-01,-7.655859e-01,3.540278e-01,-3.494436e-01,8.106157e-01,-7.652848e-01,3.602299e-01,-3.072395e-01,4.860474e-01,-6.417082e-01,8.654399e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.078599e-01,1.600114e-01,-6.659045e-02,1.084110e-01
