#time,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0023a,CK_0023b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0023a,Vout_0023b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,driver_0015a,driver_0015b,driver_0016a,driver_0016b,driver_0022a,driver_0022b,driver_0024a,driver_0024b,driver_0034a,driver_0034b,driver_0035a,driver_0035b,Out_0003a,Out_0003b,Out_0006a,Out_0006b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-9.727139e-02,-1.002856e-01,-1.135997e-02,-1.015890e-02,-9.350829e-02,-7.041686e-02,-9.249778e-02,-9.465979e-02,1.162295e-02,-7.306526e-03,-1.025134e-01,-1.015294e-01,8.889798e-02,8.476702e-02,7.497311e-02,5.065917e-02,-2.524177e-02,1.399912e-02,1.574139e-02,1.370119e-03,-7.771642e-03,-2.640514e-02,-4.206021e-01,-1.419574e-01,2.475457e-02,5.839144e-04,1.433596e-01,4.381663e-01,-6.193450e-02,-8.056389e-02,-1.058547e-02,8.535915e-02,-8.719737e-02,-9.031473e-02,-1.346612e-02,-3.453475e-02,7.457207e-02,5.174277e-02,-4.702819e-01,-3.480312e-01,6.668492e-02,8.525757e-02,3.104537e-01,4.459316e-01,-2.655872e-02,-7.918076e-03,9.016726e-02,9.057397e-02,-9.719133e-02,-6.620792e-02,-4.791396e-01,-1.810200e-01,5.944931e-03,2.864335e-02,-1.440403e-02,2.022055e-02,1.066824e-03,-9.065298e-04,2.774166e-02,7.330208e-03,4.628269e-03,2.842997e-03,9.352388e-03,6.715953e-03,1.491545e-02,1.123270e-02,1.538589e-02,1.640982e-02,9.398293e-02,7.097629e-02,8.174354e-02,9.767654e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-1.143946e-02,-1.021145e-02,1.144606e-02,-7.425685e-03
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.074805e-01,-1.179024e-01,-2.283641e-01,-1.845284e-01,-1.254612e-01,-9.667447e-02,-9.573478e-02,-1.003171e-01,-1.567849e-01,-2.227696e-01,-1.287741e-01,-1.334580e-01,8.771156e-02,7.933151e-02,5.702074e-02,-1.312340e-02,-1.915139e-01,-2.387750e-02,-1.309962e-01,-1.957732e-01,1.786858e-01,1.238127e-01,-5.014314e-01,-6.104203e-02,1.240558e-01,1.275309e-01,-9.789996e-02,3.355701e-01,-1.107303e-02,-7.104480e-02,-2.352455e-02,1.538104e-01,-8.663499e-02,-9.206267e-02,-9.814815e-02,-9.135164e-02,1.088714e-01,4.395324e-02,-3.595131e-01,2.704813e-02,2.399625e-02,7.952110e-02,4.315250e-03,3.370010e-01,9.798122e-02,1.691580e-01,9.080095e-02,9.120006e-02,-1.219170e-01,-7.609083e-02,-3.961864e-01,6.522117e-02,-2.049066e-01,-1.151109e-01,-2.361514e-02,1.676601e-01,-9.171755e-02,-9.871954e-02,-6.521524e-02,-9.445559e-02,-1.249464e-02,-2.338076e-02,-3.789865e-03,-2.006512e-02,4.244620e-02,3.487459e-02,4.922840e-02,4.221065e-02,1.831700e-01,1.641598e-01,1.781902e-01,1.866057e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-2.286573e-01,-1.847472e-01,-1.573859e-01,-2.231688e-01
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,0,0,-2,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.152754e-01,-1.343093e-01,-4.419229e-01,-4.839181e-01,-1.702729e-01,-1.378907e-01,-9.681673e-02,-1.037129e-01,-2.998638e-01,-5.498158e-01,-1.585872e-01,-1.754634e-01,8.798801e-02,7.686551e-02,4.723235e-02,-4.986569e-02,-6.434399e-01,1.652278e-01,-3.763651e-01,-3.331190e-01,2.993188e-01,3.304712e-01,-7.616142e-01,2.131183e-01,-2.690469e-01,5.041441e-01,-5.183839e-01,8.042068e-01,7.775870e-02,-5.086931e-02,-1.374278e-01,5.165538e-01,-8.179004e-02,-9.122399e-02,-4.083574e-01,2.852562e-01,-8.176279e-02,1.487227e-01,-5.281238e-01,5.649410e-01,1.436611e-02,8.394757e-02,-5.911642e-01,5.760054e-01,1.057076e-01,4.302864e-01,9.477803e-02,9.328441e-02,-4.634524e-01,1.212061e-02,-6.999040e-01,3.731403e-01,-4.540392e-01,-2.092032e-01,-3.094757e-01,8.072349e-01,2.607069e-01,-5.078522e-01,1.240919e-01,-6.490441e-01,5.363790e-01,-4.713256e-01,3.413786e-01,-6.616904e-01,7.843092e-01,-3.765792e-01,5.076029e-01,-5.730298e-01,7.894601e-01,-6.803325e-02,5.814455e-01,-1.903665e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.422940e-01,-4.841940e-01,-3.012044e-01,-5.503212e-01
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,1,1,-2,-2,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.173397e-01,-1.385767e-01,-4.899897e-01,-5.490023e-01,-1.793326e-01,-1.466060e-01,-9.724109e-02,-1.045968e-01,-3.567357e-01,-6.021251e-01,-1.652294e-01,-1.835873e-01,8.875503e-02,7.710237e-02,4.457385e-02,-6.861412e-02,-6.603547e-01,1.477126e-01,-4.263412e-01,-3.771234e-01,3.551388e-01,3.979584e-01,-8.589776e-01,3.037700e-01,-3.076384e-01,5.618729e-01,-5.779684e-01,8.142960e-01,1.007515e-01,-4.686758e-02,-2.400737e-01,7.432414e-01,-8.139132e-02,-9.144531e-02,-4.039682e-01,3.041778e-01,-2.345298e-01,2.710432e-01,-5.694193e-01,6.704417e-01,-3.107150e-04,8.318267e-02,-6.818943e-01,5.902247e-01,1.235492e-01,4.637154e-01,9.579475e-02,9.425126e-02,-6.131368e-01,6.859311e-02,-7.746592e-01,4.137833e-01,-5.016274e-01,-2.587585e-01,-3.303189e-01,8.188109e-01,3.223123e-01,-6.154303e-01,1.083999e-01,-6.814812e-01,6.785398e-01,-5.697707e-01,3.811019e-01,-7.598276e-01,8.309442e-01,-3.657868e-01,5.699514e-01,-6.230072e-01,7.892927e-01,-3.293688e-02,6.620719e-01,-2.498613e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.903249e-01,-5.492476e-01,-3.580867e-01,-6.025955e-01
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.197045e-01,-1.433227e-01,-5.478676e-01,-5.919903e-01,-1.884873e-01,-1.535676e-01,-9.770803e-02,-1.056469e-01,-4.143858e-01,-6.667518e-01,-1.727725e-01,-1.928759e-01,8.957119e-02,7.727538e-02,4.187044e-02,-8.656367e-02,-6.820281e-01,1.520111e-01,-4.218515e-01,-4.264670e-01,4.002599e-01,4.750089e-01,-8.919799e-01,3.506608e-01,-3.801751e-01,6.558787e-01,-6.348948e-01,8.233656e-01,1.302367e-01,-4.128878e-02,-2.387853e-01,7.149956e-01,-8.054996e-02,-9.155158e-02,-3.904869e-01,3.003232e-01,-1.848967e-01,2.246124e-01,-5.505118e-01,7.485870e-01,-1.179065e-02,8.360791e-02,-8.027211e-01,6.220810e-01,1.689695e-01,4.975566e-01,9.732322e-02,9.543441e-02,-6.106901e-01,3.735303e-02,-8.117463e-01,4.734093e-01,-5.540560e-01,-3.036669e-01,-3.622870e-01,8.628705e-01,3.546847e-01,-6.443690e-01,1.060185e-01,-7.172718e-01,7.427433e-01,-6.100050e-01,4.370975e-01,-8.184729e-01,8.733915e-01,-3.931416e-01,6.396612e-01,-7.136418e-01,7.954788e-01,-7.974310e-03,7.186500e-01,-2.615773e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.481935e-01,-5.922226e-01,-4.158393e-01,-6.672214e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.197045e-01,-1.433227e-01,-5.478676e-01,-5.919903e-01,-1.884873e-01,-1.535676e-01,-9.770802e-02,-1.056469e-01,-4.143858e-01,-6.667518e-01,-1.727725e-01,-1.928759e-01,8.957119e-02,7.727539e-02,4.187044e-02,-8.656367e-02,-6.820292e-01,1.520114e-01,-4.218513e-01,-4.264666e-01,4.002599e-01,4.750090e-01,-8.919799e-01,3.506608e-01,-3.801751e-01,6.558787e-01,-6.348948e-01,8.233656e-01,1.302367e-01,-4.128877e-02,-2.387853e-01,7.149950e-01,-8.054995e-02,-9.155157e-02,-3.904882e-01,3.003246e-01,-1.848957e-01,2.246112e-01,-5.505124e-01,7.485875e-01,-1.179060e-02,8.360793e-02,-8.027211e-01,6.220810e-01,1.689697e-01,4.975566e-01,9.732322e-02,9.543441e-02,-6.106894e-01,3.735240e-02,-8.117464e-01,4.734093e-01,-5.540559e-01,-3.036668e-01,-3.622871e-01,8.628705e-01,3.546847e-01,-6.443690e-01,1.060185e-01,-7.172718e-01,7.427433e-01,-6.100050e-01,4.370975e-01,-8.184729e-01,8.733915e-01,-3.931416e-01,6.396612e-01,-7.136418e-01,7.954788e-01,-7.974310e-03,7.186500e-01,-2.615773e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.481935e-01,-5.922226e-01,-4.158393e-01,-6.672214e-01
7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-1,-1,-2,-2,2,2,2,2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.197960e-01,-1.433994e-01,-5.480499e-01,-5.921125e-01,-1.885405e-01,-1.536105e-01,-9.808965e-02,-1.058003e-01,-4.147688e-01,-6.669932e-01,-1.728454e-01,-1.929400e-01,8.930614e-02,7.692416e-02,4.154962e-02,-8.688296e-02,-7.137842e-01,3.127639e-01,-5.289197e-01,6.451310e-02,-8.790208e-02,3.484858e-01,-8.863875e-01,3.420896e-01,-5.226454e-01,6.648669e-01,-7.108474e-01,7.800152e-01,-8.511064e-03,-6.314623e-02,-2.311292e-01,8.043253e-01,-8.530922e-02,-9.278835e-02,-3.198056e-01,3.987070e-01,-4.098556e-01,5.947401e-01,-5.022637e-01,7.676789e-01,7.299770e-02,1.023820e-01,-8.629794e-01,5.918256e-01,-2.495116e-01,3.761486e-01,1.009296e-01,9.583179e-02,-7.042285e-01,1.659407e-01,-8.319085e-01,5.406456e-01,-3.896474e-01,6.129696e-02,-5.178678e-01,9.138299e-01,3.545464e-01,-6.444386e-01,1.055210e-01,-7.172041e-01,7.425981e-01,-6.102002e-01,4.366449e-01,-8.183962e-01,8.733406e-01,-3.933134e-01,6.392991e-01,-7.138455e-01,7.954923e-01,-8.097944e-03,7.186413e-01,-2.616353e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.482623e-01,-5.922547e-01,-4.162708e-01,-6.673579e-01
8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,0,0,0,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,0,0,-2,-2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.207531e-01,-1.441923e-01,-5.488473e-01,-5.926620e-01,-1.889843e-01,-1.539664e-01,-9.964887e-02,-1.069919e-01,-4.163972e-01,-6.680411e-01,-1.735171e-01,-1.934908e-01,8.531751e-02,7.423812e-02,3.964563e-02,-8.845579e-02,-8.465191e-01,5.826745e-01,-7.426777e-01,7.336269e-01,-6.576694e-01,5.526375e-01,-8.861184e-01,3.383004e-01,-8.014093e-01,5.777746e-01,-7.619231e-01,7.379079e-01,-1.148577e-01,-7.683742e-02,-2.340289e-01,7.992650e-01,-8.950156e-02,-9.503304e-02,-3.456785e-01,7.485605e-01,-4.009495e-01,7.438353e-01,-4.525917e-01,8.630402e-01,-1.252492e-02,8.951330e-02,-8.891350e-01,5.506899e-01,-7.231937e-01,7.655263e-01,9.193673e-02,8.978182e-02,-7.511769e-01,2.867695e-01,-7.780532e-01,6.922975e-01,-7.228009e-01,4.969263e-01,-7.454022e-01,8.407363e-01,3.540407e-01,-6.446783e-01,1.037862e-01,-7.169790e-01,7.421384e-01,-6.107826e-01,4.352227e-01,-8.181577e-01,8.732067e-01,-3.937737e-01,6.382859e-01,-7.143931e-01,7.955244e-01,-8.406227e-03,7.186462e-01,-2.617521e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.484856e-01,-5.923564e-01,-4.177874e-01,-6.680419e-01
9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,1,1,1,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,1,1,-2,-2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.212114e-01,-1.445163e-01,-5.490076e-01,-5.927769e-01,-1.891218e-01,-1.540729e-01,-1.007245e-01,-1.076717e-01,-4.166970e-01,-6.682447e-01,-1.737573e-01,-1.936711e-01,8.428761e-02,7.357514e-02,3.919547e-02,-8.879277e-02,-8.310198e-01,6.573293e-01,-7.478804e-01,7.988023e-01,-7.518188e-01,5.921873e-01,-8.862450e-01,3.384621e-01,-8.309987e-01,5.845696e-01,-7.658039e-01,7.340255e-01,-1.700000e-01,-8.631466e-02,-2.341099e-01,7.968775e-01,-9.311401e-02,-9.687918e-02,-3.387657e-01,7.626644e-01,-3.942224e-01,7.774086e-01,-4.482452e-01,8.654269e-01,-5.487024e-02,8.326429e-02,-8.926634e-01,5.544578e-01,-7.780868e-01,7.791369e-01,8.899477e-02,8.809636e-02,-7.556962e-01,3.017588e-01,-7.697505e-01,7.091482e-01,-7.752039e-01,6.044724e-01,-7.845690e-01,8.116432e-01,3.539603e-01,-6.447156e-01,1.035805e-01,-7.169572e-01,7.420847e-01,-6.108423e-01,4.351051e-01,-8.181445e-01,8.732086e-01,-3.937994e-01,6.382631e-01,-7.143985e-01,7.955228e-01,-8.411749e-03,7.186883e-01,-2.617207e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.485130e-01,-5.923686e-01,-4.181440e-01,-6.682037e-01
10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.214233e-01,-1.446515e-01,-5.490615e-01,-5.928136e-01,-1.891673e-01,-1.541063e-01,-1.013582e-01,-1.080239e-01,-4.168065e-01,-6.683164e-01,-1.738489e-01,-1.937348e-01,8.371485e-02,7.323231e-02,3.898146e-02,-8.893551e-02,-8.060875e-01,7.227510e-01,-7.501699e-01,8.721170e-01,-8.517247e-01,6.137661e-01,-8.862877e-01,3.390166e-01,-8.601617e-01,5.694341e-01,-7.700858e-01,7.297579e-01,-2.228313e-01,-9.545827e-02,-2.340263e-01,7.938930e-01,-9.604808e-02,-9.814156e-02,-3.309258e-01,7.782815e-01,-3.855882e-01,8.127751e-01,-4.437868e-01,8.670012e-01,-8.343940e-02,7.957600e-02,-8.905898e-01,5.443854e-01,-8.365421e-01,8.049832e-01,8.722025e-02,8.710367e-02,-7.615647e-01,3.218635e-01,-7.646477e-01,7.173688e-01,-8.155928e-01,7.019788e-01,-8.278412e-01,7.783778e-01,3.539361e-01,-6.447241e-01,1.035294e-01,-7.169534e-01,7.420754e-01,-6.108460e-01,4.350999e-01,-8.181472e-01,8.732185e-01,-3.937860e-01,6.383100e-01,-7.143665e-01,7.955187e-01,-8.392343e-03,7.187260e-01,-2.616846e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.485186e-01,-5.923707e-01,-4.183284e-01,-6.683081e-01
