#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0023a,CK_0023b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0023a,Vout_0023b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,driver_0014a,driver_0014b,driver_0015a,driver_0015b,driver_0021a,driver_0021b,driver_0024a,driver_0024b,driver_0034a,driver_0034b,driver_0035a,driver_0035b,Out_0004a,Out_0004b,Out_0001a,Out_0001b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,9.318651e-02,9.311657e-02,-9.081483e-02,-9.086154e-02,9.354022e-02,9.342540e-02,-9.087294e-02,-9.085483e-02,9.333084e-02,9.325411e-02,-9.052535e-02,-9.071498e-02,9.370183e-02,9.365826e-02,-8.953392e-02,-9.017622e-02,-2.487757e-02,1.451169e-02,1.597373e-02,1.678898e-03,-7.384011e-03,-2.588870e-02,-4.205112e-01,-1.418471e-01,2.506116e-02,9.785310e-04,1.435073e-01,4.383423e-01,-6.123544e-02,-7.959560e-02,-1.049830e-02,8.546668e-02,-8.582429e-02,-8.832111e-02,-1.326510e-02,-3.426766e-02,7.470890e-02,5.191967e-02,-4.701616e-01,-3.478755e-01,6.749406e-02,8.643711e-02,3.106660e-01,4.461867e-01,-2.633150e-02,-7.623060e-03,9.195434e-02,9.341235e-02,-9.705181e-02,-6.603137e-02,-4.789294e-01,-1.807335e-01,6.361951e-03,2.921762e-02,-1.420921e-02,2.046294e-02,-9.080292e-02,-9.069865e-02,9.302873e-02,9.289672e-02,-9.049514e-02,-9.007526e-02,9.266758e-02,9.221751e-02,-8.912024e-02,-8.666249e-02,9.121711e-02,8.867512e-02,-7.955009e-02,-5.941340e-02,8.136332e-02,6.019413e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-9.095356e-02,-9.091338e-02,9.310714e-02,9.306416e-02
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.441537e-02,7.710573e-02,-9.062138e-02,-9.038613e-02,9.450541e-02,9.430916e-02,-8.887714e-02,-6.264758e-02,9.429714e-02,9.450112e-02,-9.061406e-02,-9.067017e-02,9.526453e-02,9.485383e-02,-8.986672e-02,-9.040464e-02,-1.914405e-01,-2.316491e-02,-1.306776e-01,-1.952797e-01,1.793585e-01,1.246903e-01,-5.013110e-01,-6.097084e-02,1.244816e-01,1.282404e-01,-9.765137e-02,3.357428e-01,-9.970215e-03,-6.951005e-02,-2.341552e-02,1.538889e-01,-8.434219e-02,-8.847057e-02,-9.786541e-02,-9.111853e-02,1.089937e-01,4.425938e-02,-3.593277e-01,2.727239e-02,2.512552e-02,8.109978e-02,4.558183e-03,3.375031e-01,9.836542e-02,1.696755e-01,9.326004e-02,9.532762e-02,-1.217927e-01,-7.575967e-02,-3.960174e-01,6.590112e-02,-2.042382e-01,-1.141698e-01,-2.328780e-02,1.678628e-01,-1.284289e-01,-1.002880e-01,1.299670e-01,1.157244e-01,-1.078343e-01,-1.060804e-01,1.190531e-01,1.186860e-01,-1.059669e-01,-1.058116e-01,1.182449e-01,1.171002e-01,-1.001226e-01,-1.008317e-01,1.120194e-01,1.020050e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.895346e-02,-6.271553e-02,9.412361e-02,7.688814e-02
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,0,0,-2,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.011278e-01,1.049721e-01,-8.784616e-02,-8.438977e-02,9.574070e-02,9.586723e-02,-6.986071e-02,8.762493e-02,9.661033e-02,9.826822e-02,-8.960846e-02,-8.911887e-02,9.691922e-02,9.610492e-02,-8.892450e-02,-8.960089e-02,-6.435234e-01,1.659944e-01,-3.761064e-01,-3.325143e-01,2.999012e-01,3.310376e-01,-7.615227e-01,2.131545e-01,-2.679961e-01,5.049515e-01,-5.176420e-01,8.039719e-01,7.884204e-02,-4.910904e-02,-1.373407e-01,5.165850e-01,-7.900420e-02,-8.663806e-02,-4.081816e-01,2.857460e-01,-8.167790e-02,1.492996e-01,-5.279210e-01,5.651305e-01,1.551278e-02,8.558514e-02,-5.912013e-01,5.762950e-01,1.058282e-01,4.307562e-01,9.743368e-02,9.794246e-02,-4.636587e-01,1.261208e-02,-7.000244e-01,3.737934e-01,-4.533307e-01,-2.082416e-01,-3.087834e-01,8.072939e-01,-4.124588e-01,2.860174e-01,-5.869510e-03,5.532210e-01,-6.542212e-01,2.841576e-01,-2.679803e-01,7.896666e-01,-6.936595e-01,2.936038e-01,-3.665194e-01,7.931444e-01,-6.060313e-01,1.133601e-01,-3.182106e-01,4.683969e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.997952e-02,8.751978e-02,1.007584e-01,1.046914e-01
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,1,1,-2,-2,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.080552e-01,1.576595e-01,-8.787658e-02,-8.467333e-02,9.584775e-02,9.603028e-02,-7.258562e-02,6.905324e-02,9.705522e-02,9.979985e-02,-8.978278e-02,-8.920198e-02,9.723839e-02,9.626607e-02,-8.927885e-02,-8.987115e-02,-6.604378e-01,1.486389e-01,-4.261680e-01,-3.765859e-01,3.557754e-01,3.991526e-01,-8.589510e-01,3.038905e-01,-3.078812e-01,5.631890e-01,-5.774503e-01,8.145576e-01,1.020027e-01,-4.519470e-02,-2.400103e-01,7.433935e-01,-7.875157e-02,-8.697428e-02,-4.038409e-01,3.045306e-01,-2.345993e-01,2.714172e-01,-5.692178e-01,6.708792e-01,8.302490e-04,8.469471e-02,-6.818216e-01,5.913633e-01,1.237809e-01,4.641057e-01,9.820212e-02,9.853129e-02,-6.132222e-01,6.900114e-02,-7.748009e-01,4.147341e-01,-5.009047e-01,-2.576901e-01,-3.299331e-01,8.189168e-01,-4.579477e-01,2.949330e-01,-7.408257e-02,6.784911e-01,-7.043145e-01,3.106773e-01,-3.417297e-01,8.121025e-01,-7.259071e-01,3.264004e-01,-3.515734e-01,7.923885e-01,-6.193136e-01,9.382160e-02,-3.035332e-01,4.687609e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.261268e-02,6.902128e-02,1.077225e-01,1.574160e-01
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.081262e-01,1.600190e-01,-8.706642e-02,-8.271138e-02,9.606233e-02,9.622570e-02,-6.666536e-02,1.082431e-01,9.727459e-02,1.000266e-01,-8.968651e-02,-8.886431e-02,9.775364e-02,9.657310e-02,-8.940559e-02,-8.992107e-02,-6.822085e-01,1.533635e-01,-4.215984e-01,-4.259836e-01,4.009990e-01,4.758361e-01,-8.919190e-01,3.507983e-01,-3.796592e-01,6.564343e-01,-6.345058e-01,8.237074e-01,1.313254e-01,-3.967721e-02,-2.386691e-01,7.150760e-01,-7.792911e-02,-8.700495e-02,-3.901933e-01,3.005119e-01,-1.848940e-01,2.250135e-01,-5.500751e-01,7.488711e-01,-1.069644e-02,8.497627e-02,-8.023061e-01,6.227975e-01,1.692171e-01,4.980277e-01,9.951189e-02,9.941983e-02,-6.107691e-01,3.776380e-02,-8.121477e-01,4.746901e-01,-5.533592e-01,-3.025321e-01,-3.619345e-01,8.627879e-01,-5.225057e-01,3.614758e-01,-9.440875e-02,7.291976e-01,-7.655070e-01,3.541586e-01,-3.560146e-01,8.327782e-01,-7.652663e-01,3.603167e-01,-3.492951e-01,8.106606e-01,-6.417316e-01,8.667984e-02,-3.072415e-01,4.861823e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662764e-02,1.082630e-01,1.078032e-01,1.597890e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.081262e-01,1.600190e-01,-8.706642e-02,-8.271139e-02,9.606233e-02,9.622570e-02,-6.666537e-02,1.082431e-01,9.727458e-02,1.000266e-01,-8.968651e-02,-8.886432e-02,9.775364e-02,9.657310e-02,-8.940559e-02,-8.992107e-02,-6.822086e-01,1.533636e-01,-4.215985e-01,-4.259835e-01,4.009990e-01,4.758361e-01,-8.919190e-01,3.507983e-01,-3.796592e-01,6.564343e-01,-6.345058e-01,8.237074e-01,1.313254e-01,-3.967721e-02,-2.386691e-01,7.150760e-01,-7.792911e-02,-8.700495e-02,-3.901935e-01,3.005121e-01,-1.848940e-01,2.250135e-01,-5.500752e-01,7.488711e-01,-1.069643e-02,8.497627e-02,-8.023061e-01,6.227975e-01,1.692171e-01,4.980277e-01,9.951189e-02,9.941983e-02,-6.107691e-01,3.776380e-02,-8.121477e-01,4.746901e-01,-5.533592e-01,-3.025320e-01,-3.619345e-01,8.627879e-01,-5.225057e-01,3.614758e-01,-9.440875e-02,7.291976e-01,-7.655071e-01,3.541587e-01,-3.560146e-01,8.327781e-01,-7.652661e-01,3.603164e-01,-3.492948e-01,8.106633e-01,-6.417349e-01,8.668323e-02,-3.072476e-01,4.861877e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662764e-02,1.082630e-01,1.078032e-01,1.597890e-01
7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-1,-1,-2,-2,2,2,2,2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.080208e-01,1.599732e-01,-8.711223e-02,-8.274931e-02,9.575384e-02,9.598165e-02,-6.669521e-02,1.082385e-01,9.708672e-02,9.988357e-02,-8.976876e-02,-8.892168e-02,9.747670e-02,9.621709e-02,-8.979458e-02,-9.007436e-02,-7.139720e-01,3.143751e-01,-5.285224e-01,6.507657e-02,-8.760153e-02,3.495993e-01,-8.863377e-01,3.422250e-01,-5.219696e-01,6.655106e-01,-7.104458e-01,7.805055e-01,-7.762500e-03,-6.159881e-02,-2.310261e-01,8.043262e-01,-8.271780e-02,-8.825755e-02,-3.193852e-01,3.989344e-01,-4.096904e-01,5.948152e-01,-5.017712e-01,7.677918e-01,7.380139e-02,1.036948e-01,-8.624554e-01,5.926202e-01,-2.492906e-01,3.767304e-01,1.030887e-01,9.979857e-02,-7.042669e-01,1.662714e-01,-8.323253e-01,5.420378e-01,-3.892746e-01,6.296394e-02,-5.175719e-01,9.137410e-01,-5.225609e-01,3.614758e-01,-9.449793e-02,7.292058e-01,-7.655223e-01,3.541360e-01,-3.560537e-01,8.327757e-01,-7.652697e-01,3.603025e-01,-3.493241e-01,8.106555e-01,-6.417309e-01,8.666113e-02,-3.072483e-01,4.861638e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.661942e-02,1.082900e-01,1.078131e-01,1.598347e-01
8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,0,0,0,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,0,0,-2,-2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.075090e-01,1.597615e-01,-8.767485e-02,-8.319228e-02,9.391157e-02,9.467229e-02,-6.702858e-02,1.081429e-01,9.613321e-02,9.917871e-02,-9.067475e-02,-8.963353e-02,9.350557e-02,9.355015e-02,-9.134526e-02,-9.124229e-02,-8.462957e-01,5.830126e-01,-7.425735e-01,7.343398e-01,-6.575019e-01,5.540961e-01,-8.860678e-01,3.384496e-01,-8.022542e-01,5.798505e-01,-7.617533e-01,7.380486e-01,-1.141475e-01,-7.529170e-02,-2.339194e-01,7.992540e-01,-8.691475e-02,-9.050282e-02,-3.449409e-01,7.490713e-01,-4.007355e-01,7.440667e-01,-4.519377e-01,8.632098e-01,-1.073769e-02,9.100799e-02,-8.898072e-01,5.524450e-01,-7.229925e-01,7.659427e-01,9.416639e-02,9.378146e-02,-7.511664e-01,2.870454e-01,-7.774917e-01,6.932472e-01,-7.219053e-01,4.980497e-01,-7.452110e-01,8.408428e-01,-5.229653e-01,3.614655e-01,-9.498687e-02,7.292558e-01,-7.656244e-01,3.539667e-01,-3.562526e-01,8.327548e-01,-7.652882e-01,3.601968e-01,-3.494821e-01,8.106057e-01,-6.417032e-01,8.651064e-02,-3.072416e-01,4.860211e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.656820e-02,1.085102e-01,1.078737e-01,1.600700e-01
9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,1,1,1,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,1,1,-2,-2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.073901e-01,1.597131e-01,-8.790024e-02,-8.335667e-02,9.346058e-02,9.435772e-02,-6.714579e-02,1.081024e-01,9.590725e-02,9.901349e-02,-9.112758e-02,-8.994803e-02,9.246004e-02,9.287880e-02,-9.242566e-02,-9.192241e-02,-8.304349e-01,6.585659e-01,-7.473451e-01,7.992027e-01,-7.517157e-01,5.939749e-01,-8.861948e-01,3.386138e-01,-8.313570e-01,5.864002e-01,-7.656176e-01,7.342067e-01,-1.693724e-01,-8.479480e-02,-2.339988e-01,7.968639e-01,-9.054644e-02,-9.235979e-02,-3.382547e-01,7.627882e-01,-3.939983e-01,7.776575e-01,-4.476926e-01,8.656127e-01,-5.433054e-02,8.454456e-02,-8.931695e-01,5.559082e-01,-7.779849e-01,7.794080e-01,9.115336e-02,9.206513e-02,-7.556656e-01,3.019741e-01,-7.691965e-01,7.100405e-01,-7.749780e-01,6.058878e-01,-7.843463e-01,8.118591e-01,-5.230769e-01,3.614589e-01,-9.510597e-02,7.292668e-01,-7.656497e-01,3.539215e-01,-3.562988e-01,8.327493e-01,-7.652923e-01,3.601693e-01,-3.495183e-01,8.105943e-01,-6.416973e-01,8.647484e-02,-3.072407e-01,4.859892e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.655204e-02,1.085741e-01,1.078885e-01,1.601252e-01
10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.073479e-01,1.596967e-01,-8.798722e-02,-8.341572e-02,9.324936e-02,9.422096e-02,-6.718518e-02,1.080913e-01,9.581585e-02,9.895107e-02,-9.133590e-02,-9.007976e-02,9.189582e-02,9.254031e-02,-9.305430e-02,-9.227115e-02,-8.056078e-01,7.235174e-01,-7.496700e-01,8.726162e-01,-8.513409e-01,6.155574e-01,-8.862376e-01,3.391700e-01,-8.609058e-01,5.713541e-01,-7.699151e-01,7.299067e-01,-2.219182e-01,-9.388599e-02,-2.339142e-01,7.938768e-01,-9.346111e-02,-9.361297e-02,-3.303662e-01,7.784691e-01,-3.853552e-01,8.130106e-01,-4.432163e-01,8.671732e-01,-8.242258e-02,8.094873e-02,-8.912274e-01,5.460550e-01,-8.364067e-01,8.053270e-01,8.941521e-02,9.108959e-02,-7.615355e-01,3.220903e-01,-7.641235e-01,7.182047e-01,-8.149708e-01,7.030501e-01,-8.276379e-01,7.785197e-01,-5.231149e-01,3.614613e-01,-9.514462e-02,7.292723e-01,-7.656587e-01,3.539094e-01,-3.563108e-01,8.327477e-01,-7.652931e-01,3.601627e-01,-3.495276e-01,8.105911e-01,-6.416950e-01,8.646596e-02,-3.072392e-01,4.859809e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.654613e-02,1.085956e-01,1.078939e-01,1.601430e-01
