#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0022a,CK_0022b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0035a,CK_0035b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0022a,Vout_0022b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0035a,Vout_0035b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,driver_0014a,driver_0014b,driver_0015a,driver_0015b,driver_0021a,driver_0021b,driver_0023a,driver_0023b,driver_0033a,driver_0033b,driver_0034a,driver_0034b,Out_0006a,Out_0006b,Out_0003a,Out_0003b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.189902e-02,-4.815582e-02,9.548276e-02,7.133118e-02,1.223784e-02,1.022585e-02,-8.467491e-02,-8.121209e-02,1.049628e-01,1.037699e-01,-1.008724e-02,8.432000e-03,9.669090e-02,9.816780e-02,1.003031e-01,1.029831e-01,-2.455990e-02,1.491609e-02,1.620584e-02,1.980012e-03,-6.958522e-03,-2.530318e-02,-4.204214e-01,-1.417370e-01,2.543041e-02,1.502158e-03,1.436344e-01,4.385074e-01,-6.041120e-02,-7.839552e-02,-1.040554e-02,8.557978e-02,-8.400891e-02,-8.544324e-02,-1.306204e-02,-3.401523e-02,7.485074e-02,5.209997e-02,-4.700108e-01,-3.476966e-01,6.820423e-02,8.741923e-02,3.108873e-01,4.464904e-01,-2.609396e-02,-7.307762e-03,9.334472e-02,9.542736e-02,-9.691072e-02,-6.585011e-02,-4.787125e-01,-1.804747e-01,6.757034e-03,2.974313e-02,-1.400573e-02,2.073295e-02,-2.791445e-02,-6.606300e-03,-3.614602e-04,8.924027e-04,-9.705931e-03,-6.240440e-03,-4.082607e-03,-2.951881e-03,-1.592818e-02,-1.604132e-02,-1.443513e-02,-1.139243e-02,-8.127118e-02,-9.614851e-02,-9.238705e-02,-7.028130e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-1.026519e-02,8.313292e-03,1.215736e-02,1.016746e-02
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5.377961e-02,1.463399e-02,1.259497e-01,9.637815e-02,2.254613e-01,1.808612e-01,-8.239511e-02,-7.511906e-02,1.301404e-01,1.342552e-01,1.552835e-01,2.205582e-01,1.007895e-01,1.041963e-01,1.104301e-01,1.200235e-01,-1.913479e-01,-2.248313e-02,-1.303402e-01,-1.947664e-01,1.800689e-01,1.256130e-01,-5.011775e-01,-6.089338e-02,1.249531e-01,1.290521e-01,-9.737915e-02,3.359395e-01,-8.818953e-03,-6.789437e-02,-2.329377e-02,1.539745e-01,-8.185955e-02,-8.435347e-02,-9.755068e-02,-9.087980e-02,1.091270e-01,4.458736e-02,-3.591106e-01,2.752245e-02,2.621103e-02,8.256199e-02,4.826879e-03,3.381170e-01,9.877700e-02,1.702252e-01,9.542709e-02,9.871198e-02,-1.216578e-01,-7.540400e-02,-3.958286e-01,6.659054e-02,-2.035562e-01,-1.132408e-01,-2.293050e-02,1.680864e-01,6.376256e-02,1.102681e-01,1.044757e-01,1.036292e-01,-2.015789e-02,2.223712e-02,-1.977951e-03,1.236975e-02,-6.962706e-02,-3.071262e-02,-5.447766e-02,-4.006501e-02,-1.747643e-01,-1.370557e-01,-1.663251e-01,-1.427574e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.550219e-01,2.204671e-01,2.253863e-01,1.807946e-01
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,0,0,-2,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.768348e-02,3.371139e-02,1.631167e-01,1.304028e-01,3.992238e-01,4.277475e-01,-8.090617e-02,-7.266113e-02,1.532414e-01,1.689129e-01,2.623191e-01,5.503116e-01,1.027600e-01,1.067223e-01,1.154960e-01,1.314805e-01,-6.436026e-01,1.666140e-01,-3.758145e-01,-3.318864e-01,3.006581e-01,3.319486e-01,-7.613849e-01,2.132431e-01,-2.672923e-01,5.062494e-01,-5.164320e-01,8.036872e-01,8.003868e-02,-4.741602e-02,-1.372113e-01,5.166209e-01,-7.641687e-02,-8.231798e-02,-4.080029e-01,2.862154e-01,-8.154653e-02,1.500160e-01,-5.277468e-01,5.653204e-01,1.652856e-02,8.694458e-02,-5.911198e-01,5.776651e-01,1.059945e-01,4.313671e-01,9.949987e-02,1.013148e-01,-4.639244e-01,1.326588e-02,-7.001080e-01,3.742744e-01,-4.526281e-01,-2.073511e-01,-3.078232e-01,8.072932e-01,-1.767877e-01,7.893311e-01,-2.644630e-01,5.588276e-01,-4.369619e-01,7.079867e-01,-6.358925e-01,4.491093e-01,-4.964427e-01,5.209486e-01,-6.586365e-01,2.999840e-01,-5.774164e-01,2.002529e-01,-6.538406e-01,9.524527e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,2.613921e-01,5.501722e-01,3.991078e-01,4.276441e-01
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,1,1,-2,-2,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4.337876e-02,5.773882e-02,1.740244e-01,1.395223e-01,4.654170e-01,5.056249e-01,-8.145115e-02,-7.235835e-02,1.624442e-01,1.799791e-01,3.286954e-01,6.025460e-01,1.036388e-01,1.082911e-01,1.187241e-01,1.375303e-01,-6.605003e-01,1.493269e-01,-4.260249e-01,-3.761137e-01,3.564834e-01,4.005618e-01,-8.589118e-01,3.040548e-01,-3.082609e-01,5.651546e-01,-5.765084e-01,8.150801e-01,1.032813e-01,-4.367138e-02,-2.399426e-01,7.435657e-01,-7.643040e-02,-8.295753e-02,-4.037258e-01,3.047877e-01,-2.346735e-01,2.718097e-01,-5.690939e-01,6.711483e-01,1.854556e-03,8.604572e-02,-6.816040e-01,5.933696e-01,1.240739e-01,4.645410e-01,1.003012e-01,1.020868e-01,-6.133252e-01,6.948890e-02,-7.748965e-01,4.153211e-01,-5.002591e-01,-2.567505e-01,-3.293599e-01,8.190619e-01,-1.485791e-01,7.882356e-01,-3.125722e-01,5.880025e-01,-4.462862e-01,7.984377e-01,-6.539145e-01,4.889550e-01,-5.940196e-01,6.280637e-01,-7.383346e-01,2.809136e-01,-6.350165e-01,2.295922e-01,-6.569346e-01,-2.776691e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.277703e-01,6.025205e-01,4.653929e-01,5.055955e-01
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.014553e-02,7.562013e-02,1.854491e-01,1.515893e-01,5.266729e-01,5.897007e-01,-8.169594e-02,-7.200942e-02,1.701773e-01,1.896426e-01,3.812571e-01,6.473812e-01,1.045335e-01,1.096048e-01,1.212727e-01,1.424032e-01,-6.823377e-01,1.543031e-01,-4.214137e-01,-4.256029e-01,4.017576e-01,4.766081e-01,-8.918568e-01,3.509467e-01,-3.789975e-01,6.571216e-01,-6.338516e-01,8.242907e-01,1.322648e-01,-3.834880e-02,-2.385731e-01,7.151524e-01,-7.579835e-02,-8.318690e-02,-3.900012e-01,3.006333e-01,-1.848982e-01,2.253689e-01,-5.498503e-01,7.490061e-01,-9.744354e-03,8.625872e-02,-8.016345e-01,6.240481e-01,1.695033e-01,4.985238e-01,1.015946e-01,1.030790e-01,-6.108541e-01,3.818925e-02,-8.124185e-01,4.754517e-01,-5.528006e-01,-3.016258e-01,-3.614520e-01,8.626842e-01,-1.340308e-01,8.051701e-01,-3.528646e-01,6.864446e-01,-4.682463e-01,8.680764e-01,-7.566648e-01,5.802722e-01,-6.719761e-01,6.936235e-01,-8.248816e-01,3.598783e-01,-6.776951e-01,2.669453e-01,-7.087687e-01,-1.907498e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.802477e-01,6.474351e-01,5.267119e-01,5.897219e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.014553e-02,7.562013e-02,1.854491e-01,1.515893e-01,5.266729e-01,5.897007e-01,-8.169594e-02,-7.200942e-02,1.701773e-01,1.896426e-01,3.812571e-01,6.473812e-01,1.045335e-01,1.096048e-01,1.212727e-01,1.424032e-01,-6.823383e-01,1.543032e-01,-4.214137e-01,-4.256027e-01,4.017576e-01,4.766081e-01,-8.918568e-01,3.509467e-01,-3.789975e-01,6.571216e-01,-6.338516e-01,8.242907e-01,1.322648e-01,-3.834879e-02,-2.385731e-01,7.151522e-01,-7.579834e-02,-8.318690e-02,-3.900018e-01,3.006340e-01,-1.848979e-01,2.253685e-01,-5.498506e-01,7.490063e-01,-9.744324e-03,8.625873e-02,-8.016345e-01,6.240481e-01,1.695033e-01,4.985239e-01,1.015946e-01,1.030790e-01,-6.108539e-01,3.818907e-02,-8.124185e-01,4.754517e-01,-5.528006e-01,-3.016258e-01,-3.614520e-01,8.626842e-01,-1.340308e-01,8.051701e-01,-3.528647e-01,6.864445e-01,-4.682463e-01,8.680764e-01,-7.566648e-01,5.802721e-01,-6.719761e-01,6.936235e-01,-8.248815e-01,3.598783e-01,-6.776951e-01,2.669453e-01,-7.087687e-01,-1.907502e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.802477e-01,6.474351e-01,5.267119e-01,5.897219e-01
7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-1,-1,-2,-2,2,2,2,2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.022564e-02,7.558740e-02,1.853420e-01,1.515040e-01,5.266681e-01,5.896863e-01,-8.209508e-02,-7.216804e-02,1.699956e-01,1.895045e-01,3.812743e-01,6.473776e-01,1.042485e-01,1.092450e-01,1.209645e-01,1.421634e-01,-7.141206e-01,3.155379e-01,-5.282332e-01,6.558501e-02,-8.724324e-02,3.505810e-01,-8.862852e-01,3.423697e-01,-5.211583e-01,6.662556e-01,-7.098001e-01,7.812838e-01,-7.134973e-03,-6.033063e-02,-2.309408e-01,8.043334e-01,-8.061515e-02,-8.445589e-02,-3.191478e-01,3.991204e-01,-4.095547e-01,5.948976e-01,-5.015169e-01,7.678575e-01,7.452823e-02,1.049349e-01,-8.616737e-01,5.939441e-01,-2.490837e-01,3.772950e-01,1.051487e-01,1.034441e-01,-7.043095e-01,1.666019e-01,-8.326061e-01,5.429012e-01,-3.889510e-01,6.434266e-02,-5.171929e-01,9.136301e-01,-1.338670e-01,8.051434e-01,-3.528138e-01,6.864978e-01,-4.680332e-01,8.680657e-01,-7.566650e-01,5.803856e-01,-6.717772e-01,6.937232e-01,-8.248546e-01,3.600343e-01,-6.776458e-01,2.670099e-01,-7.087789e-01,-1.897033e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.800076e-01,6.473005e-01,5.267469e-01,5.897403e-01
8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,0,0,0,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,0,0,-2,-2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.113578e-02,7.487347e-02,1.847695e-01,1.510524e-01,5.262496e-01,5.893558e-01,-8.365516e-02,-7.334270e-02,1.690196e-01,1.887672e-01,3.806904e-01,6.469063e-01,1.002967e-01,1.065865e-01,1.191232e-01,1.408461e-01,-8.460934e-01,5.832292e-01,-7.425322e-01,7.349705e-01,-6.573390e-01,5.558931e-01,-8.860151e-01,3.386021e-01,-8.033703e-01,5.826284e-01,-7.614101e-01,7.383663e-01,-1.135556e-01,-7.401218e-02,-2.338303e-01,7.992497e-01,-8.481987e-02,-8.671211e-02,-3.444292e-01,7.495172e-01,-4.005578e-01,7.442501e-01,-4.515521e-01,8.632941e-01,-8.992945e-03,9.245961e-02,-8.907543e-01,5.550927e-01,-7.227900e-01,7.663564e-01,9.631104e-02,9.746680e-02,-7.511628e-01,2.873191e-01,-7.771863e-01,6.937822e-01,-7.210064e-01,4.991522e-01,-7.449493e-01,8.409959e-01,-1.339143e-01,8.051303e-01,-3.529567e-01,6.864205e-01,-4.678627e-01,8.680188e-01,-7.566830e-01,5.803559e-01,-6.714877e-01,6.938601e-01,-8.247990e-01,3.600848e-01,-6.775072e-01,2.671308e-01,-7.087845e-01,-1.889431e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.796163e-01,6.470549e-01,5.267149e-01,5.897260e-01
9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,1,1,1,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,1,1,-2,-2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.158973e-02,7.453429e-02,1.846274e-01,1.509423e-01,5.260834e-01,5.892381e-01,-8.472799e-02,-7.401745e-02,1.687752e-01,1.885827e-01,3.803897e-01,6.466998e-01,9.923552e-02,1.059060e-01,1.186635e-01,1.405190e-01,-8.300138e-01,6.595192e-01,-7.469624e-01,7.994959e-01,-7.515605e-01,5.952282e-01,-8.861397e-01,3.387766e-01,-8.308995e-01,5.882853e-01,-7.652197e-01,7.346435e-01,-1.688170e-01,-8.353052e-02,-2.339053e-01,7.968594e-01,-8.844846e-02,-8.856142e-02,-3.379635e-01,7.628758e-01,-3.938119e-01,7.778483e-01,-4.474134e-01,8.657079e-01,-5.381999e-02,8.575625e-02,-8.935488e-01,5.574343e-01,-7.778594e-01,7.797097e-01,9.321573e-02,9.571660e-02,-7.556455e-01,3.022102e-01,-7.688999e-01,7.105443e-01,-7.748116e-01,6.069837e-01,-7.839702e-01,8.123244e-01,-1.341179e-01,8.051538e-01,-3.530485e-01,6.863614e-01,-4.680004e-01,8.680212e-01,-7.566974e-01,5.802765e-01,-6.715462e-01,6.938377e-01,-8.248012e-01,3.600127e-01,-6.774964e-01,2.671315e-01,-7.087814e-01,-1.892510e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.792483e-01,6.469045e-01,5.266792e-01,5.897090e-01
10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.180505e-02,7.439036e-02,1.845766e-01,1.509049e-01,5.260263e-01,5.891990e-01,-8.536459e-02,-7.437314e-02,1.686768e-01,1.885130e-01,3.802763e-01,6.466253e-01,9.867864e-02,1.055692e-01,1.184506e-01,1.403779e-01,-8.052331e-01,7.241585e-01,-7.492860e-01,8.730459e-01,-8.509184e-01,6.176405e-01,-8.861851e-01,3.393267e-01,-8.618776e-01,5.738851e-01,-7.695688e-01,7.302387e-01,-2.210851e-01,-9.256915e-02,-2.338227e-01,7.938688e-01,-9.136176e-02,-8.982220e-02,-3.300182e-01,7.786205e-01,-3.851627e-01,8.131995e-01,-4.429072e-01,8.672627e-01,-8.142549e-02,8.227910e-02,-8.921072e-01,5.485659e-01,-8.362669e-01,8.056866e-01,9.152406e-02,9.476031e-02,-7.615146e-01,3.223177e-01,-7.638364e-01,7.186829e-01,-8.143713e-01,7.041364e-01,-8.273584e-01,7.787202e-01,-1.341788e-01,8.051606e-01,-3.530765e-01,6.863447e-01,-4.680314e-01,8.680208e-01,-7.567006e-01,5.802549e-01,-6.715566e-01,6.938329e-01,-8.248004e-01,3.599926e-01,-6.774984e-01,2.671289e-01,-7.087801e-01,-1.893566e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.790641e-01,6.468002e-01,5.266696e-01,5.897045e-01
