#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,driver_0024a,driver_0024b,driver_0026a,driver_0026b,Out_0014a,Out_0014b,Out_0008a,Out_0008b,Out_0021a,Out_0021b,Out_0002a,Out_0002b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-4.206683e-01,-1.441567e-01,2.935799e-03,1.495684e-03,-3.200914e-03,-1.436809e-03,2.355795e-03,6.607920e-04,2.470854e-02,7.273442e-03,-6.447213e-03,9.344958e-02,-2.366429e-02,-6.458322e-03,-2.279349e-03,-1.517814e-03,9.173195e-02,9.156155e-02,9.180837e-02,9.175087e-02,-3.103219e-02,-9.714482e-03,9.102018e-02,8.867053e-02,3.066624e-02,1.033609e-02,-7.904155e-03,-4.299256e-03,-7.966717e-02,-5.883420e-02,-1.066264e-01,-9.697643e-02,8.151099e-02,6.056749e-02,-9.343375e-02,-9.160041e-02,3.859453e-03,1.410984e-03,-1.661574e-03,-6.835073e-04,7.781997e-03,4.928204e-03,-8.995236e-02,-8.709252e-02,-4.191152e-03,-2.959557e-03,-2.195425e-03,-1.903446e-03,-5.448702e-03,-4.848751e-03,-4.259102e-03,-3.742106e-03,-1.476229e-02,-1.560809e-02,-1.448060e-02,-1.169200e-02,-8.080603e-02,-9.598493e-02,-9.242260e-02,-7.043480e-02,4.103873e-03,3.600905e-03,2.855093e-03,1.881561e-03,5.338360e-03,5.471764e-03,4.901824e-03,3.703424e-03,1.462804e-02,1.622820e-02,1.512280e-02,1.164059e-02,8.154772e-02,9.769187e-02,9.413959e-02,7.121333e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.250563e-03,-3.791658e-03,-1.858307e-03,-1.104367e-03,7.082716e-03,4.389999e-03,2.489488e-03,1.056797e-03
2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4.990302e-01,-6.188614e-02,-2.130735e-01,-1.715501e-01,2.586610e-02,2.216296e-02,-3.330416e-03,-4.238369e-03,1.987587e-02,1.593460e-03,-2.173529e-02,1.585416e-01,-1.919452e-02,-1.365973e-03,2.098759e-01,1.676886e-01,1.121629e-01,1.300545e-01,7.628134e-02,9.254387e-02,-7.007959e-03,1.950567e-02,9.123779e-02,8.784345e-02,5.450941e-03,-2.040451e-02,1.608801e-01,2.081172e-01,-7.711890e-02,-5.540376e-02,-1.128288e-01,-1.268419e-01,7.947997e-02,5.713952e-02,-6.263969e-02,-8.751086e-02,-2.675357e-02,-2.347405e-02,3.347706e-03,3.562139e-03,-1.654602e-01,-2.112711e-01,-8.770858e-02,-8.500511e-02,9.253345e-02,1.071651e-01,1.027285e-01,9.947416e-02,-7.465576e-03,1.845848e-02,-4.526492e-04,9.110100e-03,-6.425501e-02,-3.134887e-02,-5.345730e-02,-4.191723e-02,-1.726613e-01,-1.379608e-01,-1.654557e-01,-1.438076e-01,-9.278912e-02,-9.075153e-02,-9.067634e-02,-9.541134e-02,-1.632494e-02,-1.561713e-02,-1.458975e-02,-2.054981e-02,4.298943e-02,4.294110e-02,4.197271e-02,3.622484e-02,1.763975e-01,1.861946e-01,1.831023e-01,1.644861e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.622696e-01,2.093844e-01,2.110502e-01,1.688017e-01,-1.669521e-01,-2.126114e-01,-2.143162e-01,-1.727192e-01
3,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.267386e-01,2.742080e-01,-4.251928e-01,-4.602766e-01,6.096784e-02,5.389228e-02,-1.221845e-02,-1.250401e-02,1.303749e-02,-6.767991e-03,-2.442624e-01,7.528087e-01,-1.627759e-02,3.031167e-03,3.840644e-01,4.134792e-01,-3.093109e-01,4.851125e-01,-3.926718e-02,8.059170e-02,1.507137e-02,5.268149e-02,8.683108e-02,8.462786e-02,-2.340572e-02,-6.093273e-02,2.783665e-01,5.435419e-01,-7.751006e-02,-5.426412e-02,-5.877047e-01,8.105261e-02,7.585829e-02,5.217293e-02,-1.386540e-01,-9.941560e-02,-6.938663e-02,-6.197024e-02,8.401556e-03,8.337084e-03,-3.130890e-01,-5.417009e-01,-9.194708e-02,-8.685666e-02,-1.539298e-01,7.726452e-01,-2.688547e-01,5.536760e-01,-4.236844e-01,7.192636e-01,-6.436148e-01,4.442348e-01,-4.978026e-01,5.242233e-01,-6.575573e-01,3.009670e-01,-5.779401e-01,2.006461e-01,-6.539874e-01,9.849917e-03,9.783904e-02,-6.413690e-01,2.553220e-01,-4.958120e-01,3.327930e-01,-6.583913e-01,5.330941e-01,-4.657143e-01,5.019057e-01,-5.772168e-01,7.825776e-01,-3.746980e-01,5.817500e-01,-1.905771e-01,7.895214e-01,-6.704324e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,2.808066e-01,5.461297e-01,3.863928e-01,4.158470e-01,-3.155079e-01,-5.438210e-01,-4.274816e-01,-4.622919e-01
4,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.585536e-01,3.063727e-01,-4.736231e-01,-5.353502e-01,7.163601e-02,6.299530e-02,-1.338068e-02,-1.364745e-02,1.233033e-02,-7.763774e-03,-2.390426e-01,7.595602e-01,-1.432304e-02,5.259428e-03,4.471270e-01,4.906906e-01,-3.039822e-01,4.947441e-01,-4.582121e-02,8.029974e-02,2.348751e-02,6.309046e-02,8.698122e-02,8.475422e-02,-2.971592e-02,-6.865856e-02,3.397834e-01,5.910476e-01,-7.638788e-02,-5.274803e-02,-6.045495e-01,6.432341e-02,7.579985e-02,5.181806e-02,-1.209252e-01,-9.687630e-02,-7.827068e-02,-7.097924e-02,1.063729e-02,1.030884e-02,-3.718892e-01,-5.930533e-01,-9.089115e-02,-8.595334e-02,-1.229865e-01,7.789331e-01,-3.192319e-01,5.875245e-01,-4.314651e-01,8.000581e-01,-6.576210e-01,4.852861e-01,-5.920808e-01,6.290807e-01,-7.381081e-01,2.791268e-01,-6.344593e-01,2.299902e-01,-6.566387e-01,-2.889287e-02,7.905593e-02,-6.737922e-01,3.270139e-01,-6.141957e-01,3.646122e-01,-7.547902e-01,6.829685e-01,-5.673953e-01,5.596199e-01,-6.196772e-01,8.317170e-01,-3.635377e-01,6.572262e-01,-2.501872e-01,7.888384e-01,-3.209821e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.423305e-01,5.937826e-01,4.496180e-01,4.932095e-01,-3.745819e-01,-5.954433e-01,-4.762156e-01,-5.376610e-01
5,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.864817e-01,3.442383e-01,-5.312926e-01,-5.778103e-01,8.213131e-02,7.404163e-02,-1.442505e-02,-1.437087e-02,1.126090e-02,-8.935153e-03,-2.329015e-01,7.873085e-01,-1.269845e-02,7.335959e-03,5.085920e-01,5.747303e-01,-3.594053e-01,5.500915e-01,-9.785994e-02,7.295242e-02,3.104735e-02,7.229427e-02,8.478970e-02,8.375986e-02,-3.656295e-02,-7.726908e-02,3.926577e-01,6.357076e-01,-7.583089e-02,-5.167866e-02,-6.508346e-01,8.408651e-02,7.506011e-02,5.097272e-02,-1.111466e-01,-9.574960e-02,-8.686911e-02,-7.745152e-02,1.298814e-02,1.267377e-02,-4.288394e-01,-6.568842e-01,-9.087202e-02,-8.579663e-02,-1.046611e-01,7.968832e-01,-3.585905e-01,6.830358e-01,-4.534028e-01,8.630453e-01,-7.573279e-01,5.761866e-01,-6.639451e-01,6.954261e-01,-8.240500e-01,3.564021e-01,-6.758495e-01,2.677294e-01,-7.086847e-01,-2.074944e-02,7.607907e-02,-7.080944e-01,3.595330e-01,-6.419131e-01,4.230730e-01,-8.119108e-01,7.460837e-01,-6.067348e-01,6.314828e-01,-7.166414e-01,8.726933e-01,-3.917577e-01,7.174846e-01,-2.625596e-01,7.955250e-01,-7.236986e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.953343e-01,6.386254e-01,5.112674e-01,5.774382e-01,-4.318488e-01,-6.596340e-01,-5.343199e-01,-5.804984e-01
6,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.864817e-01,3.442382e-01,-5.312926e-01,-5.778103e-01,8.213138e-02,7.404170e-02,-1.442505e-02,-1.437086e-02,1.126089e-02,-8.935152e-03,-2.329014e-01,7.873100e-01,-1.269844e-02,7.335976e-03,5.085923e-01,5.747305e-01,-3.594085e-01,5.500944e-01,-9.786238e-02,7.295205e-02,3.104739e-02,7.229433e-02,8.478958e-02,8.375980e-02,-3.656296e-02,-7.726908e-02,3.926578e-01,6.357077e-01,-7.583090e-02,-5.167866e-02,-6.508364e-01,8.408834e-02,7.506008e-02,5.097271e-02,-1.111472e-01,-9.574970e-02,-8.686911e-02,-7.745152e-02,1.298816e-02,1.267380e-02,-4.288394e-01,-6.568843e-01,-9.087208e-02,-8.579666e-02,-1.046611e-01,7.968829e-01,-3.585902e-01,6.830365e-01,-4.534029e-01,8.630451e-01,-7.573290e-01,5.761877e-01,-6.639452e-01,6.954258e-01,-8.240509e-01,3.564036e-01,-6.758495e-01,2.677293e-01,-7.086852e-01,-2.074840e-02,7.607900e-02,-7.080943e-01,3.595330e-01,-6.419131e-01,4.230729e-01,-8.119107e-01,7.460837e-01,-6.067349e-01,6.314827e-01,-7.166414e-01,8.726935e-01,-3.917578e-01,7.174846e-01,-2.625596e-01,7.955251e-01,-7.237112e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.953343e-01,6.386255e-01,5.112675e-01,5.774384e-01,-4.318488e-01,-6.596340e-01,-5.343199e-01,-5.804984e-01
7,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.869743e-01,3.467948e-01,-5.302117e-01,-5.772929e-01,8.179778e-02,7.398004e-02,-1.405929e-02,-1.412457e-02,1.221341e-02,-8.359760e-03,-2.302756e-01,7.986797e-01,-1.166539e-02,7.938778e-03,5.074803e-01,5.742585e-01,-3.848653e-01,6.605356e-01,-1.346253e-01,1.803800e-01,2.695259e-02,7.112932e-02,1.078802e-01,1.243428e-01,-3.205597e-02,-7.568969e-02,3.875512e-01,6.334402e-01,-4.889772e-02,-4.908158e-02,-6.979305e-01,1.778377e-01,6.119316e-02,5.221733e-02,-2.513072e-01,-7.160020e-02,-8.618115e-02,-7.710780e-02,1.337630e-02,1.293970e-02,-4.241683e-01,-6.547388e-01,-1.067336e-01,-1.216418e-01,-1.079452e-01,7.973241e-01,-3.592515e-01,6.827118e-01,-4.559847e-01,8.633441e-01,-7.574484e-01,5.754919e-01,-6.658102e-01,6.946826e-01,-8.242402e-01,3.555436e-01,-6.763829e-01,2.672728e-01,-7.086130e-01,-2.129248e-02,7.881732e-02,-7.084512e-01,3.600421e-01,-6.418000e-01,4.250273e-01,-8.121013e-01,7.465260e-01,-6.062842e-01,6.328410e-01,-7.159020e-01,8.728963e-01,-3.913497e-01,7.177278e-01,-2.622407e-01,7.954747e-01,-6.924389e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.902222e-01,6.363535e-01,5.101443e-01,5.770264e-01,-4.271675e-01,-6.574792e-01,-5.332347e-01,-5.799786e-01
8,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.872060e-01,3.479801e-01,-5.282697e-01,-5.763757e-01,8.105493e-02,7.355764e-02,-1.493139e-02,-1.461810e-02,8.446091e-03,-1.004701e-02,-2.299971e-01,7.880876e-01,-1.591551e-02,5.980776e-03,5.065858e-01,5.738183e-01,-3.496913e-01,8.527738e-01,-3.593587e-01,7.856834e-01,2.336744e-02,6.965388e-02,-3.068912e-01,4.788967e-01,-2.505265e-02,-7.350945e-02,3.836786e-01,6.317087e-01,-1.264314e-01,-6.118583e-02,-7.431600e-01,3.048166e-01,-5.910894e-02,3.985139e-02,-6.902627e-01,2.993008e-01,-8.540972e-02,-7.684002e-02,1.235776e-02,1.236464e-02,-4.161916e-01,-6.509435e-01,-5.984086e-01,8.822605e-02,-1.106173e-01,7.977070e-01,-3.597392e-01,6.824593e-01,-4.581188e-01,8.636184e-01,-7.575362e-01,5.749694e-01,-6.673630e-01,6.940784e-01,-8.243968e-01,3.548906e-01,-6.768325e-01,2.669018e-01,-7.085560e-01,-2.170785e-02,8.360693e-02,-7.090446e-01,3.609891e-01,-6.415659e-01,4.283470e-01,-8.128343e-01,7.472807e-01,-6.054286e-01,6.353990e-01,-7.145352e-01,8.732541e-01,-3.905725e-01,7.181483e-01,-2.616616e-01,7.953818e-01,-6.321849e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.863382e-01,6.346103e-01,5.092383e-01,5.766556e-01,-4.191834e-01,-6.536770e-01,-5.312645e-01,-5.790882e-01
9,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.869580e-01,3.466137e-01,-5.280057e-01,-5.762554e-01,8.094973e-02,7.352675e-02,-1.483681e-02,-1.455841e-02,8.688264e-03,-9.894685e-03,-2.304455e-01,7.876594e-01,-1.519547e-02,6.282037e-03,5.062246e-01,5.736563e-01,-3.499882e-01,8.397322e-01,-3.516936e-01,7.938880e-01,2.213853e-02,6.931380e-02,-2.988909e-01,4.880995e-01,-2.404310e-02,-7.317283e-02,3.820956e-01,6.309904e-01,-1.090453e-01,-5.885388e-02,-7.524179e-01,3.275085e-01,-6.107775e-02,4.018382e-02,-7.252352e-01,3.252736e-01,-8.526765e-02,-7.677156e-02,1.250570e-02,1.244607e-02,-4.149669e-01,-6.503948e-01,-6.127782e-01,7.046569e-02,-1.115521e-01,7.978269e-01,-3.599445e-01,6.823618e-01,-4.588216e-01,8.636946e-01,-7.575737e-01,5.747705e-01,-6.678473e-01,6.938873e-01,-8.244434e-01,3.546557e-01,-6.769605e-01,2.667903e-01,-7.085367e-01,-2.185046e-02,8.440099e-02,-7.091533e-01,3.611169e-01,-6.415394e-01,4.289090e-01,-8.129715e-01,7.473850e-01,-6.053111e-01,6.358391e-01,-7.143051e-01,8.733151e-01,-3.904587e-01,7.182243e-01,-2.615631e-01,7.953668e-01,-6.232275e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.847532e-01,6.338893e-01,5.088742e-01,5.765130e-01,-4.179566e-01,-6.531262e-01,-5.309966e-01,-5.789715e-01
10,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.866753e-01,3.452253e-01,-5.276024e-01,-5.760882e-01,8.085203e-02,7.346529e-02,-1.517137e-02,-1.474575e-02,7.022179e-03,-1.057527e-02,-2.309118e-01,7.869196e-01,-1.523794e-02,6.099872e-03,5.060085e-01,5.735582e-01,-3.493291e-01,8.307172e-01,-3.468150e-01,8.245063e-01,2.141125e-02,6.910164e-02,-3.433644e-01,5.338941e-01,-2.286474e-02,-7.293648e-02,3.810251e-01,6.305360e-01,-9.838347e-02,-5.763696e-02,-7.624607e-01,3.536130e-01,-1.018007e-01,3.453604e-02,-7.638064e-01,3.557071e-01,-8.524535e-02,-7.680391e-02,1.235231e-02,1.233406e-02,-4.130326e-01,-6.495329e-01,-6.492315e-01,8.387883e-02,-1.122183e-01,7.979190e-01,-3.600647e-01,6.823067e-01,-4.593265e-01,8.637596e-01,-7.575969e-01,5.746532e-01,-6.681951e-01,6.937558e-01,-8.244761e-01,3.545143e-01,-6.770531e-01,2.667146e-01,-7.085239e-01,-2.193690e-02,8.563121e-02,-7.093116e-01,3.613337e-01,-6.414925e-01,4.297741e-01,-8.131660e-01,7.475659e-01,-6.051006e-01,6.365144e-01,-7.139449e-01,8.734091e-01,-3.902614e-01,7.183390e-01,-2.614074e-01,7.953424e-01,-6.076875e-03,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.836797e-01,6.334313e-01,5.086542e-01,5.764341e-01,-4.160210e-01,-6.522631e-01,-5.305890e-01,-5.788096e-01
