#time,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,driver_0001a,driver_0001b,driver_0002a,driver_0002b,Out_0015a,Out_0015b,Out_0024a,Out_0024b,Out_0020a,Out_0020b,Out_0008a,Out_0008b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.410966e-03,9.213519e-02,-9.317714e-02,-9.204456e-02,-1.084431e-01,-9.958338e-02,8.814541e-05,2.290503e-02,3.033552e-02,1.376509e-02,1.275692e-02,-3.432874e-03,-4.216325e-01,-1.454450e-01,-9.936869e-02,-1.022640e-01,9.031552e-03,1.152891e-02,8.984007e-02,8.870320e-02,8.719204e-02,8.352457e-02,-1.053489e-01,-1.022871e-01,-9.840504e-02,-9.519781e-02,8.908935e-02,9.139172e-02,-9.730715e-02,-9.755538e-02,-1.051320e-01,-1.064009e-01,1.721638e-02,4.034398e-02,9.330970e-03,8.186216e-03,6.215433e-02,8.243313e-02,7.424798e-02,5.060349e-02,5.679675e-03,5.682394e-03,5.459505e-03,5.583275e-03,6.401584e-03,5.530330e-03,6.288643e-03,6.670498e-03,1.599585e-02,1.264477e-02,1.526219e-02,1.697516e-02,9.467560e-02,7.180959e-02,8.196678e-02,9.816801e-02,9.226283e-02,9.256074e-02,-9.140444e-02,-9.098926e-02,9.253708e-02,9.218820e-02,-9.061971e-02,-9.011081e-02,9.123746e-02,8.871863e-02,-8.910864e-02,-8.662693e-02,8.141611e-02,6.024924e-02,-7.950352e-02,-5.936276e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.616378e-03,1.119745e-02,8.661112e-03,7.667174e-03,8.930670e-02,9.155902e-02,-9.292087e-02,-9.185448e-02
2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.288923e-02,1.575550e-01,-9.253159e-02,-6.447257e-02,-1.143683e-01,-1.306544e-01,-8.183916e-03,1.582209e-02,4.576860e-03,-1.766009e-02,5.511140e-03,-1.176546e-02,-5.002346e-01,-6.275803e-02,-9.976996e-02,-1.038891e-01,-2.058673e-01,-1.597038e-01,1.101558e-01,1.257299e-01,7.072594e-02,8.195982e-02,-1.082515e-01,-1.049357e-01,-1.005457e-01,-9.657920e-02,8.755752e-02,7.396106e-02,-6.682151e-02,-9.519486e-02,-1.075392e-01,-1.092334e-01,-1.392750e-02,1.538095e-02,-1.632649e-01,-2.073210e-01,5.703371e-02,7.941903e-02,7.101707e-02,4.526420e-02,-8.881789e-02,-9.057014e-02,-9.134372e-02,-8.919788e-02,-1.398054e-02,-1.681571e-02,-1.518761e-02,-1.428369e-02,4.318556e-02,3.909952e-02,4.418386e-02,4.417483e-02,1.840097e-01,1.658478e-01,1.771158e-01,1.869576e-01,1.279484e-01,1.150602e-01,-1.299644e-01,-1.007131e-01,1.186847e-01,1.185209e-01,-1.081453e-01,-1.062096e-01,1.181832e-01,1.170939e-01,-1.060238e-01,-1.058210e-01,1.120408e-01,1.020498e-01,-1.001093e-01,-1.007932e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-2.065593e-01,-1.602950e-01,-1.641114e-01,-2.080594e-01,8.775459e-02,7.416702e-02,-9.200150e-02,-6.397963e-02
3,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.452515e-01,7.538232e-01,-7.663597e-02,8.188739e-02,-5.891202e-01,7.631182e-02,-1.992954e-02,5.386596e-03,-2.460572e-02,-5.896147e-02,-4.257359e-03,-2.314768e-02,-8.259877e-01,2.713936e-01,-1.057384e-01,-1.084662e-01,-4.177062e-01,-4.440342e-01,-3.139558e-01,4.836949e-01,-4.724536e-02,6.794975e-02,-1.124294e-01,-1.082968e-01,-1.021464e-01,-9.427012e-02,8.983591e-02,1.035166e-01,-1.418596e-01,-1.079577e-01,-1.119393e-01,-1.136563e-01,-5.732557e-02,-2.348566e-02,-3.095522e-01,-5.380396e-01,4.953032e-02,7.594457e-02,6.343103e-02,3.733305e-02,2.535273e-01,-4.897728e-01,1.007956e-01,-6.400811e-01,5.364590e-01,-4.602074e-01,3.343398e-01,-6.583224e-01,7.825257e-01,-3.720227e-01,5.036711e-01,-5.744960e-01,7.891295e-01,-6.533995e-02,5.809941e-01,-1.898741e-01,-1.149196e-02,5.554609e-01,-4.157125e-01,2.833513e-01,-2.699667e-01,7.893333e-01,-6.530703e-01,2.837953e-01,-3.671215e-01,7.932902e-01,-6.939187e-01,2.932007e-01,-3.181749e-01,4.683997e-01,-6.058845e-01,1.133681e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.188902e-01,-4.446045e-01,-3.106426e-01,-5.388155e-01,9.080506e-02,1.042025e-01,-7.492956e-02,8.330421e-02
4,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.402236e-01,7.596325e-01,-7.951854e-02,6.447605e-02,-6.049896e-01,5.939217e-02,-2.220739e-02,3.277585e-03,-3.128928e-02,-6.710193e-02,-5.959642e-03,-2.524879e-02,-8.584833e-01,3.042408e-01,-1.053884e-01,-1.086612e-01,-4.659486e-01,-5.240104e-01,-3.073247e-01,4.910097e-01,-5.315640e-02,6.718150e-02,-1.131233e-01,-1.089578e-01,-1.027208e-01,-9.498210e-02,9.544469e-02,1.529883e-01,-1.244087e-01,-1.058535e-01,-1.124121e-01,-1.142883e-01,-6.662471e-02,-3.304508e-02,-3.681708e-01,-5.886814e-01,4.808234e-02,7.600606e-02,6.267413e-02,3.614626e-02,3.306289e-01,-6.114715e-01,8.224890e-02,-6.748146e-01,6.867086e-01,-5.632544e-01,3.682180e-01,-7.555209e-01,8.321296e-01,-3.598577e-01,5.626673e-01,-6.193604e-01,7.884225e-01,-2.974951e-02,6.589677e-01,-2.497354e-01,-7.961102e-02,6.791854e-01,-4.613320e-01,2.925124e-01,-3.434240e-01,8.124173e-01,-7.043599e-01,3.097239e-01,-3.518506e-01,7.924091e-01,-7.257434e-01,3.261876e-01,-3.035631e-01,4.688103e-01,-6.192815e-01,9.379508e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.671348e-01,-5.245942e-01,-3.692770e-01,-5.894706e-01,9.626579e-02,1.535742e-01,-7.780160e-02,6.595665e-02
5,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.343846e-01,7.832169e-01,-7.344829e-02,1.064750e-01,-6.465019e-01,7.313118e-02,-2.452030e-02,1.397780e-03,-3.874230e-02,-7.648146e-02,-8.286182e-03,-2.769985e-02,-8.871803e-01,3.429156e-01,-1.058633e-01,-1.093938e-01,-5.244522e-01,-5.665167e-01,-3.515549e-01,5.369798e-01,-9.652916e-02,6.057386e-02,-1.137318e-01,-1.092513e-01,-1.024035e-01,-9.330527e-02,9.490261e-02,1.550840e-01,-1.137751e-01,-1.049301e-01,-1.132015e-01,-1.150441e-01,-7.614432e-02,-4.048546e-02,-4.254522e-01,-6.531626e-01,4.680399e-02,7.525074e-02,5.992524e-02,3.395287e-02,3.621783e-01,-6.378005e-01,7.924427e-02,-7.085646e-01,7.485725e-01,-6.018469e-01,4.257855e-01,-8.114405e-01,8.727580e-01,-3.883003e-01,6.336887e-01,-7.150344e-01,7.952102e-01,-4.672301e-03,7.178473e-01,-2.617269e-01,-1.014771e-01,7.304509e-01,-5.287426e-01,3.626011e-01,-3.570885e-01,8.326608e-01,-7.667558e-01,3.532340e-01,-3.496997e-01,8.107260e-01,-7.652215e-01,3.600707e-01,-3.073964e-01,4.863192e-01,-6.417581e-01,8.671620e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.256503e-01,-5.671201e-01,-4.265505e-01,-6.539652e-01,9.570654e-02,1.556598e-01,-7.167853e-02,1.080374e-01
6,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.343847e-01,7.832166e-01,-7.344846e-02,1.064739e-01,-6.465014e-01,7.313073e-02,-2.452031e-02,1.397771e-03,-3.874230e-02,-7.648146e-02,-8.286179e-03,-2.769985e-02,-8.871803e-01,3.429156e-01,-1.058632e-01,-1.093938e-01,-5.244522e-01,-5.665167e-01,-3.515541e-01,5.369791e-01,-9.652855e-02,6.057395e-02,-1.137318e-01,-1.092513e-01,-1.024035e-01,-9.330532e-02,9.490256e-02,1.550837e-01,-1.137749e-01,-1.049301e-01,-1.132015e-01,-1.150441e-01,-7.614433e-02,-4.048546e-02,-4.254522e-01,-6.531627e-01,4.680398e-02,7.525071e-02,5.992527e-02,3.395288e-02,3.621783e-01,-6.378005e-01,7.924423e-02,-7.085646e-01,7.485726e-01,-6.018470e-01,4.257854e-01,-8.114404e-01,8.727581e-01,-3.883003e-01,6.336887e-01,-7.150344e-01,7.952103e-01,-4.672350e-03,7.178473e-01,-2.617269e-01,-1.014764e-01,7.304501e-01,-5.287410e-01,3.625996e-01,-3.570887e-01,8.326609e-01,-7.667550e-01,3.532341e-01,-3.496997e-01,8.107259e-01,-7.652216e-01,3.600707e-01,-3.073962e-01,4.863190e-01,-6.417580e-01,8.671609e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.256503e-01,-5.671201e-01,-4.265505e-01,-6.539652e-01,9.570650e-02,1.556596e-01,-7.167865e-02,1.080366e-01
7,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-1,-1,-2,-2,2,2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.312699e-01,7.989177e-01,-7.312693e-02,1.065679e-01,-6.981002e-01,1.738217e-01,-2.247346e-02,2.540612e-03,1.920087e-02,-6.193125e-02,-1.000420e-02,-2.386379e-02,-8.873677e-01,3.450836e-01,-1.121621e-01,-1.545573e-01,-5.205215e-01,-5.646949e-01,-3.877942e-01,6.587325e-01,-1.403488e-01,1.719155e-01,-1.116559e-01,-1.080428e-01,-1.016451e-01,-9.280978e-02,9.519112e-02,1.551922e-01,-2.533755e-01,-8.011905e-02,-7.566712e-02,-1.103094e-01,-7.176493e-02,-3.883294e-02,-4.104194e-01,-6.453573e-01,4.749463e-02,7.569391e-02,9.410555e-02,7.008730e-02,3.634831e-01,-6.375313e-01,8.497127e-02,-7.091317e-01,7.494165e-01,-6.009619e-01,4.293447e-01,-8.121919e-01,8.730862e-01,-3.876131e-01,6.362186e-01,-7.137351e-01,7.951286e-01,-4.168489e-03,7.182045e-01,-2.612338e-01,-1.012083e-01,7.304101e-01,-5.284565e-01,3.625804e-01,-3.570100e-01,8.326738e-01,-7.666892e-01,3.533223e-01,-3.496382e-01,8.107437e-01,-7.652163e-01,3.601196e-01,-3.073974e-01,4.863682e-01,-6.417681e-01,8.677404e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.217181e-01,-5.652978e-01,-4.115174e-01,-6.461597e-01,9.594589e-02,1.555937e-01,-7.132025e-02,1.080996e-01
8,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,0,0,-2,-2,2,2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.308939e-01,7.880112e-01,-7.340263e-02,1.064895e-01,-7.439406e-01,3.037719e-01,-2.648603e-02,8.010694e-04,1.265860e-01,-3.643960e-02,-1.471338e-01,-3.777562e-02,-8.875637e-01,3.465275e-01,-6.102235e-01,6.074013e-02,-5.131769e-01,-5.611718e-01,-3.518028e-01,8.517317e-01,-3.603709e-01,7.966728e-01,-1.154787e-01,-1.098029e-01,-1.025469e-01,-9.330367e-02,9.491733e-02,1.550917e-01,-6.842660e-01,2.808710e-01,-1.467319e-01,-1.210256e-01,-6.488588e-02,-3.669648e-02,-3.865487e-01,-6.317303e-01,4.661444e-02,7.521131e-02,-3.425376e-01,4.571301e-01,3.659916e-01,-6.368821e-01,9.387875e-02,-7.098686e-01,7.510846e-01,-5.991410e-01,4.349284e-01,-8.131747e-01,8.736157e-01,-3.862474e-01,6.402236e-01,-7.115983e-01,7.949814e-01,-3.169698e-03,7.187669e-01,-2.604024e-01,-1.013980e-01,7.304417e-01,-5.286513e-01,3.626074e-01,-3.570530e-01,8.326678e-01,-7.667300e-01,3.532808e-01,-3.496674e-01,8.107374e-01,-7.652178e-01,3.601008e-01,-3.073982e-01,4.863502e-01,-6.417640e-01,8.675403e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.143732e-01,-5.617747e-01,-3.876468e-01,-6.325328e-01,9.544489e-02,1.553225e-01,-7.176686e-02,1.080672e-01
9,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,1,1,-2,-2,2,2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.313558e-01,7.876021e-01,-7.332451e-02,1.065132e-01,-7.522463e-01,3.236796e-01,-2.564038e-02,1.189495e-03,1.377906e-01,-3.376905e-02,-1.331349e-01,-3.526397e-02,-8.873539e-01,3.451995e-01,-6.122766e-01,3.889446e-02,-5.123395e-01,-5.608035e-01,-3.521804e-01,8.410608e-01,-3.588280e-01,7.945574e-01,-1.145862e-01,-1.093675e-01,-1.023127e-01,-9.316947e-02,9.498637e-02,1.551172e-01,-7.250714e-01,3.143497e-01,-1.296561e-01,-1.186729e-01,-6.407578e-02,-3.638520e-02,-3.829027e-01,-6.299619e-01,4.681985e-02,7.532878e-02,-3.169836e-01,4.409319e-01,3.663043e-01,-6.368235e-01,9.542973e-02,-7.100395e-01,7.513032e-01,-5.989045e-01,4.359333e-01,-8.133950e-01,8.737133e-01,-3.860486e-01,6.409603e-01,-7.112162e-01,7.949570e-01,-3.019258e-03,7.188779e-01,-2.602505e-01,-1.013464e-01,7.304335e-01,-5.285956e-01,3.626014e-01,-3.570414e-01,8.326696e-01,-7.667186e-01,3.532937e-01,-3.496596e-01,8.107395e-01,-7.652175e-01,3.601067e-01,-3.073988e-01,4.863555e-01,-6.417655e-01,8.676030e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.135361e-01,-5.614069e-01,-3.840008e-01,-6.307644e-01,9.548339e-02,1.553627e-01,-7.164868e-02,1.080999e-01
10,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.317573e-01,7.868920e-01,-7.315486e-02,1.065637e-01,-7.623390e-01,3.497284e-01,-2.372925e-02,2.098962e-03,1.455975e-01,-3.153259e-02,-1.024855e-01,-2.985624e-02,-8.870252e-01,3.438519e-01,-6.144166e-01,4.199524e-03,-5.117567e-01,-5.605263e-01,-3.515341e-01,8.318387e-01,-3.564425e-01,7.923157e-01,-1.132281e-01,-1.086109e-01,-1.018667e-01,-9.289478e-02,9.516786e-02,1.551863e-01,-7.659341e-01,3.513973e-01,-1.108561e-01,-1.158071e-01,-6.317303e-02,-3.592020e-02,-3.801767e-01,-6.286936e-01,4.731792e-02,7.562488e-02,-2.747596e-01,4.185659e-01,3.665021e-01,-6.367886e-01,9.653499e-02,-7.101733e-01,7.514356e-01,-5.987650e-01,4.366501e-01,-8.135672e-01,8.737797e-01,-3.859310e-01,6.414786e-01,-7.109560e-01,7.949413e-01,-2.931304e-03,7.189541e-01,-2.601512e-01,-1.012039e-01,7.304132e-01,-5.284553e-01,3.625911e-01,-3.570013e-01,8.326748e-01,-7.666879e-01,3.533329e-01,-3.496307e-01,8.107475e-01,-7.652151e-01,3.601272e-01,-3.074000e-01,4.863776e-01,-6.417706e-01,8.678490e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.129537e-01,-5.611301e-01,-3.812749e-01,-6.294961e-01,9.563118e-02,1.554390e-01,-7.143342e-02,1.081555e-01
