#time,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,driver_0005a,driver_0005b,driver_0006a,driver_0006b,Out_0025a,Out_0025b,Out_0018a,Out_0018b,Out_0026a,Out_0026b,Out_0008a,Out_0008b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5.492144e-03,9.473168e-02,-8.683313e-02,-8.916258e-02,-7.318250e-02,-4.929915e-02,1.068820e-01,1.083080e-01,-1.654607e-02,-4.058115e-02,1.003855e-01,1.037547e-01,-1.047177e-01,-9.410444e-02,-3.075856e-02,-1.315367e-02,-1.191095e-02,4.236471e-03,-8.879947e-02,-8.335032e-02,1.073642e-01,1.043839e-01,-9.346347e-03,-7.487317e-03,1.005628e-01,9.738719e-02,-4.196995e-01,-1.428402e-01,9.352876e-02,9.415332e-02,-6.011608e-02,-8.016980e-02,9.566363e-02,9.767736e-02,8.416262e-04,-2.164644e-02,-8.320185e-03,-1.150585e-02,9.537434e-02,9.423807e-02,9.358947e-02,9.316261e-02,-9.005634e-02,-9.037398e-02,9.277691e-02,9.224344e-02,-9.037117e-02,-9.004974e-02,9.119917e-02,8.863512e-02,-8.914290e-02,-8.670761e-02,8.131334e-02,6.014059e-02,-7.960426e-02,-5.946990e-02,-4.940362e-03,-5.635883e-03,-5.397148e-03,-4.837898e-03,-5.687397e-03,-5.508095e-03,-6.283853e-03,-5.958626e-03,-1.530256e-02,-1.265084e-02,-1.532834e-02,-1.629623e-02,-9.292701e-02,-7.100119e-02,-8.119102e-02,-9.642782e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.943362e-03,-1.119796e-02,-8.805204e-03,-7.035763e-03,9.513973e-02,9.405492e-02,-8.702587e-02,-8.932020e-02
2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.058451e-02,1.595035e-01,-8.233548e-02,-5.985808e-02,-6.742781e-02,-4.257255e-02,1.103164e-01,1.118669e-01,1.369697e-02,-1.625261e-02,1.034823e-01,1.069855e-01,-1.112364e-01,-1.225847e-01,-5.564356e-03,1.738433e-02,-3.913740e-03,1.298590e-02,-5.744438e-02,-7.691436e-02,1.108810e-01,1.077005e-01,1.590212e-01,2.045841e-01,1.036241e-01,1.002904e-01,-4.977989e-01,-6.096543e-02,1.141178e-01,1.340502e-01,-5.426308e-02,-7.576409e-02,8.089675e-02,1.003956e-01,9.426019e-03,-1.415105e-02,2.031757e-01,1.562127e-01,9.781196e-02,7.891073e-02,1.313840e-01,1.162296e-01,-1.265646e-01,-9.988500e-02,1.193309e-01,1.188086e-01,-1.075232e-01,-1.059711e-01,1.182857e-01,1.170960e-01,-1.059253e-01,-1.058143e-01,1.119926e-01,1.019561e-01,-1.001431e-01,-1.008746e-01,1.008358e-01,9.345944e-02,9.091765e-02,1.051248e-01,5.712745e-05,3.926090e-03,-8.248763e-03,1.622957e-02,-5.292000e-02,-4.542557e-02,-6.487338e-02,-3.308185e-02,-1.652877e-01,-1.457530e-01,-1.733215e-01,-1.387396e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,2.036143e-01,1.565964e-01,1.596856e-01,2.051844e-01,9.718081e-02,7.832944e-02,-8.263335e-02,-6.015119e-02
3,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.432210e-01,7.519154e-01,-5.900850e-02,9.447792e-02,-6.833793e-02,-3.926339e-02,1.127324e-01,1.153532e-01,5.093581e-02,1.735160e-02,1.017428e-01,1.078662e-01,-5.864729e-01,8.658344e-02,1.816457e-02,5.260020e-02,2.742093e-03,2.219570e-02,-1.341738e-01,-8.704966e-02,1.151102e-01,1.124582e-01,2.759579e-01,5.407361e-01,1.089259e-01,1.065406e-01,-8.274717e-01,2.770910e-01,-3.048047e-01,4.864093e-01,-4.374022e-02,-6.385727e-02,-3.243044e-02,9.020575e-02,2.001145e-02,-3.350424e-03,3.782277e-01,4.019421e-01,1.061637e-01,1.055757e-01,-2.885883e-03,5.528547e-01,-4.097427e-01,2.889110e-01,-2.668311e-01,7.898879e-01,-6.552898e-01,2.844013e-01,-3.660871e-01,7.930345e-01,-6.934652e-01,2.938534e-01,-3.182164e-01,4.683947e-01,-6.061291e-01,1.133162e-01,-2.704789e-01,5.483697e-01,-1.563178e-01,7.714052e-01,-6.455930e-01,4.382236e-01,-4.248160e-01,7.158125e-01,-6.572988e-01,2.981288e-01,-4.988401e-01,5.235834e-01,-6.528010e-01,7.539831e-03,-5.791169e-01,1.996659e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,3.785948e-01,4.026655e-01,2.766018e-01,5.415452e-01,1.048633e-01,1.045158e-01,-5.951044e-02,9.419255e-02
4,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.376399e-01,7.604944e-01,-6.077966e-02,7.546905e-02,-6.628866e-02,-3.699790e-02,1.138414e-01,1.165808e-01,6.222283e-02,2.707217e-02,1.024006e-01,1.087937e-01,-6.049325e-01,6.987546e-02,2.695362e-02,6.351511e-02,5.502881e-03,2.532472e-02,-1.159369e-01,-8.384018e-02,1.163908e-01,1.137634e-01,3.381289e-01,5.883973e-01,1.103878e-01,1.089345e-01,-8.584309e-01,3.083574e-01,-3.009700e-01,4.992764e-01,-4.141912e-02,-6.248937e-02,-3.967163e-02,9.015691e-02,2.320978e-02,-4.340553e-04,4.407007e-01,4.778153e-01,1.139005e-01,1.599141e-01,-7.053927e-02,6.783779e-01,-4.543358e-01,2.973014e-01,-3.405129e-01,8.119065e-01,-7.044043e-01,3.114498e-01,-3.512861e-01,7.923502e-01,-7.260219e-01,3.265504e-01,-3.034673e-01,4.687326e-01,-6.193292e-01,9.381506e-02,-3.193854e-01,5.813783e-01,-1.249130e-01,7.786147e-01,-6.612693e-01,4.779290e-01,-4.342406e-01,7.980419e-01,-7.373256e-01,2.745194e-01,-5.927680e-01,6.279043e-01,-6.556127e-01,-3.215248e-02,-6.347835e-01,2.291859e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,4.410605e-01,4.785651e-01,3.387626e-01,5.892249e-01,1.125335e-01,1.587484e-01,-6.130492e-02,7.514815e-02
5,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.313418e-01,7.910474e-01,-5.398873e-02,1.120019e-01,-6.548005e-02,-3.559770e-02,1.143344e-01,1.174879e-01,7.275701e-02,3.803637e-02,1.003652e-01,1.085183e-01,-6.550101e-01,9.555949e-02,3.472362e-02,7.289790e-02,7.675888e-03,2.812489e-02,-1.070210e-01,-8.233078e-02,1.175211e-01,1.149801e-01,3.908639e-01,6.326044e-01,1.115826e-01,1.099940e-01,-8.857475e-01,3.457925e-01,-3.664199e-01,5.622688e-01,-3.809648e-02,-5.870399e-02,-9.981382e-02,8.186319e-02,2.640725e-02,2.901280e-03,5.015196e-01,5.628780e-01,1.146273e-01,1.624380e-01,-8.856210e-02,7.280582e-01,-5.151101e-01,3.599792e-01,-3.551394e-01,8.329445e-01,-7.640738e-01,3.550950e-01,-3.488257e-01,8.106275e-01,-7.653138e-01,3.605172e-01,-3.071029e-01,4.861479e-01,-6.417302e-01,8.666606e-02,-3.627870e-01,6.767515e-01,-1.068549e-01,7.978459e-01,-7.562676e-01,5.696681e-01,-4.556377e-01,8.626001e-01,-8.236845e-01,3.493499e-01,-6.658976e-01,6.941285e-01,-7.082004e-01,-2.486767e-02,-6.764016e-01,2.667278e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.018559e-01,5.636457e-01,3.914852e-01,6.334484e-01,1.129802e-01,1.609892e-01,-5.463991e-02,1.115678e-01
6,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.313418e-01,7.910469e-01,-5.398857e-02,1.120029e-01,-6.548003e-02,-3.559768e-02,1.143344e-01,1.174879e-01,7.275706e-02,3.803643e-02,1.003653e-01,1.085183e-01,-6.550095e-01,9.555883e-02,3.472364e-02,7.289793e-02,7.675908e-03,2.812492e-02,-1.070208e-01,-8.233074e-02,1.175211e-01,1.149801e-01,3.908638e-01,6.326045e-01,1.115826e-01,1.099940e-01,-8.857475e-01,3.457926e-01,-3.664188e-01,5.622678e-01,-3.809645e-02,-5.870393e-02,-9.981295e-02,8.186332e-02,2.640727e-02,2.901312e-03,5.015198e-01,5.628782e-01,1.146273e-01,1.624382e-01,-8.856276e-02,7.280589e-01,-5.151115e-01,3.599806e-01,-3.551391e-01,8.329444e-01,-7.640745e-01,3.550949e-01,-3.488257e-01,8.106279e-01,-7.653137e-01,3.605172e-01,-3.071035e-01,4.861485e-01,-6.417306e-01,8.666644e-02,-3.627867e-01,6.767520e-01,-1.068551e-01,7.978458e-01,-7.562685e-01,5.696690e-01,-4.556379e-01,8.626001e-01,-8.236853e-01,3.493512e-01,-6.658978e-01,6.941283e-01,-7.082008e-01,-2.486680e-02,-6.764016e-01,2.667277e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,5.018560e-01,5.636459e-01,3.914851e-01,6.334485e-01,1.129802e-01,1.609894e-01,-5.463980e-02,1.115685e-01
7,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,2,2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.291905e-01,7.986139e-01,-5.392903e-02,1.120271e-01,-9.579940e-02,-6.941294e-02,9.644767e-02,1.176454e-01,6.886217e-02,3.680609e-02,1.210570e-01,1.560790e-01,-6.979367e-01,1.825977e-01,-2.430043e-02,5.851755e-02,1.941415e-02,2.768485e-02,-2.487617e-01,-6.154631e-02,1.177649e-01,1.150975e-01,3.742806e-01,6.240065e-01,1.116536e-01,1.100453e-01,-8.865332e-01,3.487098e-01,-3.819839e-01,6.625600e-01,-3.801861e-02,-5.863055e-02,-1.296405e-01,1.879640e-01,2.628882e-02,2.946886e-03,4.971068e-01,5.608359e-01,1.146660e-01,1.624532e-01,-8.851112e-02,7.280556e-01,-5.150549e-01,3.599906e-01,-3.551163e-01,8.329479e-01,-7.640619e-01,3.551244e-01,-3.488056e-01,8.106366e-01,-7.653112e-01,3.605365e-01,-3.071078e-01,4.861713e-01,-6.417360e-01,8.669300e-02,-3.646628e-01,6.759893e-01,-1.133855e-01,7.985127e-01,-7.566170e-01,5.681777e-01,-4.601861e-01,8.629863e-01,-8.239569e-01,3.476886e-01,-6.689014e-01,6.929271e-01,-7.080716e-01,-2.584399e-02,-6.771609e-01,2.660407e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,4.974432e-01,5.616053e-01,3.749020e-01,6.248509e-01,1.129585e-01,1.608406e-01,-5.455039e-02,1.115663e-01
8,2,2,-2,-2,0,0,-2,-2,-2,-2,0,0,2,2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.289822e-01,7.882192e-01,-5.422136e-02,1.119418e-01,-6.042589e-01,1.278229e-01,-2.298431e-03,1.086007e-01,6.513494e-02,3.522459e-02,-2.704731e-01,5.079381e-01,-7.441989e-01,3.113761e-01,-6.259425e-02,4.767873e-02,-6.672161e-02,1.407476e-02,-6.879831e-01,3.119215e-01,1.148803e-01,1.137108e-01,3.587841e-01,6.166092e-01,1.109058e-01,1.096182e-01,-8.867147e-01,3.495209e-01,-3.476202e-01,8.482444e-01,-3.899261e-02,-5.915732e-02,-3.482448e-01,7.904330e-01,2.180544e-02,9.928252e-04,4.934448e-01,5.591089e-01,1.144175e-01,1.623615e-01,-8.869081e-02,7.280864e-01,-5.152501e-01,3.600199e-01,-3.551526e-01,8.329425e-01,-7.641015e-01,3.550877e-01,-3.488282e-01,8.106338e-01,-7.653116e-01,3.605222e-01,-3.071110e-01,4.861627e-01,-6.417342e-01,8.668219e-02,-3.662627e-01,6.753310e-01,-1.197652e-01,7.992375e-01,-7.569191e-01,5.668686e-01,-4.646369e-01,8.634259e-01,-8.242225e-01,3.462066e-01,-6.718329e-01,6.917787e-01,-7.079515e-01,-2.672184e-02,-6.779015e-01,2.653880e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,4.937812e-01,5.598783e-01,3.594055e-01,6.174536e-01,1.124952e-01,1.606328e-01,-5.499109e-02,1.115541e-01
9,2,2,-2,-2,1,1,-2,-2,-2,-2,1,1,2,2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.294958e-01,7.877528e-01,-5.430777e-02,1.119177e-01,-6.223413e-01,1.291763e-01,-3.029483e-02,1.043951e-01,6.428687e-02,3.495082e-02,-2.896634e-01,5.262987e-01,-7.527864e-01,3.322673e-01,-8.085789e-02,4.399758e-02,-5.551937e-02,1.504765e-02,-7.244498e-01,3.362747e-01,1.134763e-01,1.130708e-01,3.546732e-01,6.144990e-01,1.105627e-01,1.094151e-01,-8.865258e-01,3.481664e-01,-3.478723e-01,8.378618e-01,-3.916647e-02,-5.928396e-02,-3.435126e-01,7.975725e-01,2.169583e-02,7.811487e-04,4.924200e-01,5.586520e-01,1.142924e-01,1.623131e-01,-8.878696e-02,7.280995e-01,-5.153368e-01,3.600257e-01,-3.551821e-01,8.329390e-01,-7.641216e-01,3.550614e-01,-3.488498e-01,8.106277e-01,-7.653136e-01,3.605078e-01,-3.071102e-01,4.861456e-01,-6.417305e-01,8.666389e-02,-3.666518e-01,6.751939e-01,-1.211408e-01,7.993704e-01,-7.569972e-01,5.665992e-01,-4.655360e-01,8.635063e-01,-8.242681e-01,3.459217e-01,-6.723886e-01,6.915677e-01,-7.079287e-01,-2.688039e-02,-6.780279e-01,2.652776e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,4.927562e-01,5.594206e-01,3.552945e-01,6.153432e-01,1.123422e-01,1.605914e-01,-5.503388e-02,1.115371e-01
10,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2.299891e-01,7.869871e-01,-5.450542e-02,1.118626e-01,-6.757039e-01,1.655963e-01,-1.007058e-01,9.408814e-02,6.386860e-02,3.478399e-02,-3.713555e-01,6.020882e-01,-7.625053e-01,3.577060e-01,-9.374008e-02,4.180622e-02,-5.263717e-02,1.479427e-02,-7.633326e-01,3.656774e-01,1.101944e-01,1.116281e-01,3.514491e-01,6.130601e-01,1.098135e-01,1.089851e-01,-8.862814e-01,3.468104e-01,-3.471374e-01,8.301692e-01,-3.963308e-02,-5.959181e-02,-3.393126e-01,8.409696e-01,2.080622e-02,8.830103e-05,4.918315e-01,5.584296e-01,1.140346e-01,1.622152e-01,-8.897991e-02,7.281277e-01,-5.155182e-01,3.600416e-01,-3.552370e-01,8.329321e-01,-7.641630e-01,3.550102e-01,-3.488895e-01,8.106169e-01,-7.653170e-01,3.604808e-01,-3.071091e-01,4.861154e-01,-6.417238e-01,8.663075e-02,-3.668725e-01,6.751405e-01,-1.222738e-01,7.994961e-01,-7.570517e-01,5.664588e-01,-4.662745e-01,8.635997e-01,-8.243080e-01,3.457684e-01,-6.728410e-01,6.914077e-01,-7.079145e-01,-2.696620e-02,-6.781309e-01,2.651965e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,4.921676e-01,5.591975e-01,3.520704e-01,6.139042e-01,1.120522e-01,1.604914e-01,-5.518739e-02,1.114898e-01
