#time,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,driver_0005a,driver_0005b,driver_0006a,driver_0006b,Out_0008a,Out_0008b,Out_0022a,Out_0022b,Out_0016a,Out_0016b,Out_0038a,Out_0038b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,9.139657e-02,8.890782e-02,2.861940e-03,1.440960e-03,-6.407633e-03,9.352148e-02,-9.392170e-02,-9.252411e-02,8.166324e-02,6.066686e-02,9.276887e-02,9.235509e-02,9.304709e-02,9.309057e-02,2.477427e-02,7.317607e-03,2.385850e-03,6.814902e-04,-2.199133e-03,-1.454777e-03,9.282851e-02,9.296649e-02,9.223930e-02,9.259929e-02,-9.109837e-02,-9.101758e-02,3.061976e-02,1.030510e-02,-1.595732e-03,-6.358880e-04,7.630775e-03,4.824771e-03,-3.120664e-03,-1.376364e-03,-4.207294e-01,-1.442537e-01,-7.935979e-02,-5.863457e-02,-8.912226e-02,-8.659943e-02,9.310676e-02,9.309744e-02,-9.185969e-02,-9.151215e-02,-9.056356e-02,-9.011619e-02,-1.067879e-01,-9.725081e-02,-2.352959e-02,-6.365129e-03,-3.087935e-02,-9.605404e-03,3.837237e-03,1.394046e-03,9.185987e-02,9.179244e-02,-9.092510e-02,-9.079187e-02,9.305606e-02,9.296263e-02,-9.131388e-02,-9.118896e-02,-7.766456e-03,-4.195300e-03,2.746836e-03,1.799707e-03,3.898359e-03,3.453926e-03,4.781674e-03,3.609638e-03,5.130177e-03,5.315091e-03,1.500843e-02,1.154807e-02,1.444738e-02,1.608523e-02,9.404112e-02,7.113068e-02,8.140479e-02,9.757364e-02,-2.120124e-03,-1.842223e-03,-4.071414e-03,-2.865502e-03,-4.188904e-03,-3.683721e-03,-5.342242e-03,-4.763096e-03,-1.441536e-02,-1.163681e-02,-1.466697e-02,-1.552988e-02,-9.236326e-02,-7.038371e-02,-8.072255e-02,-9.591509e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,2.489767e-03,1.056769e-03,7.082170e-03,4.390402e-03,-1.858195e-03,-1.104086e-03,-7.249179e-03,-3.791418e-03
2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.060232e-02,8.743442e-02,-2.133010e-01,-1.717093e-01,-2.125838e-02,1.587986e-01,-1.070207e-01,-1.077821e-01,7.920180e-02,5.693778e-02,9.267541e-02,9.199206e-02,7.666071e-02,9.365982e-02,1.972194e-02,1.473387e-03,-3.425284e-03,-4.314318e-03,2.099996e-01,1.677622e-01,1.155637e-01,1.296809e-01,1.193076e-01,1.192917e-01,-8.994119e-02,-9.033306e-02,5.192993e-03,-2.058413e-02,3.273962e-03,3.504010e-03,-1.659589e-01,-2.116025e-01,2.585813e-02,2.214927e-02,-4.992265e-01,-6.056916e-02,-7.738848e-02,-5.558771e-02,-8.844454e-02,-8.542393e-02,9.376201e-02,9.350759e-02,-1.000743e-01,-1.282294e-01,-9.024013e-02,-8.969771e-02,-1.193464e-01,-1.050601e-01,-1.932536e-02,-1.462596e-03,-6.970169e-03,1.951055e-02,-2.688615e-02,-2.357455e-02,1.162557e-01,1.200962e-01,-9.047170e-02,-9.045084e-02,9.329510e-02,9.305098e-02,-6.232866e-02,-8.829124e-02,1.612384e-01,2.083245e-01,-9.082908e-02,-9.553255e-02,-9.330254e-02,-9.091221e-02,-1.478225e-02,-2.065776e-02,-1.689115e-02,-1.565833e-02,4.178804e-02,3.607386e-02,4.248689e-02,4.275999e-02,1.829732e-01,1.643718e-01,1.761259e-01,1.860309e-01,1.029026e-01,9.959562e-02,9.311357e-02,1.073401e-01,-2.379275e-04,9.215666e-03,-6.868443e-03,1.850170e-02,-5.329756e-02,-4.179698e-02,-6.375064e-02,-3.119459e-02,-1.652826e-01,-1.437392e-01,-1.722886e-01,-1.379840e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-2.143763e-01,-1.727666e-01,-1.672158e-01,-2.127519e-01,2.110862e-01,1.688428e-01,1.624990e-01,2.094791e-01
3,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.956781e-02,8.571454e-02,-4.257463e-01,-4.622289e-01,-2.362362e-01,7.865037e-01,-6.852155e-01,3.039424e-01,7.633433e-02,5.237615e-02,9.213189e-02,9.131604e-02,-4.121997e-02,8.174610e-02,1.310682e-02,-6.767064e-03,-1.225420e-02,-1.255776e-02,3.842617e-01,4.135876e-01,-3.023420e-01,4.814907e-01,-3.536005e-01,7.807066e-01,-9.403696e-02,-9.224207e-02,-2.377892e-02,-6.119073e-02,8.416185e-03,8.330535e-03,-3.142850e-01,-5.422197e-01,6.104181e-02,5.392630e-02,-8.151529e-01,2.486181e-01,-7.696600e-02,-5.400947e-02,-8.892385e-02,-8.563447e-02,9.012441e-02,9.185310e-02,-5.972456e-01,8.199701e-02,-9.085822e-02,-9.026538e-02,-6.616590e-01,2.717486e-01,-1.615680e-02,3.083530e-03,1.530842e-02,5.281852e-02,-6.961741e-02,-6.220777e-02,-3.550794e-01,8.096893e-01,-9.154951e-02,-9.119342e-02,9.239527e-02,9.244972e-02,-1.387548e-01,-1.001245e-01,2.792694e-01,5.439760e-01,2.567252e-01,-4.978159e-01,9.670510e-02,-6.417146e-01,5.340254e-01,-4.668682e-01,3.322032e-01,-6.581973e-01,7.825113e-01,-3.753669e-01,5.010955e-01,-5.782893e-01,7.896280e-01,-6.738519e-02,5.819531e-01,-1.908061e-01,-2.686346e-01,5.538087e-01,-1.531756e-01,7.726261e-01,-6.437487e-01,4.445066e-01,-4.230031e-01,7.200663e-01,-6.574770e-01,3.013360e-01,-4.973558e-01,5.243357e-01,-6.541722e-01,1.013376e-02,-5.773722e-01,2.010879e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.276100e-01,-4.640832e-01,-3.162601e-01,-5.441412e-01,3.865824e-01,4.158948e-01,2.816430e-01,5.463263e-01
4,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.974953e-02,8.580242e-02,-4.741280e-01,-5.356128e-01,-2.340030e-01,7.854876e-01,-7.232036e-01,3.262774e-01,7.623077e-02,5.198214e-02,9.232858e-02,9.152284e-02,-4.521934e-02,8.177523e-02,1.237050e-02,-7.778281e-03,-1.341615e-02,-1.368799e-02,4.473329e-01,4.908070e-01,-2.973487e-01,4.935145e-01,-3.471969e-01,7.921403e-01,-9.332610e-02,-9.193091e-02,-3.014564e-02,-6.893757e-02,1.063252e-02,1.029221e-02,-3.733886e-01,-5.938785e-01,7.168076e-02,6.301067e-02,-8.508809e-01,2.920044e-01,-7.597504e-02,-5.256951e-02,-8.852462e-02,-8.499567e-02,9.029373e-02,9.201664e-02,-6.120258e-01,6.454924e-02,-9.068006e-02,-9.001094e-02,-7.098228e-01,3.078620e-01,-1.425112e-02,5.279885e-03,2.368591e-02,6.318900e-02,-7.846341e-02,-7.111103e-02,-3.501338e-01,8.160143e-01,-9.136579e-02,-9.103975e-02,9.255812e-02,9.262641e-02,-1.212082e-01,-9.779331e-02,3.405241e-01,5.914208e-01,3.266664e-01,-6.142095e-01,7.747643e-02,-6.735561e-01,6.825922e-01,-5.677222e-01,3.627025e-01,-7.543562e-01,8.316188e-01,-3.639468e-01,5.579809e-01,-6.194877e-01,7.888464e-01,-3.240845e-02,6.562640e-01,-2.503550e-01,-3.190790e-01,5.875891e-01,-1.222136e-01,7.787081e-01,-6.570605e-01,4.856862e-01,-4.303551e-01,8.005845e-01,-7.381457e-01,2.795199e-01,-5.916555e-01,6.295274e-01,-6.567434e-01,-2.856825e-02,-6.342143e-01,2.303123e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-4.762719e-01,-5.377486e-01,-3.756163e-01,-5.960550e-01,4.497948e-01,4.932614e-01,3.430147e-01,5.938958e-01
5,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.976483e-02,8.572043e-02,-5.317454e-01,-5.780633e-01,-2.309611e-01,7.869107e-01,-7.633967e-01,3.544261e-01,7.594245e-02,5.138928e-02,9.229729e-02,9.154767e-02,-9.428455e-02,7.478004e-02,1.145604e-02,-8.847954e-03,-1.439059e-02,-1.436177e-02,5.088680e-01,5.748756e-01,-3.510165e-01,5.456773e-01,-3.460939e-01,8.278035e-01,-9.354649e-02,-9.222252e-02,-3.690546e-02,-7.747633e-02,1.304426e-02,1.270240e-02,-4.302911e-01,-6.576322e-01,8.222982e-02,7.409968e-02,-8.866860e-01,3.452218e-01,-7.519751e-02,-5.134307e-02,-8.830285e-02,-8.455112e-02,8.818934e-02,9.116845e-02,-6.510908e-01,8.308628e-02,-9.070580e-02,-8.993403e-02,-7.624750e-01,3.536442e-01,-1.251360e-02,7.438913e-03,3.132360e-02,7.245686e-02,-8.700518e-02,-7.754014e-02,-3.493042e-01,8.305733e-01,-9.157192e-02,-9.115403e-02,9.218269e-02,9.247500e-02,-1.114590e-01,-9.680073e-02,3.935731e-01,6.361653e-01,3.592061e-01,-6.420372e-01,7.453403e-02,-7.078812e-01,7.456777e-01,-6.072078e-01,4.216115e-01,-8.119363e-01,8.724918e-01,-3.922348e-01,6.302934e-01,-7.173548e-01,7.955844e-01,-7.627336e-03,7.171816e-01,-2.629427e-01,-3.583533e-01,6.832231e-01,-1.035274e-01,7.967049e-01,-7.573108e-01,5.765686e-01,-4.522241e-01,8.629054e-01,-8.239252e-01,3.569336e-01,-6.628606e-01,6.958885e-01,-7.087301e-01,-2.037583e-02,-6.754361e-01,2.680692e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.342626e-01,-5.805757e-01,-4.328054e-01,-6.601451e-01,5.115074e-01,5.775083e-01,3.962117e-01,6.388090e-01
6,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.976483e-02,8.572042e-02,-5.317454e-01,-5.780633e-01,-2.309611e-01,7.869107e-01,-7.633966e-01,3.544260e-01,7.594244e-02,5.138927e-02,9.229727e-02,9.154766e-02,-9.428735e-02,7.477963e-02,1.145604e-02,-8.847955e-03,-1.439059e-02,-1.436177e-02,5.088680e-01,5.748756e-01,-3.510202e-01,5.456807e-01,-3.460937e-01,8.278051e-01,-9.354656e-02,-9.222257e-02,-3.690546e-02,-7.747633e-02,1.304426e-02,1.270240e-02,-4.302911e-01,-6.576322e-01,8.222982e-02,7.409968e-02,-8.866860e-01,3.452218e-01,-7.519751e-02,-5.134307e-02,-8.830285e-02,-8.455112e-02,8.818920e-02,9.116839e-02,-6.510929e-01,8.308838e-02,-9.070581e-02,-8.993404e-02,-7.624750e-01,3.536442e-01,-1.251360e-02,7.438912e-03,3.132360e-02,7.245686e-02,-8.700519e-02,-7.754014e-02,-3.493042e-01,8.305732e-01,-9.157195e-02,-9.115404e-02,9.218266e-02,9.247498e-02,-1.114596e-01,-9.680085e-02,3.935731e-01,6.361653e-01,3.592061e-01,-6.420372e-01,7.453403e-02,-7.078812e-01,7.456777e-01,-6.072078e-01,4.216115e-01,-8.119363e-01,8.724918e-01,-3.922348e-01,6.302934e-01,-7.173548e-01,7.955844e-01,-7.627336e-03,7.171816e-01,-2.629427e-01,-3.583533e-01,6.832230e-01,-1.035274e-01,7.967049e-01,-7.573107e-01,5.765686e-01,-4.522241e-01,8.629054e-01,-8.239251e-01,3.569336e-01,-6.628606e-01,6.958885e-01,-7.087301e-01,-2.037584e-02,-6.754361e-01,2.680692e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.342626e-01,-5.805757e-01,-4.328054e-01,-6.601451e-01,5.115074e-01,5.775083e-01,3.962117e-01,6.388090e-01
7,-2,-2,-2,-2,2,2,2,2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,2,2,2,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-1,-1,2,2,-1,-1,2,2,-2,-2,-2,-2,-2,-2,2,2,-1,-1,-1,-1,-1,-1,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.358907e-02,8.622320e-02,-5.314002e-01,-5.778868e-01,-2.307698e-01,7.869238e-01,-7.639495e-01,3.567535e-01,7.652467e-02,5.175962e-02,1.151890e-01,1.282956e-01,-1.340724e-01,1.812698e-01,1.170932e-02,-8.665913e-03,-1.425593e-02,-1.425965e-02,5.086235e-01,5.747948e-01,-3.801295e-01,6.589275e-01,-3.432867e-01,8.404537e-01,-1.134613e-01,-1.051865e-01,-3.629392e-02,-7.717222e-02,1.321870e-02,1.283231e-02,-4.289442e-01,-6.569927e-01,8.226920e-02,7.416441e-02,-8.866146e-01,3.453842e-01,-7.417643e-02,-5.075729e-02,-5.994574e-02,-8.188181e-02,1.131836e-01,1.202113e-01,-6.996869e-01,1.790467e-01,-9.998120e-02,-1.272642e-01,-7.624699e-01,3.539809e-01,-1.214539e-02,7.685358e-03,3.104288e-02,7.241746e-02,-8.682995e-02,-7.743251e-02,-3.489496e-01,8.299511e-01,-1.065188e-01,-1.076206e-01,1.190796e-01,1.190502e-01,-2.519215e-01,-7.091230e-02,3.922876e-01,6.356220e-01,3.594198e-01,-6.419741e-01,7.573007e-02,-7.080530e-01,7.459303e-01,-6.069331e-01,4.226656e-01,-8.119417e-01,8.726289e-01,-3.919531e-01,6.311161e-01,-7.168759e-01,7.955464e-01,-7.395688e-03,7.173937e-01,-2.626871e-01,-3.585643e-01,6.830940e-01,-1.048561e-01,7.969077e-01,-7.573456e-01,5.762631e-01,-4.534699e-01,8.630709e-01,-8.240458e-01,3.565069e-01,-6.639128e-01,6.954602e-01,-7.086922e-01,-2.067315e-02,-6.758083e-01,2.677710e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.340067e-01,-5.804873e-01,-4.315504e-01,-6.595965e-01,5.112715e-01,5.774334e-01,3.949405e-01,6.382773e-01
8,-2,-2,-2,-2,2,2,2,2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,2,2,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,0,0,2,2,0,0,2,2,-2,-2,-2,-2,-2,-2,2,2,0,0,0,0,0,0,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.511425e-02,7.412747e-02,-5.307312e-01,-5.775458e-01,-2.305046e-01,7.869301e-01,-7.640567e-01,3.577463e-01,7.281922e-02,5.010480e-02,-3.035483e-01,4.805889e-01,-3.463730e-01,8.023784e-01,1.087952e-02,-9.110773e-03,-1.450776e-02,-1.440988e-02,5.082867e-01,5.746137e-01,-3.442537e-01,8.448755e-01,-3.427847e-01,8.298276e-01,-6.670252e-01,2.721659e-01,-3.546610e-02,-7.682852e-02,1.290905e-02,1.264412e-02,-4.264808e-01,-6.557913e-01,8.201623e-02,7.400498e-02,-8.865056e-01,3.457107e-01,-7.829335e-02,-5.262057e-02,-1.367463e-01,-9.380677e-02,-3.452139e-01,8.055373e-01,-7.472736e-01,3.141938e-01,-5.969619e-01,8.344423e-02,-7.623778e-01,3.543951e-01,-1.310273e-02,7.154733e-03,3.031185e-02,7.200391e-02,-8.667216e-02,-7.736347e-02,-3.483778e-01,8.302098e-01,-6.870773e-01,3.022823e-01,-3.575836e-01,7.826570e-01,-6.741897e-01,2.792308e-01,3.911118e-01,6.350435e-01,3.598582e-01,-6.418328e-01,7.787126e-02,-7.083412e-01,7.464203e-01,-6.063788e-01,4.244917e-01,-8.119705e-01,8.728627e-01,-3.914076e-01,6.325310e-01,-7.160405e-01,7.954796e-01,-6.952915e-03,7.177279e-01,-2.622554e-01,-3.587919e-01,6.829365e-01,-1.060509e-01,7.970920e-01,-7.573727e-01,5.759413e-01,-4.546194e-01,8.632183e-01,-8.241570e-01,3.560680e-01,-6.649085e-01,6.950511e-01,-7.086535e-01,-2.097650e-02,-6.761710e-01,2.674807e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.336552e-01,-5.802257e-01,-4.293710e-01,-6.584525e-01,5.108995e-01,5.774171e-01,3.937323e-01,6.378467e-01
9,-2,-2,-2,-2,2,2,2,2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,2,2,2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,1,1,2,2,1,1,2,2,-2,-2,-2,-2,-2,-2,2,2,1,1,1,1,1,1,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.848124e-02,7.421759e-02,-5.306565e-01,-5.775134e-01,-2.305694e-01,7.869267e-01,-7.638019e-01,3.563648e-01,7.296029e-02,5.019813e-02,-2.979013e-01,4.921636e-01,-3.431951e-01,8.110140e-01,1.093617e-02,-9.077674e-03,-1.448918e-02,-1.440010e-02,5.081708e-01,5.745570e-01,-3.447168e-01,8.349933e-01,-3.433005e-01,8.294399e-01,-7.140234e-01,3.089134e-01,-3.534696e-02,-7.677461e-02,1.293774e-02,1.265868e-02,-4.261353e-01,-6.556355e-01,8.199218e-02,7.399284e-02,-8.865305e-01,3.456338e-01,-7.760220e-02,-5.234714e-02,-1.191297e-01,-9.148348e-02,-3.409255e-01,8.121390e-01,-7.547254e-01,3.317744e-01,-6.120029e-01,6.551906e-02,-7.623855e-01,3.542345e-01,-1.298097e-02,7.212665e-03,3.018789e-02,7.195317e-02,-8.664586e-02,-7.735172e-02,-3.485095e-01,8.302718e-01,-7.243943e-01,3.256309e-01,-3.494014e-01,7.926675e-01,-7.163652e-01,3.115661e-01,3.906618e-01,6.348326e-01,3.599054e-01,-6.418208e-01,7.822598e-02,-7.083950e-01,7.464716e-01,-6.063132e-01,4.247895e-01,-8.120448e-01,8.729035e-01,-3.913325e-01,6.328052e-01,-7.158910e-01,7.954685e-01,-6.888605e-03,7.177933e-01,-2.621772e-01,-3.588762e-01,6.828851e-01,-1.064700e-01,7.971533e-01,-7.573858e-01,5.758372e-01,-4.549890e-01,8.632625e-01,-8.241876e-01,3.559355e-01,-6.651982e-01,6.949346e-01,-7.086423e-01,-2.106172e-02,-6.762617e-01,2.674059e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.335826e-01,-5.801891e-01,-4.290355e-01,-6.582981e-01,5.107986e-01,5.773975e-01,3.932902e-01,6.376767e-01
10,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-9.550995e-02,6.752967e-02,-5.305568e-01,-5.774817e-01,-2.306248e-01,7.869248e-01,-7.635241e-01,3.550191e-01,7.092712e-02,4.934127e-02,-3.493061e-01,5.427711e-01,-3.444500e-01,8.287609e-01,1.050461e-02,-9.322403e-03,-1.464088e-02,-1.450144e-02,5.080954e-01,5.745119e-01,-3.441780e-01,8.287598e-01,-3.438148e-01,8.287335e-01,-7.638869e-01,3.544919e-01,-3.536823e-02,-7.683171e-02,1.282482e-02,1.257647e-02,-4.255832e-01,-6.554020e-01,8.192844e-02,7.394195e-02,-8.865496e-01,3.455805e-01,-7.778298e-02,-5.262502e-02,-1.091379e-01,-9.043376e-02,-3.448843e-01,8.290196e-01,-7.638015e-01,3.549034e-01,-6.505525e-01,8.276049e-02,-7.623922e-01,3.541222e-01,-1.320020e-02,7.054747e-03,3.007788e-02,7.187286e-02,-8.670337e-02,-7.740362e-02,-3.486192e-01,8.303510e-01,-7.637776e-01,3.545653e-01,-3.467207e-01,8.270093e-01,-7.638270e-01,3.547131e-01,3.904034e-01,6.347079e-01,3.599869e-01,-6.418011e-01,7.881280e-02,-7.084827e-01,7.465621e-01,-6.061968e-01,4.252743e-01,-8.121612e-01,8.729680e-01,-3.912026e-01,6.332409e-01,-7.156509e-01,7.954503e-01,-6.778409e-03,7.178908e-01,-2.620549e-01,-3.589243e-01,6.828513e-01,-1.067266e-01,7.971946e-01,-7.573874e-01,5.757732e-01,-4.552234e-01,8.632951e-01,-8.242025e-01,3.558517e-01,-6.653877e-01,6.948618e-01,-7.086327e-01,-2.111646e-02,-6.763249e-01,2.673581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.334972e-01,-5.801639e-01,-4.285023e-01,-6.580740e-01,5.107306e-01,5.773804e-01,3.930349e-01,6.375872e-01
