#time,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,driver_0003a,driver_0003b,driver_0004a,driver_0004b,Out_0009a,Out_0009b,Out_0010a,Out_0010b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1.123963e-01,1.128506e-01,1.094661e-01,1.117897e-01,-1.105286e-01,-1.121899e-01,-1.087124e-01,-1.098992e-01,7.424827e-02,8.898877e-02,-7.215601e-02,-8.670032e-02,2.446907e-02,4.199824e-02,-2.337535e-02,-4.063871e-02,3.327879e-02,2.202372e-02,-3.205726e-02,-2.096592e-02,4.095803e-02,5.647945e-02,-4.017802e-02,-5.470463e-02,-9.762019e-02,-8.059970e-02,3.005205e-02,4.389715e-03,-2.831343e-02,-3.610255e-03,9.968549e-02,8.161637e-02,1.105832e-01,1.072895e-01,1.377000e-02,-5.562829e-03,9.436285e-02,1.089692e-01,4.690756e-02,2.578580e-02,-1.080655e-01,-1.049808e-01,-1.297621e-02,6.663464e-03,-9.161701e-02,-1.061562e-01,-4.688535e-02,-2.512893e-02,-2.346412e-03,-2.078276e-02,2.029208e-03,2.002154e-02,2.602682e-02,7.678011e-03,8.201376e-02,6.137752e-02,-7.321057e-03,9.047134e-02,-2.860459e-02,-8.752275e-03,-9.682085e-02,-6.697154e-02,-4.197100e-01,-1.411109e-01,9.231068e-02,9.281812e-02,-9.004773e-02,-9.059556e-02,9.268366e-02,9.223389e-02,-9.049609e-02,-9.008220e-02,9.122352e-02,8.867448e-02,-8.912074e-02,-8.665824e-02,8.135891e-02,6.018797e-02,-7.954370e-02,-5.940644e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,7.425446e-02,8.899296e-02,-7.216566e-02,-8.671798e-02
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.145574e-01,1.181248e-01,1.107600e-01,1.130890e-01,-1.120538e-01,-1.168928e-01,-1.093048e-01,-1.105423e-01,7.542812e-02,7.310446e-02,-7.008627e-02,-5.867577e-02,2.529814e-02,4.316443e-02,-2.295100e-02,-4.002321e-02,3.400065e-02,2.270679e-02,-3.168894e-02,-2.057948e-02,4.317904e-02,5.752334e-02,-4.059184e-02,-5.444730e-02,-1.125235e-01,-8.858917e-02,-2.690525e-02,-1.020478e-02,2.941761e-02,1.191955e-02,1.143740e-01,8.967182e-02,1.404701e-01,1.303215e-01,2.144510e-01,1.502492e-01,1.298562e-01,1.428575e-01,2.662300e-01,2.388836e-01,-1.391790e-01,-1.286716e-01,-2.142298e-01,-1.491343e-01,-1.297415e-01,-1.418842e-01,-2.676921e-01,-2.389458e-01,7.143454e-02,4.965649e-02,-6.552443e-02,-4.862874e-02,8.155338e-02,7.368660e-02,1.133267e-01,1.078175e-01,-2.139116e-02,1.582789e-01,-7.257898e-02,-6.514982e-02,-1.172589e-01,-9.392439e-02,-4.992525e-01,-5.972623e-02,1.293095e-01,1.157818e-01,-1.276659e-01,-1.004188e-01,1.190528e-01,1.186850e-01,-1.078070e-01,-1.060821e-01,1.182370e-01,1.170896e-01,-1.059589e-01,-1.058050e-01,1.120086e-01,1.019908e-01,-1.001163e-01,-1.008252e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,7.528781e-02,7.297868e-02,-7.014749e-02,-5.874807e-02
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163638e-01,1.222722e-01,1.120168e-01,1.142462e-01,-1.134297e-01,-1.224623e-01,-1.096915e-01,-1.109620e-01,8.215827e-02,1.020706e-01,-5.121177e-02,9.151733e-02,2.720500e-02,4.673780e-02,-2.053556e-02,-3.426099e-02,3.386419e-02,2.352102e-02,-3.179291e-02,-1.963202e-02,3.895184e-02,5.609532e-02,-4.472552e-02,-5.586369e-02,-1.261595e-01,-9.482679e-02,-5.832713e-02,-1.847124e-02,1.358516e-01,3.772111e-02,1.366968e-01,1.028180e-01,1.757203e-01,1.611097e-01,3.612275e-01,3.949523e-01,1.692140e-01,1.820130e-01,4.407662e-01,5.493771e-01,-1.772745e-01,-1.545916e-01,-5.282021e-01,-2.805683e-01,-1.761569e-01,-1.854325e-01,-5.838049e-01,-4.262259e-01,-3.769164e-01,4.604846e-01,-6.326302e-01,1.683051e-01,-3.823531e-01,8.112861e-01,-3.525488e-01,8.168010e-01,-2.366024e-01,7.844744e-01,-6.918568e-01,3.436319e-01,-6.643627e-01,2.878682e-01,-8.152338e-01,2.500789e-01,-7.346093e-03,5.547267e-01,-4.124547e-01,2.863917e-01,-2.683735e-01,7.896420e-01,-6.542769e-01,2.841329e-01,-3.665714e-01,7.931634e-01,-6.936721e-01,2.935729e-01,-3.182401e-01,4.683920e-01,-6.060353e-01,1.133529e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.184175e-02,1.015830e-01,-5.142197e-02,9.129847e-02
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.164376e-01,1.225248e-01,1.120503e-01,1.142620e-01,-1.137743e-01,-1.235428e-01,-1.098393e-01,-1.111006e-01,8.896466e-02,1.539023e-01,-5.385719e-02,7.306855e-02,2.763182e-02,4.823881e-02,-2.044397e-02,-3.445835e-02,3.391909e-02,2.365564e-02,-3.170606e-02,-1.953694e-02,3.937447e-02,5.619155e-02,-4.449837e-02,-5.574250e-02,-1.308296e-01,-9.731562e-02,-7.914302e-02,-2.312456e-02,1.471573e-01,4.040144e-02,1.407411e-01,1.047521e-01,1.859105e-01,1.684042e-01,4.219321e-01,4.323180e-01,1.796312e-01,1.930955e-01,5.001632e-01,6.037460e-01,-1.857053e-01,-1.616502e-01,-5.825755e-01,-3.371921e-01,-1.842206e-01,-1.940555e-01,-6.390226e-01,-4.819673e-01,-3.569693e-01,4.508889e-01,-6.389574e-01,1.546017e-01,-3.877137e-01,8.075883e-01,-3.501440e-01,8.241354e-01,-2.341613e-01,7.850059e-01,-7.318528e-01,3.813103e-01,-7.136356e-01,3.235112e-01,-8.510267e-01,2.928885e-01,-7.502917e-02,6.789953e-01,-4.574120e-01,2.948874e-01,-3.418721e-01,8.121617e-01,-7.043415e-01,3.106575e-01,-3.515702e-01,7.923862e-01,-7.258923e-01,3.264107e-01,-3.035583e-01,4.687547e-01,-6.193232e-01,9.382450e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.866851e-02,1.534508e-01,-5.396723e-02,7.289688e-02
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.164290e-01,1.227548e-01,1.121673e-01,1.142805e-01,-1.136334e-01,-1.241909e-01,-1.096752e-01,-1.108625e-01,8.906912e-02,1.561685e-01,-4.789748e-02,1.118470e-01,2.793435e-02,4.852412e-02,-1.941774e-02,-3.236337e-02,3.431215e-02,2.396795e-02,-3.113020e-02,-1.887826e-02,4.076362e-02,5.682947e-02,-4.349549e-02,-5.506200e-02,-1.359502e-01,-1.000326e-01,-1.012908e-01,-2.795358e-02,1.570462e-01,4.287956e-02,1.434458e-01,1.060179e-01,1.930983e-01,1.733146e-01,4.825277e-01,4.660079e-01,1.897474e-01,2.021681e-01,5.561312e-01,6.551827e-01,-1.948309e-01,-1.693172e-01,-6.394630e-01,-3.974021e-01,-1.936132e-01,-2.038371e-01,-6.996962e-01,-5.379080e-01,-3.298537e-01,4.403430e-01,-6.406039e-01,1.349317e-01,-3.979122e-01,8.034939e-01,-3.518337e-01,8.401756e-01,-2.309629e-01,7.874019e-01,-7.663374e-01,4.229389e-01,-7.657258e-01,3.707890e-01,-8.866913e-01,3.462529e-01,-9.488773e-02,7.293122e-01,-5.214554e-01,3.609081e-01,-3.560434e-01,8.328028e-01,-7.652874e-01,3.542165e-01,-3.492927e-01,8.106615e-01,-7.652727e-01,3.603452e-01,-3.072502e-01,4.861797e-01,-6.417347e-01,8.670135e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.876549e-02,1.557149e-01,-4.794411e-02,1.116713e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.164290e-01,1.227548e-01,1.121673e-01,1.142805e-01,-1.136334e-01,-1.241909e-01,-1.096752e-01,-1.108625e-01,8.906912e-02,1.561685e-01,-4.789748e-02,1.118470e-01,2.793434e-02,4.852412e-02,-1.941774e-02,-3.236337e-02,3.431215e-02,2.396795e-02,-3.113020e-02,-1.887827e-02,4.076361e-02,5.682946e-02,-4.349550e-02,-5.506200e-02,-1.359502e-01,-1.000326e-01,-1.012908e-01,-2.795358e-02,1.570463e-01,4.287957e-02,1.434458e-01,1.060179e-01,1.930983e-01,1.733146e-01,4.825276e-01,4.660079e-01,1.897474e-01,2.021681e-01,5.561312e-01,6.551827e-01,-1.948309e-01,-1.693172e-01,-6.394630e-01,-3.974020e-01,-1.936132e-01,-2.038371e-01,-6.996962e-01,-5.379080e-01,-3.298539e-01,4.403432e-01,-6.406040e-01,1.349318e-01,-3.979121e-01,8.034940e-01,-3.518337e-01,8.401756e-01,-2.309629e-01,7.874019e-01,-7.663374e-01,4.229389e-01,-7.657258e-01,3.707890e-01,-8.866913e-01,3.462529e-01,-9.488774e-02,7.293122e-01,-5.214554e-01,3.609081e-01,-3.560434e-01,8.328027e-01,-7.652875e-01,3.542165e-01,-3.492926e-01,8.106629e-01,-7.652726e-01,3.603451e-01,-3.072534e-01,4.861826e-01,-6.417365e-01,8.670314e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.876549e-02,1.557149e-01,-4.794411e-02,1.116713e-01
7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.150120e-01,1.218085e-01,1.080049e-01,1.120017e-01,-1.115809e-01,-1.227572e-01,-1.042276e-01,-1.077084e-01,8.894321e-02,1.560951e-01,-4.744306e-02,1.120303e-01,2.756045e-02,4.830938e-02,-1.852969e-02,-3.172432e-02,3.202614e-02,2.318907e-02,-2.817060e-02,-1.749790e-02,-5.162908e-03,4.728300e-02,3.178803e-03,-4.480481e-02,-1.056274e-01,-1.370684e-01,9.761992e-02,4.301043e-02,-2.122441e-02,-5.058425e-02,1.753993e-01,1.427244e-01,2.498002e-01,2.453391e-01,1.503525e-01,2.944567e-01,2.969305e-01,3.038540e-01,3.516046e-01,4.195382e-01,-2.385265e-01,-2.236668e-01,-4.088053e-01,-1.908322e-01,-3.154052e-01,-2.301758e-01,-5.692101e-01,-1.474851e-01,-3.734053e-01,3.794276e-01,-6.952156e-01,2.010447e-01,-4.209122e-01,8.190010e-01,-3.602635e-01,8.408820e-01,-2.330696e-01,7.889866e-01,-7.943223e-01,4.779345e-01,-7.646225e-01,3.716357e-01,-8.862199e-01,3.501811e-01,-9.480692e-02,7.292976e-01,-5.211559e-01,3.609391e-01,-3.560327e-01,8.328236e-01,-7.652278e-01,3.543477e-01,-3.492619e-01,8.106843e-01,-7.652707e-01,3.604265e-01,-3.072659e-01,4.862297e-01,-6.417478e-01,8.678658e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.870329e-02,1.557481e-01,-4.780648e-02,1.114280e-01
8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.139030e-01,1.211213e-01,1.035543e-01,1.099993e-01,-1.100906e-01,-1.218085e-01,-9.857152e-02,-1.050775e-01,8.879851e-02,1.560227e-01,-4.724296e-02,1.121106e-01,2.716816e-02,4.806874e-02,-1.830142e-02,-3.148250e-02,3.055688e-02,2.250587e-02,-2.834660e-02,-1.739695e-02,-2.660475e-02,4.264302e-02,1.016328e-02,-4.475985e-02,1.832155e-01,-4.136154e-01,4.527645e-01,-1.480116e-01,-6.051491e-01,1.804726e-01,-2.010906e-01,4.854237e-01,-8.880978e-02,8.250531e-01,-4.562259e-01,7.539402e-01,3.061199e-01,5.007298e-01,2.200729e-01,5.732362e-01,-5.563432e-01,-2.926105e-01,-6.189789e-01,-1.307841e-01,-6.321530e-01,1.853738e-01,-7.843689e-01,4.440660e-01,-6.012038e-01,3.692601e-01,-8.144974e-01,3.131302e-01,-4.562498e-01,9.079431e-01,-3.611854e-01,8.443734e-01,-2.333350e-01,7.892180e-01,-8.162952e-01,7.268627e-01,-7.638731e-01,3.654267e-01,-8.861094e-01,3.494970e-01,-9.480042e-02,7.292898e-01,-5.210111e-01,3.609485e-01,-3.560399e-01,8.328357e-01,-7.651956e-01,3.544124e-01,-3.492520e-01,8.106936e-01,-7.652705e-01,3.604662e-01,-3.072718e-01,4.862492e-01,-6.417523e-01,8.682499e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.823265e-02,1.559852e-01,-4.792168e-02,1.113952e-01
9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.149661e-01,1.217004e-01,1.065558e-01,1.118285e-01,-1.140593e-01,-1.243265e-01,-1.117644e-01,-1.118559e-01,8.866132e-02,1.559804e-01,-4.814069e-02,1.118065e-01,2.763915e-02,4.810023e-02,-1.981561e-02,-3.271521e-02,3.357708e-02,2.391179e-02,-2.768833e-02,-1.882689e-02,-3.191762e-02,4.671791e-02,8.610864e-02,-3.158475e-02,-5.899102e-01,5.475475e-02,-3.026585e-01,3.897768e-01,-5.840099e-01,1.855819e-01,-1.925348e-01,4.930188e-01,-1.908065e-01,8.556415e-01,-6.100482e-01,8.376664e-01,1.858748e-01,7.486040e-01,1.306833e-02,7.537857e-01,-7.477383e-01,2.124729e-01,-8.261569e-01,5.315530e-01,-6.592235e-01,1.378799e-01,-7.937784e-01,4.690878e-01,-6.743255e-01,4.360832e-01,-8.687143e-01,5.190364e-01,-5.538891e-01,9.358510e-01,-3.620437e-01,8.571106e-01,-2.320525e-01,7.902233e-01,-8.493565e-01,7.126857e-01,-7.578514e-01,3.408339e-01,-8.858960e-01,3.489473e-01,-9.533796e-02,7.293636e-01,-5.217779e-01,3.609458e-01,-3.562314e-01,8.327900e-01,-7.653773e-01,3.541177e-01,-3.494306e-01,8.106310e-01,-7.652877e-01,3.602930e-01,-3.072597e-01,4.860831e-01,-6.417184e-01,8.661998e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.789860e-02,1.562380e-01,-4.904216e-02,1.117789e-01
10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.145934e-01,1.214008e-01,1.061652e-01,1.113847e-01,-1.142309e-01,-1.244835e-01,-1.117034e-01,-1.120059e-01,8.844622e-02,1.558896e-01,-4.834115e-02,1.117380e-01,2.730056e-02,4.782038e-02,-2.022874e-02,-3.300322e-02,3.296015e-02,2.351039e-02,-2.851633e-02,-1.943533e-02,-4.474188e-02,4.450205e-02,9.280046e-02,-3.185461e-02,-6.217048e-01,2.089571e-02,-3.538308e-01,4.124059e-01,-6.283018e-01,2.047967e-01,-2.572568e-01,5.451517e-01,-2.013951e-01,8.804985e-01,-6.501752e-01,8.802047e-01,1.866851e-01,7.551794e-01,-3.852917e-02,7.919916e-01,-8.094782e-01,2.723674e-01,-9.629716e-01,6.768472e-01,-7.117242e-01,2.092556e-01,-8.797099e-01,5.803224e-01,-7.131678e-01,4.712661e-01,-8.818699e-01,6.291317e-01,-6.111371e-01,9.275473e-01,-3.645656e-01,8.491747e-01,-2.319719e-01,7.908674e-01,-8.371532e-01,7.798881e-01,-7.580266e-01,3.351990e-01,-8.858293e-01,3.472412e-01,-9.555806e-02,7.293823e-01,-5.219722e-01,3.609323e-01,-3.563200e-01,8.327809e-01,-7.654218e-01,3.540372e-01,-3.494992e-01,8.106057e-01,-7.652957e-01,3.602442e-01,-3.072483e-01,4.860157e-01,-6.417017e-01,8.654939e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,8.760305e-02,1.563076e-01,-4.929076e-02,1.119006e-01
