#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,driver_0037a,driver_0037b,driver_0038a,driver_0038b,Out_0033a,Out_0033b,Out_0019a,Out_0019b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7.429533e-02,8.906011e-02,-7.219762e-02,-8.676435e-02,9.437101e-02,1.089789e-01,1.124555e-01,1.129347e-01,-1.298337e-02,6.654619e-03,4.691298e-02,2.579230e-02,-4.197107e-01,-1.411117e-01,3.329123e-02,2.204055e-02,1.094986e-01,1.118328e-01,-2.830140e-02,-3.595006e-03,3.004100e-02,4.375634e-03,-7.320024e-03,9.047253e-02,-1.105848e-01,-1.122700e-01,1.105949e-01,1.073038e-01,2.449227e-02,4.203088e-02,-9.162465e-02,-1.061653e-01,-2.343399e-03,-2.077901e-02,-9.015101e-02,-9.077122e-02,-1.087429e-01,-1.099399e-01,2.602886e-02,7.680482e-03,-9.682183e-02,-6.697273e-02,-9.763694e-02,-8.062083e-02,8.201517e-02,6.137920e-02,-4.689021e-02,-2.513479e-02,-3.206756e-02,-2.098009e-02,2.026945e-03,2.001867e-02,9.970317e-02,8.163861e-02,-2.339521e-02,-4.066712e-02,-4.018382e-02,-5.471221e-02,-2.860607e-02,-8.754098e-03,9.242410e-02,9.300844e-02,1.377790e-02,-5.553129e-03,4.096526e-02,5.648875e-02,-1.080766e-01,-1.049943e-01,9.302517e-02,9.290000e-02,-9.081534e-02,-9.071237e-02,9.266522e-02,9.221093e-02,-9.049970e-02,-9.007346e-02,9.120865e-02,8.866624e-02,-8.911536e-02,-8.665658e-02,8.135475e-02,6.018609e-02,-7.954424e-02,-5.940806e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.242634e-02,9.301325e-02,-9.017263e-02,-9.079720e-02
2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.501403e-02,9.012934e-02,-7.182090e-02,-8.616450e-02,1.298486e-01,1.428464e-01,1.131843e-01,1.140125e-01,-2.142372e-01,-1.491416e-01,2.662220e-01,2.388726e-01,-4.992548e-01,-5.972824e-02,3.388623e-02,2.251239e-02,1.105043e-01,1.125381e-01,2.938747e-02,1.187346e-02,-2.690634e-02,-1.019628e-02,-2.139355e-02,1.582769e-01,-1.107878e-01,-1.128161e-01,1.404534e-01,1.302958e-01,2.495245e-02,4.256616e-02,-1.297425e-01,-1.418832e-01,7.142728e-02,4.963701e-02,-8.807236e-02,-6.251518e-02,-1.091315e-01,-1.100929e-01,8.154851e-02,7.368048e-02,-1.172614e-01,-9.392792e-02,-1.124978e-01,-8.853732e-02,1.133236e-01,1.078139e-01,-2.676985e-01,-2.389528e-01,-3.174830e-02,-2.066712e-02,-6.552853e-02,-4.864479e-02,1.143333e-01,8.960405e-02,-2.309395e-02,-4.035455e-02,-4.062192e-02,-5.448924e-02,-7.258363e-02,-6.515617e-02,9.352572e-02,7.691798e-02,2.144352e-01,1.502265e-01,4.313318e-02,5.745294e-02,-1.391742e-01,-1.286595e-01,1.298991e-01,1.156939e-01,-1.284152e-01,-1.002918e-01,1.190221e-01,1.186587e-01,-1.078321e-01,-1.060776e-01,1.182207e-01,1.170788e-01,-1.059643e-01,-1.058101e-01,1.120011e-01,1.019845e-01,-1.001215e-01,-1.008318e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.345001e-02,7.685824e-02,-8.817605e-02,-6.260999e-02
3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.708220e-02,9.374106e-02,-6.920063e-02,-8.027267e-02,1.691824e-01,1.819716e-01,1.138528e-01,1.150047e-01,-5.282524e-01,-2.806341e-01,4.407192e-01,5.493164e-01,-8.152365e-01,2.500639e-01,3.328584e-02,2.255128e-02,1.114557e-01,1.131597e-01,1.357545e-01,3.758132e-02,-5.837838e-02,-1.851274e-02,-2.366129e-01,7.844716e-01,-1.108201e-01,-1.130791e-01,1.756671e-01,1.610405e-01,2.551032e-02,4.372885e-02,-1.761677e-01,-1.854406e-01,-3.769907e-01,4.604564e-01,-6.913364e-02,8.767532e-02,-1.094741e-01,-1.101819e-01,-3.823816e-01,8.112976e-01,-6.643651e-01,2.878420e-01,-1.261115e-01,-9.471748e-02,-3.525646e-01,8.168087e-01,-5.838452e-01,-4.262787e-01,-3.235556e-02,-2.062610e-02,-6.326536e-01,1.682174e-01,1.366020e-01,1.026761e-01,-2.250244e-02,-3.904802e-02,-4.494537e-02,-5.620659e-02,-6.918428e-01,3.435675e-01,1.001510e-01,1.048518e-01,3.611492e-01,3.948728e-01,3.871790e-02,5.573608e-02,-1.772749e-01,-1.545755e-01,-6.035745e-03,5.532738e-01,-4.125146e-01,2.859770e-01,-2.680625e-01,7.896517e-01,-6.541921e-01,2.841438e-01,-3.665807e-01,7.931648e-01,-6.936778e-01,2.935636e-01,-3.182490e-01,4.683923e-01,-6.060379e-01,1.133445e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.001141e-01,1.048153e-01,-6.919810e-02,8.760348e-02
4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.752821e-02,9.528249e-02,-6.910404e-02,-8.045916e-02,1.796066e-01,1.930618e-01,1.138284e-01,1.150083e-01,-5.826310e-01,-3.372668e-01,5.001274e-01,6.037006e-01,-8.510288e-01,2.928704e-01,3.328909e-02,2.255155e-02,1.114811e-01,1.131401e-01,1.470576e-01,4.026434e-02,-7.920220e-02,-2.317381e-02,-2.341723e-01,7.850056e-01,-1.108614e-01,-1.131853e-01,1.858643e-01,1.683417e-01,2.554694e-02,4.386969e-02,-1.842331e-01,-1.940655e-01,-3.570275e-01,4.508236e-01,-7.178142e-02,6.918260e-02,-1.095985e-01,-1.102292e-01,-3.877507e-01,8.075775e-01,-7.136399e-01,3.234877e-01,-1.307836e-01,-9.720547e-02,-3.501686e-01,8.241291e-01,-6.390585e-01,-4.820154e-01,-3.230861e-02,-2.058792e-02,-6.389735e-01,1.545053e-01,1.406522e-01,1.046154e-01,-2.244844e-02,-3.896204e-02,-4.473344e-02,-5.611057e-02,-7.318419e-01,3.812661e-01,1.070825e-01,1.574674e-01,4.218584e-01,4.322297e-01,3.913250e-02,5.581129e-02,-1.857080e-01,-1.616369e-01,-7.421023e-02,6.785292e-01,-4.579544e-01,2.949228e-01,-3.417959e-01,8.121185e-01,-7.043280e-01,3.106703e-01,-3.516078e-01,7.923955e-01,-7.259100e-01,3.263958e-01,-3.035641e-01,4.687520e-01,-6.193208e-01,9.381804e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.070628e-01,1.574453e-01,-7.183100e-02,6.912415e-02
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.777930e-02,9.554264e-02,-6.813180e-02,-7.837708e-02,1.897222e-01,2.021360e-01,1.138427e-01,1.149782e-01,-6.395370e-01,-3.975295e-01,5.560867e-01,6.551413e-01,-8.866986e-01,3.462342e-01,3.363525e-02,2.279338e-02,1.116269e-01,1.132025e-01,1.569181e-01,4.274250e-02,-1.013873e-01,-2.803619e-02,-2.309755e-01,7.874000e-01,-1.106318e-01,-1.129443e-01,1.930552e-01,1.732541e-01,2.575479e-02,4.408600e-02,-1.936315e-01,-2.038549e-01,-3.297791e-01,4.401458e-01,-6.577345e-02,1.084096e-01,-1.095035e-01,-1.100458e-01,-3.979525e-01,8.034419e-01,-7.657268e-01,3.707587e-01,-1.359171e-01,-9.993165e-02,-3.518539e-01,8.401782e-01,-6.997385e-01,-5.379645e-01,-3.188925e-02,-2.022790e-02,-6.405477e-01,1.347418e-01,1.433591e-01,1.058862e-01,-2.205188e-02,-3.840460e-02,-4.378190e-02,-5.551729e-02,-7.663447e-01,4.228961e-01,1.071821e-01,1.598300e-01,4.824642e-01,4.658563e-01,4.050500e-02,5.641934e-02,-1.948438e-01,-1.693167e-01,-9.447198e-02,7.292061e-01,-5.224422e-01,3.614800e-01,-3.560491e-01,8.327839e-01,-7.654970e-01,3.541909e-01,-3.493185e-01,8.106593e-01,-7.652697e-01,3.603382e-01,-3.072482e-01,4.861678e-01,-6.417314e-01,8.668781e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.071376e-01,1.597896e-01,-6.585554e-02,1.083262e-01
6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.777929e-02,9.554264e-02,-6.813180e-02,-7.837708e-02,1.897222e-01,2.021360e-01,1.138427e-01,1.149782e-01,-6.395370e-01,-3.975295e-01,5.560867e-01,6.551413e-01,-8.866986e-01,3.462342e-01,3.363524e-02,2.279338e-02,1.116269e-01,1.132025e-01,1.569181e-01,4.274251e-02,-1.013872e-01,-2.803619e-02,-2.309755e-01,7.874000e-01,-1.106318e-01,-1.129443e-01,1.930552e-01,1.732541e-01,2.575479e-02,4.408600e-02,-1.936315e-01,-2.038549e-01,-3.297794e-01,4.401461e-01,-6.577346e-02,1.084096e-01,-1.095036e-01,-1.100458e-01,-3.979525e-01,8.034420e-01,-7.657268e-01,3.707587e-01,-1.359171e-01,-9.993165e-02,-3.518539e-01,8.401781e-01,-6.997385e-01,-5.379645e-01,-3.188926e-02,-2.022790e-02,-6.405479e-01,1.347420e-01,1.433591e-01,1.058862e-01,-2.205189e-02,-3.840461e-02,-4.378191e-02,-5.551730e-02,-7.663447e-01,4.228961e-01,1.071821e-01,1.598300e-01,4.824641e-01,4.658564e-01,4.050499e-02,5.641934e-02,-1.948438e-01,-1.693167e-01,-9.447198e-02,7.292061e-01,-5.224422e-01,3.614800e-01,-3.560491e-01,8.327838e-01,-7.654970e-01,3.541910e-01,-3.493183e-01,8.106615e-01,-7.652696e-01,3.603380e-01,-3.072530e-01,4.861720e-01,-6.417340e-01,8.669051e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.071376e-01,1.597896e-01,-6.585554e-02,1.083262e-01
7,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,2,2,-2,-2,-2,-2,-1,-1,-1,-1,2,2,-2,-2,-1,-1,-2,-2,-1,-1,2,2,-2,-2,-2,-2,2,2,2,2,-1,-1,2,2,-1,-1,-2,-2,2,2,-1,-1,-2,-2,-2,-2,2,2,-2,-2,-1,-1,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.765575e-02,9.547024e-02,-6.764617e-02,-7.800963e-02,2.968998e-01,3.038211e-01,1.124270e-01,1.140309e-01,-4.087781e-01,-1.909549e-01,3.515569e-01,4.195031e-01,-8.862265e-01,3.501645e-01,3.135094e-02,2.201719e-02,1.074704e-01,1.109266e-01,-2.123574e-02,-5.073989e-02,9.761169e-02,4.295729e-02,-2.330808e-01,7.889848e-01,-1.085778e-01,-1.115101e-01,2.497705e-01,2.452715e-01,2.538422e-02,4.387513e-02,-3.154382e-01,-2.302172e-01,-3.734095e-01,3.792328e-01,-6.550304e-02,1.085198e-01,-1.040537e-01,-1.068901e-01,-4.209729e-01,8.189525e-01,-7.646235e-01,3.716100e-01,-1.056480e-01,-1.369754e-01,-3.602809e-01,8.408920e-01,-5.692185e-01,-1.475674e-01,-2.892801e-02,-1.884458e-02,-6.951400e-01,2.008354e-01,1.753339e-01,1.425503e-01,-2.115869e-02,-3.775484e-02,2.888601e-03,-4.526004e-02,-7.942971e-01,4.778451e-01,1.071413e-01,1.598005e-01,1.503294e-01,2.943267e-01,-5.438754e-03,4.687108e-02,-2.385730e-01,-2.237160e-01,-9.439960e-02,7.291966e-01,-5.222511e-01,3.615043e-01,-3.560307e-01,8.327974e-01,-7.654580e-01,3.542805e-01,-3.492906e-01,8.106778e-01,-7.652671e-01,3.603955e-01,-3.072612e-01,4.862102e-01,-6.417425e-01,8.675310e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.071220e-01,1.597785e-01,-6.582998e-02,1.081969e-01
8,-2,-2,-2,-2,0,0,-2,-2,0,0,0,0,2,2,-2,-2,-2,-2,0,0,0,0,2,2,-2,-2,0,0,-2,-2,0,0,2,2,-2,-2,-2,-2,2,2,2,2,0,0,2,2,0,0,-2,-2,2,2,0,0,-2,-2,-2,-2,2,2,-2,-2,0,0,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.750864e-02,9.538057e-02,-6.743051e-02,-7.783407e-02,3.060758e-01,5.007250e-01,1.113165e-01,1.133418e-01,-6.189871e-01,-1.309007e-01,2.200174e-01,5.731838e-01,-8.861164e-01,3.494785e-01,2.987985e-02,2.133327e-02,1.030175e-01,1.089226e-01,-6.052746e-01,1.803062e-01,4.528163e-01,-1.480770e-01,-2.333469e-01,7.892166e-01,-1.070860e-01,-1.105607e-01,-8.880053e-02,8.251078e-01,2.499187e-02,4.363456e-02,-6.321580e-01,1.853624e-01,-6.011910e-01,3.691048e-01,-6.536905e-02,1.085788e-01,-9.839354e-02,-1.042571e-01,-4.563096e-01,9.079223e-01,-7.638721e-01,3.653887e-01,1.832176e-01,-4.135709e-01,-3.612062e-01,8.443787e-01,-7.844120e-01,4.440237e-01,-2.910387e-02,-1.874260e-02,-8.144873e-01,3.129356e-01,-2.011847e-01,4.853759e-01,-2.092832e-02,-3.750814e-02,9.858673e-03,-4.521770e-02,-8.163283e-01,7.268197e-01,1.070880e-01,1.597725e-01,-4.562884e-01,7.537700e-01,-2.689006e-02,4.222706e-02,-5.563617e-01,-2.926558e-01,-9.438151e-02,7.291953e-01,-5.221643e-01,3.615206e-01,-3.560267e-01,8.328039e-01,-7.654416e-01,3.543235e-01,-3.492804e-01,8.106851e-01,-7.652661e-01,3.604230e-01,-3.072653e-01,4.862262e-01,-6.417460e-01,8.678157e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.067952e-01,1.597835e-01,-6.547023e-02,1.081361e-01
9,-2,-2,-2,-2,1,1,-2,-2,1,1,1,1,2,2,-2,-2,-2,-2,1,1,1,1,2,2,-2,-2,1,1,-2,-2,1,1,2,2,-2,-2,-2,-2,2,2,2,2,1,1,2,2,1,1,-2,-2,2,2,1,1,-2,-2,-2,-2,2,2,-2,-2,1,1,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.733694e-02,9.515194e-02,-6.840119e-02,-7.857034e-02,1.858236e-01,7.486039e-01,1.123809e-01,1.139267e-01,-8.261451e-01,5.312905e-01,1.301312e-02,7.537771e-01,-8.859025e-01,3.489293e-01,3.289932e-02,2.273520e-02,1.060200e-01,1.107523e-01,-5.841620e-01,1.854168e-01,-3.026245e-01,3.897230e-01,-2.320638e-01,7.902226e-01,-1.110568e-01,-1.130767e-01,-1.908231e-01,8.556907e-01,2.545428e-02,4.364956e-02,-6.592294e-01,1.378597e-01,-6.742468e-01,4.358130e-01,-6.590622e-02,1.083848e-01,-1.115898e-01,-1.110382e-01,-5.539533e-01,9.358180e-01,-7.578528e-01,3.408048e-01,-5.899164e-01,5.484193e-02,-3.620661e-01,8.570956e-01,-7.938056e-01,4.690501e-01,-2.844728e-02,-2.017821e-02,-8.685880e-01,5.187412e-01,-1.926109e-01,4.928983e-01,-2.245444e-02,-3.876689e-02,8.581747e-02,-3.203960e-02,-8.493732e-01,7.126720e-01,1.068689e-01,1.596903e-01,-6.101883e-01,8.374829e-01,-3.219811e-02,4.630413e-02,-7.477304e-01,2.123675e-01,-9.476297e-02,7.292345e-01,-5.226322e-01,3.614904e-01,-3.561747e-01,8.327767e-01,-7.655485e-01,3.541257e-01,-3.494105e-01,8.106393e-01,-7.652803e-01,3.603017e-01,-3.072574e-01,4.861027e-01,-6.417221e-01,8.663172e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.065048e-01,1.599362e-01,-6.633134e-02,1.084167e-01
10,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.710497e-02,9.496855e-02,-6.861977e-02,-7.873570e-02,1.866542e-01,7.551897e-01,1.120097e-01,1.136291e-01,-9.629747e-01,6.768155e-01,-3.857082e-02,7.919874e-01,-8.858363e-01,3.472213e-01,3.227643e-02,2.232959e-02,1.056337e-01,1.103109e-01,-6.282358e-01,2.044882e-01,-3.538889e-01,4.123872e-01,-2.319845e-01,7.908669e-01,-1.112309e-01,-1.132342e-01,-2.014475e-01,8.803966e-01,2.511104e-02,4.336230e-02,-7.117259e-01,2.092082e-01,-7.131571e-01,4.711551e-01,-6.602804e-02,1.083494e-01,-1.115346e-01,-1.111921e-01,-6.111988e-01,9.275149e-01,-7.580271e-01,3.351614e-01,-6.217448e-01,2.099476e-02,-3.645917e-01,8.491559e-01,-8.797020e-01,5.802609e-01,-2.928324e-02,-2.079280e-02,-8.819638e-01,6.289596e-01,-2.570510e-01,5.447986e-01,-2.287368e-02,-3.906342e-02,9.249466e-02,-3.232079e-02,-8.371882e-01,7.798065e-01,1.067299e-01,1.596338e-01,-6.502468e-01,8.801228e-01,-4.505564e-02,4.407602e-02,-8.094739e-01,2.723663e-01,-9.491280e-02,7.292513e-01,-5.227702e-01,3.614882e-01,-3.562342e-01,8.327691e-01,-7.655834e-01,3.540679e-01,-3.494597e-01,8.106201e-01,-7.652860e-01,3.602659e-01,-3.072476e-01,4.860514e-01,-6.417093e-01,8.657817e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,1.064560e-01,1.600059e-01,-6.626487e-02,1.084940e-01
