Vin_1A,Vin_1B,Vou_1A_dH,Vou_1B_dH,Vou_1A_dL,Vou_1B_dL
1,-1,-0.35305,0.6795916,0.06420768,0.7715443
0.777777777777778,-0.777777777777778,-0.3530464,0.6795953,0.06421335,0.7715433
0.555555555555556,-0.555555555555556,-0.3530371,0.6796046,0.06422786,0.7715406
0.333333333333333,-0.333333333333333,-0.353035,0.6796069,0.06423134,0.7715399
0.111111111111111,-0.111111111111111,-0.3530327,0.6796094,0.06423525,0.7715392
-0.111111111111111,0.111111111111111,0.7893723,-0.08368502,0.7228935,-0.3247861
-0.333333333333333,0.333333333333333,0.7893726,-0.08368731,0.7228929,-0.3247876
-0.555555555555556,0.555555555555556,0.789373,-0.08369003,0.7228917,-0.3247898
-0.777777777777778,0.777777777777778,0.7893717,-0.08368044,0.7228958,-0.324782
-1,1,0.7893717,-0.08368044,0.7228958,-0.324782
