Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-0.763875,0.3548342,-0.3445881,0.8287664
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.763872,0.3548537,-0.3445643,0.8287683
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7638652,0.3549019,-0.344511,0.8287731
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.763864,0.3549112,-0.3445033,0.8287741
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7638496,0.3550251,-0.3443731,0.8287842
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.3548307,-0.7638477,0.8287748,-0.3445799
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.354786,-0.7638526,0.8287709,-0.3446214
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.354766,-0.7638547,0.8287691,-0.3446392
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.3548223,-0.7638489,0.8287746,-0.3445908
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0.3546686,-0.7638585,0.8287586,-0.3446769
-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-0.763866,0.3548578,-0.3445202,0.8287679
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.7638646,0.3548697,-0.344509,0.8287691
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.7638591,0.354919,-0.3444631,0.828774
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.763859,0.3549305,-0.3444609,0.8287753
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.763855,0.3550031,-0.3444182,0.8287828
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.3548087,-0.7638529,0.8287735,-0.3446222
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.3547736,-0.7638582,0.8287705,-0.3446648
