Vin_1A,Vin_1B,Vou_1A_uH,Vou_1B_uH,Vou_1A_uL,Vou_1B_uL,Vou_2A_dH,Vou_2B_dH,Vou_2A_dL,Vou_2B_dL
1,-1,-0.6966742,0.01587683,-0.6800325,0.3242864,0.07685778,0.768297,-0.326703,0.7053201
0.777777777777778,-0.777777777777778,-0.6966791,0.01591345,-0.6800211,0.3243039,0.07689608,0.7682915,-0.3266868,0.705325
0.555555555555556,-0.555555555555556,-0.6966919,0.01600634,-0.6799951,0.3243462,0.07700037,0.7682767,-0.3266434,0.7053381
0.333333333333333,-0.333333333333333,-0.6966978,0.01604877,-0.6799826,0.3243663,0.07703221,0.7682717,-0.3266312,0.7053417
0.111111111111111,-0.111111111111111,-0.6967032,0.01608779,-0.6799721,0.3243839,0.07706689,0.7682664,-0.3266176,0.7053457
-0.111111111111111,0.111111111111111,0.326322,-0.6591831,-0.1067181,-0.6752414,0.722152,-0.313141,0.7862845,-0.0584914
-0.333333333333333,0.333333333333333,0.3263097,-0.6591877,-0.1067416,-0.6752394,0.7221515,-0.3131405,0.7862844,-0.05849164
-0.555555555555556,0.555555555555556,0.3263054,-0.6591894,-0.1067515,-0.6752382,0.7221454,-0.3131502,0.7862859,-0.05850213
-0.777777777777778,0.777777777777778,0.3263347,-0.6591791,-0.1066722,-0.6752482,0.7221648,-0.3131149,0.7862794,-0.05845857
-1,1,0.3263347,-0.6591791,-0.1066721,-0.6752483,0.7221649,-0.3131149,0.7862794,-0.05845857
