Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_uH,Vou_1B_uH,Vou_1A_uL,Vou_1B_uL,Vou_2A_dH,Vou_2B_dH,Vou_2A_dL,Vou_2B_dL
-1,1,-1,1,-0.4500785,0.882791,-0.7168077,0.7062037,-0.6892908,0.7185569,-0.8171795,0.37285
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.4500755,0.8827904,-0.7168076,0.7062028,-0.6892852,0.7185604,-0.8171787,0.3728569
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.4500374,0.882788,-0.716796,0.7062154,-0.6893225,0.7185391,-0.8171837,0.3728186
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.4500637,0.8827857,-0.7168118,0.7062009,-0.6893699,0.7185068,-0.817191,0.3727605
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.4502019,0.8828609,-0.7167349,0.7062276,-0.6895639,0.7185694,-0.8171811,0.3728882
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.6936674,-0.7249013,0.8742869,-0.4262484,0.4035289,-0.8242961,0.7138478,-0.7031518
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.693553,-0.7249776,0.8742689,-0.4263116,0.4034575,-0.8242991,0.7138229,-0.7031772
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.6935256,-0.7249978,0.8742642,-0.4263302,0.4034237,-0.8242999,0.7138125,-0.703188
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.6935856,-0.7249516,0.8742749,-0.426286,0.4035019,-0.8242981,0.7138368,-0.703164
1,-1,1,-1,0.6935856,-0.7249516,0.8742749,-0.426286,0.4035019,-0.8242981,0.7138368,-0.703164
