Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L,Vou_2A_uH,Vou_2B_uH,Vou_2A_uL,Vou_2B_uL
-1,1,-1,1,-0.69986,0.3634965,-0.3604107,0.8378604,-0.4326619,0.8847871,-0.6877688,0.5387783
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.6998593,0.3634976,-0.360409,0.8378606,-0.4326535,0.8847852,-0.6877622,0.5387695
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.6998556,0.3634963,-0.3604124,0.8378606,-0.4325801,0.8847781,-0.6878129,0.5388758
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.6998709,0.3634816,-0.3604329,0.837859,-0.4325942,0.8847742,-0.6877712,0.5387922
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.699281,0.3635885,-0.36021,0.8378786,-0.434181,0.8853193,-0.6913872,0.5431874
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.3642444,-0.7659088,0.8376017,-0.3426245,0.7011898,-0.7105886,0.9048946,-0.5214654
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.364211,-0.7659115,0.8376007,-0.3426509,0.7010565,-0.7106837,0.9048733,-0.5215565
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.3641995,-0.7659125,0.8376003,-0.3426603,0.701028,-0.7107074,0.9048682,-0.521583
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.3642279,-0.7659102,0.8376011,-0.3426374,0.7010826,-0.7106563,0.9048787,-0.5215205
1,-1,1,-1,0.3642279,-0.7659102,0.8376011,-0.3426374,0.7010826,-0.7106563,0.9048787,-0.5215205
